,flow,wtemp,lagoon_turb,lagoon_pH,lagoon_DO,temp,dry,dry_days,rain1,rain3T,rain7T,rain30T,release,tr,release3T,tr3T,photoperiod,moon_phase_continuous
coho_eDNA,0.298,-0.437,0.422,-0.339,0.214,-0.426,-0.264,-0.334,0.165,0.25,0.254,0.429,0.027,0.026,0.005,0.002,-0.19,-0.029
coho_log10eDNA,0.275,-0.386,0.393,-0.305,0.242,-0.372,-0.227,-0.29,0.153,0.209,0.205,0.373,0.016,0.015,0.002,-0.002,-0.134,-0.032
coho_detected,0.248,-0.202,0.296,-0.182,0.224,-0.197,-0.095,-0.115,0.059,0.097,0.109,0.148,0.042,0.042,0.073,0.073,0.008,0.046
coho_BLOQ,-0.38,0.333,-0.433,0.247,-0.278,0.337,0.247,0.342,-0.144,-0.267,-0.281,-0.379,-0.07,-0.07,-0.022,-0.02,0.01,0.033
trout_eDNA,0.024,0.06,-0.02,0.209,0.079,0.072,0.047,0.037,-0.025,-0.112,-0.152,-0.136,-0.079,-0.08,-0.07,-0.076,0.253,0.066
trout_log10eDNA,-0.056,0.099,-0.107,0.277,0.058,0.119,0.087,0.08,-0.055,-0.153,-0.199,-0.198,-0.081,-0.082,-0.095,-0.101,0.261,0.063
trout_detected,0.028,-0.071,0.068,-0.113,0.103,-0.056,-0.014,0.006,-0.009,0.026,0.038,0.045,0.016,0.016,0.028,0.028,-0.025,0.046
trout_BLOQ,0.123,0.042,0.151,-0.066,0.01,0.003,-0.04,0.016,0.1,0.032,0.012,0.017,-0.031,-0.031,0.002,0.0,0.026,-0.043
year,0.019,-0.598,0.319,-0.468,0.18,-0.526,-0.172,-0.214,0.121,0.17,0.199,0.333,0.004,0.004,-0.013,-0.015,-0.37,-0.025
month,-0.454,0.256,-0.534,0.513,-0.484,0.267,0.07,0.159,-0.051,-0.07,-0.096,-0.27,-0.077,-0.076,-0.12,-0.116,-0.17,0.033
week,-0.456,0.277,-0.55,0.535,-0.518,0.29,0.09,0.168,-0.064,-0.087,-0.111,-0.296,-0.071,-0.07,-0.117,-0.113,-0.139,0.04
day_of_year,-0.448,0.255,-0.532,0.512,-0.484,0.265,0.062,0.15,-0.051,-0.061,-0.084,-0.265,-0.075,-0.074,-0.12,-0.116,-0.169,0.037
hour,-0.427,-0.082,-0.201,0.203,-0.053,0.02,0.094,0.216,-0.127,-0.166,-0.265,-0.282,-0.069,-0.068,-0.169,-0.168,-0.182,-0.033
morn_midday_eve,0.009,-0.094,0.033,-0.053,0.108,-0.057,-0.02,0.036,0.039,-0.009,-0.029,0.036,-0.027,-0.027,-0.046,-0.046,-0.045,-0.048
release,0.123,-0.025,0.112,-0.106,0.106,-0.095,-0.021,-0.057,0.03,0.096,0.061,0.047,1.0,1.0,-0.039,-0.039,0.031,-0.09
tr,0.122,-0.026,0.112,-0.107,0.106,-0.095,-0.02,-0.057,0.03,0.096,0.061,0.047,1.0,1.0,-0.039,-0.039,0.03,-0.09
release1,0.119,-0.04,0.114,-0.109,0.125,-0.078,-0.021,-0.039,0.038,0.062,0.053,0.049,-0.023,-0.023,0.577,0.578,0.034,-0.084
tr1,0.118,-0.041,0.114,-0.11,0.125,-0.078,-0.02,-0.038,0.037,0.062,0.052,0.049,-0.023,-0.023,0.577,0.578,0.033,-0.084
release2,0.117,-0.05,0.089,-0.092,0.124,-0.051,-0.021,-0.018,-0.039,0.002,0.05,0.048,-0.023,-0.023,0.577,0.578,0.036,-0.055
tr2,0.118,-0.041,0.114,-0.11,0.125,-0.078,-0.02,-0.038,0.037,0.062,0.052,0.049,-0.023,-0.023,0.577,0.578,0.033,-0.084
release3,0.121,-0.023,0.085,-0.101,0.117,-0.002,0.008,-0.005,-0.044,-0.009,0.051,0.017,-0.021,-0.021,0.539,0.536,0.034,-0.039
tr3,0.118,-0.041,0.114,-0.11,0.125,-0.078,-0.02,-0.038,0.037,0.062,0.052,0.049,-0.023,-0.023,0.577,0.578,0.033,-0.084
release2T,0.168,-0.064,0.144,-0.143,0.178,-0.093,-0.03,-0.041,-0.001,0.046,0.073,0.069,-0.033,-0.033,0.826,0.826,0.05,-0.099
