id,coho,trout
EB3520A,,
EB3520B,,
SCr-1,,
SCr-10,,1.0
SCr-100,-1.0,0.0
SCr-101,0.0,0.0
SCr-102,1.0,0.0
SCr-103,0.0,0.0
SCr-104,,1.0
SCr-105,1.0,0.0
SCr-106,0.0,0.0
SCr-107,1.0,0.0
SCr-108,1.0,0.0
SCr-109,1.0,0.0
SCr-11,,
SCr-110,1.0,1.0
SCr-111,0.0,0.0
SCr-112,1.0,1.0
SCr-113,1.0,0.0
SCr-114,-1.0,0.0
SCr-115,1.0,0.0
SCr-116,1.0,0.0
SCr-117,1.0,
SCr-118,,1.0
SCr-119,,
SCr-12,,1.0
SCr-120,1.0,0.0
SCr-121,1.0,1.0
SCr-122,,0.0
SCr-123,,0.0
SCr-124,1.0,0.0
SCr-125,1.0,1.0
SCr-126,,1.0
SCr-127,,1.0
SCr-128,-1.0,1.0
SCr-129,,
SCr-13,1.0,1.0
SCr-130,,
SCr-131,,
SCr-133,,
SCr-134,,
SCr-135,,
SCr-136,-1.0,0.0
SCr-137,1.0,0.0
SCr-138,0.0,0.0
SCr-139,0.0,0.0
SCr-14,1.0,-1.0
SCr-140,,1.0
SCr-141,-1.0,0.0
SCr-142,1.0,1.0
SCr-143,1.0,0.0
SCr-144,1.0,0.0
SCr-145,0.0,0.0
SCr-146,1.0,0.0
SCr-147,0.0,0.0
SCr-148,,
SCr-149,1.0,1.0
SCr-15,1.0,0.0
SCr-150,0.0,0.0
SCr-151,1.0,0.0
SCr-152,0.0,0.0
SCr-153,1.0,0.0
SCr-154,,1.0
SCr-155,0.0,0.0
SCr-156,0.0,1.0
SCr-157,0.0,0.0
SCr-158,1.0,1.0
SCr-159,0.0,0.0
SCr-16,,0.0
SCr-160,,1.0
SCr-160506A,,
SCr-161,1.0,1.0
SCr-162,1.0,1.0
SCr-163,,1.0
SCr-164,1.0,1.0
SCr-165,1.0,1.0
SCr-166,1.0,1.0
SCr-167,0.0,0.0
SCr-168,1.0,1.0
SCr-169,,1.0
SCr-17,,
SCr-170,,1.0
SCr-171,1.0,1.0
SCr-172,1.0,1.0
SCr-173,1.0,0.0
SCr-174,,1.0
SCr-175,1.0,0.0
SCr-176,0.0,1.0
SCr-177,1.0,1.0
SCr-178,0.0,0.0
SCr-179,1.0,0.0
SCr-18,,0.0
SCr-180,0.0,-1.0
SCr-181,,
SCr-1814,,
SCr-182,1.0,1.0
SCr-183,0.0,0.0
SCr-184,1.0,
SCr-185,0.0,-1.0
SCr-186,1.0,0.0
SCr-187,1.0,0.0
SCr-188,1.0,0.0
SCr-189,1.0,0.0
SCr-19,,1.0
SCr-190,1.0,0.0
SCr-190506,0.0,0.0
SCr-190506A,,
SCr-190506B,0.0,0.0
SCr-191,0.0,0.0
SCr-192,0.0,0.0
SCr-193,1.0,0.0
SCr-194,1.0,0.0
SCr-195,1.0,1.0
SCr-196,0.0,0.0
SCr-197,1.0,1.0
SCr-198,1.0,1.0
SCr-199,-1.0,0.0
SCr-2,,
SCr-20,,0.0
SCr-200,0.0,0.0
SCr-201,1.0,1.0
SCr-202,1.0,0.0
SCr-203,0.0,1.0
SCr-204,1.0,1.0
SCr-205,1.0,1.0
SCr-206,1.0,1.0
SCr-207,1.0,0.0
SCr-208,1.0,1.0
SCr-209,1.0,0.0
SCr-21,,1.0
SCr-210,-1.0,0.0
SCr-211,1.0,0.0
SCr-212,1.0,1.0
SCr-213,1.0,0.0
SCr-214,1.0,1.0
SCr-215,0.0,0.0
SCr-216,0.0,1.0
SCr-217,1.0,1.0
SCr-218,1.0,1.0
SCr-219,1.0,1.0
SCr-22,,1.0
SCr-220,1.0,0.0
SCr-221,-1.0,1.0
SCr-222,0.0,0.0
SCr-223,1.0,0.0
SCr-224,1.0,0.0
SCr-225,1.0,0.0
SCr-226,1.0,1.0
SCr-227,0.0,0.0
SCr-228,1.0,1.0
SCr-229,1.0,0.0
SCr-23,,-1.0
SCr-230,0.0,1.0
SCr-231,0.0,0.0
SCr-232,0.0,0.0
SCr-233,0.0,0.0
SCr-234,1.0,1.0
SCr-235,,1.0
SCr-236,1.0,0.0
SCr-237,,1.0
SCr-238,0.0,1.0
SCr-239,1.0,-1.0
SCr-24,,
SCr-240,1.0,0.0
SCr-241,,1.0
SCr-242,1.0,1.0
SCr-243,0.0,0.0
SCr-244,0.0,1.0
SCr-245,,
SCr-246,1.0,1.0
SCr-247,1.0,1.0
SCr-248,,
SCr-249,1.0,1.0
SCr-25,1.0,1.0
SCr-250,1.0,1.0
SCr-251,1.0,1.0
SCr-252,1.0,1.0
SCr-253,0.0,0.0
SCr-254,1.0,0.0
SCr-255,1.0,1.0
SCr-256,1.0,0.0
SCr-257,0.0,0.0
SCr-258,,1.0
SCr-259,1.0,0.0
SCr-26,1.0,0.0
SCr-260,0.0,0.0
SCr-261,,1.0
SCr-262,,
SCr-263,,1.0
SCr-264,,1.0
SCr-265,,
SCr-266,,
SCr-267,,
SCr-268,,
SCr-269,,
SCr-27,,0.0
SCr-270,0.0,-1.0
SCr-271,1.0,0.0
SCr-272,1.0,0.0
SCr-273,0.0,-1.0
SCr-274,,1.0
SCr-275,1.0,0.0
SCr-276,1.0,0.0
SCr-277,0.0,-1.0
SCr-278,0.0,-1.0
SCr-279,1.0,0.0
SCr-28,1.0,1.0
SCr-280,1.0,0.0
SCr-281,1.0,0.0
SCr-282,1.0,-1.0
SCr-283,,0.0
SCr-28326,,
SCr-284,1.0,1.0
SCr-285,,
SCr-286,0.0,0.0
SCr-287,0.0,1.0
SCr-288,,1.0
SCr-289,,1.0
SCr-29,,1.0
SCr-290,,
SCr-291,0.0,1.0
SCr-292,,
SCr-293,1.0,1.0
SCr-294,,
SCr-295,,1.0
SCr-296,1.0,0.0
SCr-297,1.0,1.0
SCr-298,1.0,0.0
SCr-299,1.0,1.0
SCr-3,,
SCr-30,0.0,1.0
SCr-300,1.0,1.0
SCr-301,1.0,1.0
SCr-302,1.0,1.0
SCr-303,1.0,0.0
SCr-304,1.0,1.0
SCr-305,1.0,0.0
SCr-306,0.0,0.0
SCr-307,1.0,1.0
SCr-308,1.0,0.0
SCr-309,,
SCr-31,,1.0
SCr-310,1.0,1.0
SCr-311,,1.0
SCr-312,,
SCr-313,1.0,1.0
SCr-314,1.0,1.0
SCr-315,,1.0
SCr-316,1.0,1.0
SCr-317,0.0,1.0
SCr-318,,1.0
SCr-319,0.0,0.0
SCr-32,1.0,0.0
SCr-320,1.0,0.0
SCr-321,,1.0
SCr-322,1.0,1.0
SCr-323,1.0,1.0
SCr-324,1.0,0.0
SCr-325,1.0,0.0
SCr-326,,1.0
SCr-327,,1.0
SCr-328,1.0,0.0
SCr-329,1.0,0.0
SCr-33,,
SCr-330,1.0,0.0
SCr-331,,
SCr-332,,
SCr-333,,1.0
SCr-334,,1.0
SCr-335,1.0,1.0
SCr-336,1.0,1.0
SCr-337,,1.0
SCr-338,0.0,0.0
SCr-339,0.0,0.0
SCr-34,,0.0
SCr-340,,
SCr-341,,1.0
SCr-342,1.0,1.0
SCr-343,,1.0
SCr-344,,1.0
SCr-345,,1.0
SCr-346,,
SCr-347,1.0,1.0
SCr-348,,1.0
SCr-349,1.0,1.0
SCr-35,1.0,0.0
SCr-350,1.0,1.0
SCr-351,,1.0
SCr-352,,
SCr-353,,0.0
SCr-354,,0.0
SCr-355,1.0,0.0
SCr-356,,1.0
SCr-357,,1.0
SCr-358,,1.0
SCr-359,,1.0
SCr-36,,0.0
SCr-360,,1.0
SCr-361,1.0,0.0
SCr-362,,-1.0
SCr-363,,0.0
SCr-364,1.0,0.0
SCr-365,,1.0
SCr-366,,1.0
SCr-367,1.0,0.0
SCr-368,,1.0
SCr-369,,0.0
SCr-37,1.0,0.0
SCr-370,,0.0
SCr-371,1.0,0.0
SCr-372,,1.0
SCr-373,1.0,1.0
