Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-03-06 13:37:15 -08:00,65.57,2019-03-06 13:42:45 -08:00,65.57,2019-03-06 14:29:24 -08:00,65.6,0:46:39,2000,2000,0,control,SCr,1,SCr-1
bac wcr,2019-03-06 14:53:57 -08:00,65.62,2019-03-06 14:59:28 -08:00,65.62,2019-03-06 15:22:11 -08:00,65.64,0:22:43,1000,1000,0,control,SCr,2,SCr-2
bac wcr,2019-03-06 15:46:25 -08:00,65.66,2019-03-06 15:51:54 -08:00,65.66,2019-03-06 16:14:19 -08:00,65.68,0:22:25,1000,1000,0,control,SCr,3,SCr-3
bac wcr,2019-03-25 13:20:24 -07:00,84.56,2019-03-25 13:25:56 -07:00,84.56,2019-03-25 13:33:14 -07:00,84.56,0:07:17,2000,221.2,1778.8,deployed,SCr,4,SCr-4
bac wcr,2019-03-26 06:04:34 -07:00,85.25,2019-03-26 06:10:06 -07:00,85.26,2019-03-26 06:12:58 -07:00,85.26,0:02:51,2000,43.5,1956.5,deployed,SCr,5,SCr-5
bac wcr,2019-03-26 12:04:38 -07:00,85.5,2019-03-26 12:10:10 -07:00,85.51,2019-03-26 12:13:01 -07:00,85.51,0:02:50,2000,44.3,1955.7,deployed,SCr,6,SCr-6
bac wcr,2019-03-26 18:00:30 -07:00,85.75,2019-03-26 18:06:01 -07:00,85.75,2019-03-26 18:09:01 -07:00,85.76,0:03:00,2000,75,1925,deployed,SCr,7,SCr-7
bac wcr,2019-03-27 06:04:34 -07:00,86.25,2019-03-27 06:10:06 -07:00,86.26,2019-03-27 06:14:15 -07:00,86.26,0:04:09,2000,92.3,1907.7,deployed,SCr,8,SCr-8
bac wcr,2019-03-27 12:04:29 -07:00,86.5,2019-03-27 12:10:01 -07:00,86.51,2019-03-27 12:13:56 -07:00,86.51,0:03:55,2000,100,1900,deployed,SCr,9,SCr-9
bac wcr,2019-03-27 18:04:33 -07:00,86.75,2019-03-27 18:10:06 -07:00,86.76,2019-03-27 18:14:01 -07:00,86.76,0:03:55,2000,100,1900,deployed,SCr,10,SCr-10
bac wcr,2019-03-28 06:04:37 -07:00,87.25,2019-03-28 06:10:09 -07:00,87.26,2019-03-28 06:15:06 -07:00,87.26,0:04:56,2000,118,1882,deployed,SCr,11,SCr-11
bac wcr,2019-03-28 12:04:29 -07:00,87.5,2019-03-28 12:10:01 -07:00,87.51,2019-03-28 12:15:36 -07:00,87.51,0:05:35,2000,146.2,1853.8,deployed,SCr,12,SCr-12
bac wcr,2019-03-28 18:00:24 -07:00,87.75,2019-03-28 18:05:58 -07:00,87.75,2019-03-28 18:11:23 -07:00,87.76,0:05:25,2000,173.3,1826.7,deployed,SCr,13,SCr-13
bac wcr,2019-03-29 06:04:35 -07:00,88.25,2019-03-29 06:10:08 -07:00,88.26,2019-03-29 06:16:34 -07:00,88.26,0:06:25,2000,191.9,1808.1,deployed,SCr,14,SCr-14
bac wcr,2019-03-29 12:04:40 -07:00,88.5,2019-03-29 12:10:19 -07:00,88.51,2019-03-29 12:15:19 -07:00,88.51,0:05:00,2000,148.2,1851.8,deployed,SCr,15,SCr-15
bac wcr,2019-03-29 18:04:31 -07:00,88.75,2019-03-29 18:10:05 -07:00,88.76,2019-03-29 18:16:14 -07:00,88.76,0:06:08,2000,166.4,1833.6,deployed,SCr,16,SCr-16
bac wcr,2019-03-30 06:04:43 -07:00,89.25,2019-03-30 06:10:16 -07:00,89.26,2019-03-30 06:16:15 -07:00,89.26,0:05:58,2000,100,1900,deployed,SCr,17,SCr-17
bac wcr,2019-03-30 12:04:39 -07:00,89.5,2019-03-30 12:10:12 -07:00,89.51,2019-03-30 12:19:04 -07:00,89.51,0:08:52,2000,200,1800,deployed,SCr,18,SCr-18
bac wcr,2019-03-30 18:00:29 -07:00,89.75,2019-03-30 18:06:01 -07:00,89.75,2019-03-30 18:15:30 -07:00,89.76,0:09:29,2000,223.2,1776.8,deployed,SCr,19,SCr-19
bac wcr,2019-03-31 06:04:43 -07:00,90.25,2019-03-31 06:10:18 -07:00,90.26,2019-03-31 06:20:00 -07:00,90.26,0:09:42,2000,223.3,1776.7,deployed,SCr,20,SCr-20
bac wcr,2019-03-31 12:04:40 -07:00,90.5,2019-03-31 12:10:13 -07:00,90.51,2019-03-31 12:19:58 -07:00,90.51,0:09:44,2000,225,1775,deployed,SCr,21,SCr-21
bac wcr,2019-03-31 18:04:40 -07:00,90.75,2019-03-31 18:10:13 -07:00,90.76,2019-03-31 18:21:19 -07:00,90.76,0:11:06,2000,244.7,1755.3,deployed,SCr,22,SCr-22
bac wcr,2019-04-01 06:04:44 -07:00,91.25,2019-04-01 06:10:17 -07:00,91.26,2019-04-01 06:19:09 -07:00,91.26,0:08:52,2000,125,1875,deployed,SCr,23,SCr-23
bac wcr,2019-04-01 12:04:41 -07:00,91.5,2019-04-01 12:11:02 -07:00,91.51,2019-04-01 12:11:53 -07:00,91.51,0:00:51,2000,2,1998,deployed,SCr,24,SCr-24
bac wcr,2019-04-01 18:31:38 -07:00,91.77,2019-04-01 18:37:11 -07:00,91.78,2019-04-01 18:47:15 -07:00,91.78,0:10:04,2000,316.6,1683.4,deployed,SCr,25,SCr-25
bac wcr,2019-04-02 06:04:34 -07:00,92.25,2019-04-02 06:10:08 -07:00,92.26,2019-04-02 06:17:01 -07:00,92.26,0:06:53,2000,223.5,1776.5,deployed,SCr,26,SCr-26
bac wcr,2019-04-02 12:04:29 -07:00,92.5,2019-04-02 12:10:01 -07:00,92.51,2019-04-02 12:18:00 -07:00,92.51,0:07:58,2000,300,1700,deployed,SCr,27,SCr-27
