deployment,ESP,start_date,end_date,days,gap_days,samples
1,Waldo,2019-03-25,2019-05-02,39.0,,113
3,Waldo,2019-05-03,2019-05-06,4.0,0.0,11
4,Moe,2019-05-07,2019-06-25,48.0,0.0,120
6,Moe,2019-06-26,2019-06-27,2.0,0.0,4
9,Gordon,2019-06-28,2019-08-22,53.0,0.0,58
10,Moe,2019-08-25,2019-11-21,88.0,2.0,99
12,Moe,2019-11-22,2019-11-25,4.0,0.0,9
14,Moe,2019-11-26,2019-12-02,7.0,0.0,13
15,Gordon,2019-12-03,2020-01-30,59.0,0.0,120
16,Waldo,2020-02-04,2020-02-05,2.0,4.0,4
17,Gordon,2020-02-12,2020-04-04,53.0,6.0,121
