Protocol,Start Date,Start Date (Julian),Sample Start Date,Sample Start Date (Julian),Sample End Date,Sample End Date (Julian),Time To Sample (hh:mm:ss),Target Volume (ml),Actual Volume (ml),Difference (ml),Lab_Field,Extract_Abbr,Extract_No,Extract_ID
bac wcr,2019-06-25 15:47:32 -07:00,176.66,2019-06-25 15:50:13 -07:00,176.66,2019-06-25 16:01:07 -07:00,176.67,0:10:53,500,500,0,control,SCr,266,SCr-266
bac wcr,2019-06-25 16:20:01 -07:00,176.68,2019-06-25 16:22:42 -07:00,176.68,2019-06-25 16:33:23 -07:00,176.69,0:10:41,500,500,0,control,SCr,267,SCr-267
bac wcr,2019-06-25 18:00:23 -07:00,176.75,2019-06-25 18:03:04 -07:00,176.75,2019-06-25 18:13:42 -07:00,176.76,0:10:37,500,500,0,control,SCr,268,SCr-268
bac wcr,2019-06-27 12:36:30 -07:00,178.53,2019-06-27 12:47:01 -07:00,178.53,2019-06-27 13:24:39 -07:00,178.56,0:37:38,2000,900,1100,deployed,SCr,269,SCr-269
bac wcr,2019-06-27 18:04:36 -07:00,178.75,2019-06-27 18:16:37 -07:00,178.76,2019-06-27 18:18:20 -07:00,178.76,0:01:42,2000,2.5,1997.5,deployed,SCr,270,SCr-270
bac wcr,2019-06-28 06:04:43 -07:00,179.25,2019-06-28 06:15:16 -07:00,179.26,2019-06-28 07:11:13 -07:00,179.3,0:55:57,2000,975,1025,deployed,SCr,271,SCr-271
bac wcr,2019-06-28 18:04:37 -07:00,179.75,2019-06-28 18:15:10 -07:00,179.76,2019-06-28 18:52:54 -07:00,179.79,0:37:43,2000,1068,932,deployed,SCr,272,SCr-272
bac wcr,2019-06-29 06:04:43 -07:00,180.25,2019-06-29 06:15:16 -07:00,180.26,2019-06-29 12:13:20 -07:00,180.51,5:58:03,2000,1025,975,deployed,SCr,273,SCr-273
bac wcr,2019-06-29 18:05:26 -07:00,180.75,2019-06-29 18:15:59 -07:00,180.76,2019-06-29 18:45:00 -07:00,180.78,0:29:01,2000,925.1,1074.9,deployed,SCr,274,SCr-274
bac wcr,2019-06-30 06:04:42 -07:00,181.25,2019-06-30 06:15:16 -07:00,181.26,2019-06-30 08:05:00 -07:00,181.34,1:49:44,2000,100,1900,deployed,SCr,275,SCr-275
bac wcr,2019-06-30 18:57:48 -07:00,181.79,2019-06-30 19:08:21 -07:00,181.8,2019-06-30 19:44:14 -07:00,181.82,0:35:53,2000,975.1,1024.9,deployed,SCr,276,SCr-276
bac wcr,2019-07-01 06:04:49 -07:00,182.25,2019-07-01 06:15:23 -07:00,182.26,2019-07-01 11:40:11 -07:00,182.49,5:24:47,2000,925,1075,deployed,SCr,277,SCr-277
bac wcr,2019-07-01 19:27:46 -07:00,182.81,2019-07-01 19:38:21 -07:00,182.82,2019-07-01 20:22:57 -07:00,182.85,0:44:36,2000,993.3,1006.7,deployed,SCr,278,SCr-278
bac wcr,2019-07-02 06:04:44 -07:00,183.25,2019-07-02 06:15:19 -07:00,183.26,2019-07-02 09:19:09 -07:00,183.39,3:03:49,2000,950,1050,deployed,SCr,279,SCr-279
bac wcr,2019-07-02 18:04:38 -07:00,183.75,2019-07-02 18:15:15 -07:00,183.76,2019-07-02 19:27:54 -07:00,183.81,1:12:38,2000,1025.1,974.9,deployed,SCr,280,SCr-280
bac wcr,2019-07-03 06:04:46 -07:00,184.25,2019-07-03 06:15:19 -07:00,184.26,2019-07-03 08:32:45 -07:00,184.36,2:17:25,2000,1075.1,924.9,deployed,SCr,281,SCr-281
bac wcr,2019-07-04 06:04:41 -07:00,185.25,2019-07-04 06:15:15 -07:00,185.26,2019-07-04 07:06:25 -07:00,185.3,0:51:10,2000,875,1125,deployed,SCr,282,SCr-282
bac wcr,2019-07-05 06:04:43 -07:00,186.25,2019-07-05 06:15:16 -07:00,186.26,2019-07-05 06:59:45 -07:00,186.29,0:44:29,2000,1025,975,deployed,SCr,283,SCr-283
bac wcr,2019-07-06 06:04:51 -07:00,187.25,2019-07-06 06:15:27 -07:00,187.26,2019-07-06 07:11:32 -07:00,187.3,0:56:04,2000,1075,925,deployed,SCr,284,SCr-284
bac wcr,2019-07-07 06:04:44 -07:00,188.25,2019-07-07 06:15:17 -07:00,188.26,2019-07-07 08:24:20 -07:00,188.35,2:09:02,2000,1000,1000,deployed,SCr,285,SCr-285
bac wcr,2019-07-08 06:04:42 -07:00,189.25,2019-07-08 06:15:19 -07:00,189.26,2019-07-08 06:58:51 -07:00,189.29,0:43:32,2000,1100,900,deployed,SCr,286,SCr-286
bac wcr,2019-07-09 06:04:43 -07:00,190.25,2019-07-09 06:15:19 -07:00,190.26,2019-07-08 06:58:51 -07:00,189.29,0:43:32,2000,,,deployed,SCr,287,SCr-287
bac wcr,2019-07-09 08:26:01 -07:00,190.35,2019-07-09 08:36:38 -07:00,190.36,2019-07-09 09:32:09 -07:00,190.4,0:55:31,2000,950,1050,deployed,SCr,288,SCr-288
bac wcr,2019-07-10 06:04:44 -07:00,191.25,2019-07-10 06:15:18 -07:00,191.26,2019-07-10 06:48:05 -07:00,191.28,0:32:47,2000,949.5,1050.5,deployed,SCr,289,SCr-289
bac wcr,2019-07-11 06:04:45 -07:00,192.25,2019-07-11 06:15:19 -07:00,192.26,2019-07-11 06:45:08 -07:00,192.28,0:29:48,2000,850,1150,deployed,SCr,290,SCr-290
bac wcr,2019-07-12 06:04:44 -07:00,193.25,2019-07-12 06:15:18 -07:00,193.26,2019-07-12 09:09:42 -07:00,193.38,2:54:24,2000,900,1100,deployed,SCr,291,SCr-291
bac wcr,2019-07-13 06:04:47 -07:00,194.25,2019-07-13 06:15:22 -07:00,194.26,2019-07-13 06:53:52 -07:00,194.29,0:38:30,2000,900,1100,deployed,SCr,292,SCr-292
bac wcr,2019-07-14 06:04:46 -07:00,195.25,2019-07-14 06:15:20 -07:00,195.26,2019-07-14 08:43:36 -07:00,195.36,2:28:15,2000,900,1100,deployed,SCr,293,SCr-293
bac wcr,2019-07-15 06:04:53 -07:00,196.25,2019-07-15 06:15:38 -07:00,196.26,2019-07-15 09:47:09 -07:00,196.41,3:31:30,2000,975,1025,deployed,SCr,294,SCr-294
bac wcr,2019-07-16 06:04:45 -07:00,197.25,2019-07-16 06:15:21 -07:00,197.26,2019-07-16 06:51:41 -07:00,197.29,0:36:20,2000,1000,1000,deployed,SCr,295,SCr-295
bac wcr,2019-07-17 06:04:44 -07:00,198.25,2019-07-17 06:15:18 -07:00,198.26,2019-07-17 06:52:39 -07:00,198.29,0:37:20,2000,825,1175,deployed,SCr,296,SCr-296
bac wcr,2019-07-18 09:17:59 -07:00,199.39,2019-07-18 09:28:35 -07:00,199.39,2019-07-18 10:26:58 -07:00,199.44,0:58:22,2000,975,1025,deployed,SCr,297,SCr-297
bac wcr,2019-07-19 06:04:43 -07:00,200.25,2019-07-19 06:15:18 -07:00,200.26,2019-07-19 06:47:33 -07:00,200.28,0:32:14,2000,950,1050,deployed,SCr,298,SCr-298
bac wcr,2019-07-20 06:04:43 -07:00,201.25,2019-07-20 06:15:19 -07:00,201.26,2019-07-20 06:52:55 -07:00,201.29,0:37:36,2000,900,1100,deployed,SCr,299,SCr-299
bac wcr,2019-07-21 09:51:59 -07:00,202.41,2019-07-21 10:02:34 -07:00,202.42,2019-07-21 11:04:34 -07:00,202.46,1:02:00,2000,1175,825,deployed,SCr,300,SCr-300
bac wcr,2019-07-22 06:04:44 -07:00,203.25,2019-07-22 06:15:22 -07:00,203.26,2019-07-22 08:35:17 -07:00,203.36,2:19:55,2000,1050,950,deployed,SCr,301,SCr-301
bac wcr,2019-07-23 06:04:48 -07:00,204.25,2019-07-23 06:15:23 -07:00,204.26,2019-07-23 09:52:19 -07:00,204.41,3:36:56,2000,975,1025,deployed,SCr,302,SCr-302
bac wcr,2019-07-24 06:04:47 -07:00,205.25,2019-07-24 06:15:24 -07:00,205.26,2019-07-24 09:46:01 -07:00,205.41,3:30:37,2000,1025,975,deployed,SCr,303,SCr-303
bac wcr,2019-07-25 06:04:53 -07:00,206.25,2019-07-25 06:15:30 -07:00,206.26,2019-07-25 08:20:30 -07:00,206.35,2:05:00,2000,183.1,1816.9,deployed,SCr,304,SCr-304
bac wcr,2019-07-26 06:04:44 -07:00,207.25,2019-07-26 06:15:22 -07:00,207.26,2019-07-26 06:59:59 -07:00,207.29,0:44:37,2000,875,1125,deployed,SCr,305,SCr-305
bac wcr,2019-07-27 06:04:54 -07:00,208.25,2019-07-27 06:15:31 -07:00,208.26,2019-07-27 07:06:37 -07:00,208.3,0:51:06,2000,800,1200,deployed,SCr,306,SCr-306
bac wcr,2019-07-28 10:25:24 -07:00,209.43,2019-07-28 10:36:02 -07:00,209.44,2019-07-28 11:37:52 -07:00,209.48,1:01:49,2000,975,1025,deployed,SCr,307,SCr-307
bac wcr,2019-07-29 09:04:44 -07:00,210.38,2019-07-29 09:15:21 -07:00,210.39,2019-07-29 10:00:00 -07:00,210.42,0:44:39,2000,900,1100,deployed,SCr,308,SCr-308
