date,site,count
3/19/19,Scott_weir,1134
3/29/19,Scott_weir,1205
4/9/19,Scott_weir,1274
4/19/19,Scott_weir,1428
4/29/19,Scott_weir,1381
5/9/19,Scott_weir,1509
5/24/19,Scott_weir,
11/19/19,Scott_weir,
12/9/19,Scott_weir,
3/19/19,Scott_S2,214
3/29/19,Scott_S2,106
4/9/19,Scott_S2,130
4/19/19,Scott_S2,70
4/29/19,Scott_S2,81
5/9/19,Scott_S2,137
5/24/19,Scott_S2,
11/19/19,Scott_S2,
12/9/19,Scott_S2,
3/19/19,Scott_S2.5,
3/29/19,Scott_S2.5,
4/9/19,Scott_S2.5,
4/19/19,Scott_S2.5,
4/29/19,Scott_S2.5,
5/9/19,Scott_S2.5,150
5/24/19,Scott_S2.5,
11/19/19,Scott_S2.5,
12/9/19,Scott_S2.5,
3/19/19,Scott_S4,163
3/29/19,Scott_S4,172
4/9/19,Scott_S4,133
4/19/19,Scott_S4,81
4/29/19,Scott_S4,82
5/9/19,Scott_S4,
5/24/19,Scott_S4,
11/19/19,Scott_S4,
12/9/19,Scott_S4,
3/19/19,Scott_S5,152
3/29/19,Scott_S5,188
4/9/19,Scott_S5,127
4/19/19,Scott_S5,84
4/29/19,Scott_S5,119
5/9/19,Scott_S5,
5/24/19,Scott_S5,
11/19/19,Scott_S5,
12/9/19,Scott_S5,
3/19/19,Big_Creek_KFH,
3/29/19,Big_Creek_KFH,
4/9/19,Big_Creek_KFH,
4/19/19,Big_Creek_KFH,
4/29/19,Big_Creek_KFH,
5/9/19,Big_Creek_KFH,
5/24/19,Big_Creek_KFH,63
11/19/19,Big_Creek_KFH,
12/9/19,Big_Creek_KFH,2
