date,coho_N_fish,coho_N_adult,coho_N_juvenile,coho_N_adult_dead,coho_N_adult_live,coho_biomass,coho_biomass_adult,coho_biomass_juvenile,coho_biomass_adult_dead,coho_biomass_adult_live,coho_count_hour,trout_N_fish,trout_N_adult,trout_N_juvenile,trout_N_adult_dead,trout_N_adult_live,trout_biomass,trout_biomass_adult,trout_biomass_juvenile,trout_biomass_adult_dead,trout_biomass_adult_live,trout_count_hour,fish_online,fish_count,a_online,a_perf,a_count,a_start,a_end,a_notes,j_online,j_perf,j_count,j_start,j_end,j_notes
1/7/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,8:00,9:30,,0,,,,,
1/8/19,1,1,0,0,1,1.02,1.02,0,0,1.02,10,8,8,0,0,8,13.93,13.93,0,0,13.93,10.5,1,1,1,1,1,9:00,11:15,First full day of trapping.,0,,,,,
1/9/19,2,2,0,0,2,4.17,4.17,0,0,4.17,10,2,2,0,0,2,1.9,1.9,0,0,1.9,10,1,1,1,1,1,9:20,10:00,Transported two coho salmon to KFH.,0,,,,,
1/10/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3.2,3.2,0,0,3.2,9,1,1,1,1,1,9:20,9:42,Mouth starting to restrict. One Steelhead in box.,0,,,,,
1/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:26,No fish today,0,,,,,
1/12/19,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,19.07,19.07,0,0,19.07,10,1,1,0,,,,,,0,,,,,
1/13/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.65,0.65,0,0,0.65,11,1,1,0,,,,,,0,,,,,
1/14/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.65,0.65,0,0.65,0,11,1,1,0,,,,,,0,,,,,
1/15/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
1/16/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4.15,4.15,0,0,4.15,10,1,1,1,3,0,9:30,9:50,Weir panels down upon arrival. All panels up upon departure but significant storm forecasted in next 24 h.,0,,,,,
1/17/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:00,10:15,"Big storm yesterday afternoon and overnight. Scott Creek gage peaked at 5.6 feet at 01:30. Cleaned trap box and fence, all panels still down.",0,,,,,
1/18/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,2,0,17:00,17:30,Jeff cleared weir panels in evening (second visit). Weir was partially fishing,0,,,,,
1/19/19,1,1,0,1,0,2.17,2.17,0,2.17,0,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,9:30,10:20,"Mouth very shallow, very dynamic with considerable of overwash on the sandbar. Cone partially clogged with debris. Lots of fishing pressure (7-8 cars in first pullout). No fish, one Onki-hatchery carcass on weir panels.",0,,,,,
1/20/19,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,10.02,10.02,0,0,10.02,10,1,1,1,1,1,9:50,10:22,"Mouth appeared to be closed this morning, lots of overwash but no clear channel. 4 fish in weir trap.",0,,,,,
1/21/19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,8.14,8.14,0,0,8.14,10,1,1,1,1,1,9:47,10:14,"Mouth open, more to the North. Three fish in weir trap.",0,,,,,
1/22/19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,7.23,7.23,0,0,7.23,9,1,1,1,1,1,9:16,9:35,Three steelhead in weir trap,0,,,,,
1/23/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7.5,7.5,0,0,7.5,9.5,1,1,1,1,1,9:15,9:41,two female Onmy in weir box,0,,,,,
1/24/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:25,9:30,No fish today,0,,,,,
1/25/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5.44,5.44,0,0,5.44,10,1,1,0,,,,,,0,,,,,
1/26/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
1/27/19,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,,,,,
1/28/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:52,10:54,brought Trap 2 cone back to lab for repairs. No fish in trap,0,,,,,
1/29/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7.57,7.57,0,0,7.57,10,1,1,1,1,1,9:40,10:01,2 SH.,0,,,,,
1/30/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,3,0,0,3,10,1,1,1,1,1,9:25,9:45,one fish in box,0,,,,,
1/31/19,1,1,0,1,0,0.82,0.82,0,0.82,0,10,2,2,0,0,2,6.13,6.13,0,0,6.13,10,1,1,1,1,1,9:34,10:10,Mouth appeared to be closed today.,0,,,,,
2/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,10:00,No fish in weir. Cleaned panels for upcoming storm.,0,,,,,
2/2/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:30,9:30,"trap box over-topped. Cleared debris from fence. Probed in trap box and felt no fish. Mouth broke straight out, south of mouth still holding water. Waves pushing over sand berm.",0,,,,,
2/3/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:10,9:10,"Mouth still open straight out, but lagoon still full (maybe 2.5' on sonde). Weir still overtopped from storm, water level over weir box. Did not get in the water.",0,,,,,
2/4/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:00,9:20,"weir, trap box under water. Mouth open straight out. Looked at Farm, Big Creek, Orchard antennas - debris on top wires, some bottom wires have been pulled out of place",0,,,,,
2/5/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,7.05,7.05,0,0,7.05,10,1,1,1,3,0,9:40,10:30,Weir overtopping. Two Onmy in weir box.,0,,,,,
2/6/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.5,2.5,0,0,2.5,10,1,1,1,3,0,9:44,9:51,"Weir overtopped on arrival, barely able to get panels up. Will return in afternoon to clean again.",0,,,,,
2/7/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:45,9:50,"No fish. Cleaned panels, they are difficult to keep up at the current flow (~3.0 feet on stage).",0,,,,,
2/8/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4.73,4.73,0,0,4.73,9.5,1,1,1,1,1,9:25,9:43,"Mouth migrating to the North. Two fish in weir trap, one iteroparous female. Swited field cameras (from Panasonic to Olympus - one pic on panasonic; 101-0711)",0,,,,,
2/9/19,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,12.55,12.55,0,0,12.55,11,1,1,1,1,1,9:30,11:45,AH and KC (ucsc intern),0,,,,,
2/10/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5.77,5.77,0,0,5.77,10.5,1,1,1,1,1,9:10,9:22,"all panels fishing, cleared some debris off, no fish in trap",0,,,,,
2/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:23,"all panels fishing upon arrival, cleared off some debris, no fish in trap",0,,,,,
2/12/19,2,2,0,1,1,1.78,1.78,0,1.15,0.63,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:39,"1 coho jack in box, 1 broodstock coho female carcass on panels",0,,,,,
2/13/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:25,"Heavy rain overnight, all panels underwater and river swelling (Stage 3.9' on HydroVu). No fish in trap box.",0,,,,,
2/14/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:10,9:12,Weir totally under water. Stage plate reading 4.92 feet.,0,,,,,
2/15/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,9:08,10:03,"Water raging in creek, weir and trap box both overtopped.",0,,,,,
2/16/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:55,"the top of the trap is exposed, opened trap box but felt no fish movement with net",0,,,,,
2/17/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:10,9:25,"fished around in trap but did not feel any fish, the very top of the trap is exposed but rest is under water, cleared debris from left bank fence",0,,,,,
2/18/19,,,,,,,,,,,,,,,,,,,,,,,1,0,1,3,0,14:30,15:00,Weren't able to get the panels up. Flow is too high (maybe tomorrow). Weir staff 0.94 @15:02.,0,,,,,
2/19/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2.17,2.17,0,0,2.17,10,1,1,1,1,1,9:35,10:00,"checked trap and tagged one natural female SH, FLOY=PY4914",0,,,,,
2/20/19,1,1,0,0,1,1.71,1.71,0,0,1.71,9,3,3,0,0,3,6.86,6.86,0,0,6.86,10,1,1,1,1,1,9:21,9:54,"One CBP fish, 3 Onmy. All panels up on departure but may not fish through the night",0,,,,,
2/21/19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.42,0.42,0,0,0.42,10,1,1,1,1,1,9:15,9:40,"one small, natural SH female had head stuck in bars of trap. Tagged and released upstream.",0,,,,,
2/22/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:30,"checked trap, no fish",0,,,,,
2/23/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:48,"No fish, cleaned panels and removed sand from trp box.",0,,,,,
2/24/19,0,0,0,0,0,0,0,0,0,0,0,8,8,0,1,7,16.64,16.64,0,2.16,14.48,10,1,1,1,1,1,9:00,11:25,cal poly presentation. 7fish in trap. All SH. 2 females ended up back on weir panels after release upstream. One carcass found and hog tagged,0,,,,,
2/25/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4.21,4.21,0,2.09,2.12,9,1,1,1,1,1,9:00,9:44,,0,,,,,
2/26/19,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,8.82,8.82,0,0,8.82,10,1,1,1,1,1,9:18,10:05,5 fish in trap. All SH. One recap.,0,,,,,
2/27/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:15,Weir panels barely overtopped. No fish in trap box.,0,,,,,
2/28/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:00,kevin and scott from MBARI visited and took measurements for e-DNA project,0,,,,,
3/1/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:25,checked trap. No fish. Cleared debris from panels.,0,,,,,
3/2/19,1,1,0,1,0,1.64,1.64,0,1.64,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:05,9:20,"One broodstock coho on weir panels. Rain last night, stream rising. No fish in box. Weir stage 0.8",0,,,,,
3/3/19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,6.77,6.77,0,0,6.77,9,1,1,1,1,1,8:52,9:27,3 SH in trap eventhough weir pannels are overtopped.,0,,,,,
3/4/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:00,9:30,,0,,,,,
3/5/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:35,9:50,checked trap. Suspected a sculpin. Did not get any fish.,0,,,,,
3/6/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:25,9:45,trap performance still a 1 even though it was completely overtopped,0,,,,,
3/7/19,0,0,0,0,0,0,0,0,0,0,0,9,9,0,1,8,15.76,15.76,0,2.35,13.41,10,1,1,1,1,1,9:33,11:00,8 sthd in weir trap,0,,,,,
3/8/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:15,9:30,checked trap. No fish. AH forgot he wasn't zipped before hopping into the trap :),0,,,,,
3/9/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,8:45,8:56,,0,,,,,
3/10/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,10:30,10:45,no fish in trap,0,,,,,
3/11/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:20,9:42,Cleared off pannels. Tips of all pannels very close to breaking the surface.,0,,,,,
3/12/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11:06,11:26,checked trap- no fish. Cleared weir panels which are now barely sticking out from the water.,0,,,,,
3/13/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.17,3.17,0,0,3.17,9,1,1,1,1,1,9:30,9:44,,0,,,,,
3/14/19,1,1,0,1,0,1.13,1.13,0,1.13,0,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,9:30,9:45,One BR Mort. With Kelley Cutsinger.,0,,,,,
3/15/19,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,5.46,5.46,0,0,5.46,8,1,1,1,1,1,8:19,8:35,with ZT and BT. 3 SH (two were recaps).,0,,,,,
3/16/19,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3.56,3.56,0,0,3.56,9,1,1,1,1,1,9:50,10:04,2 SH (one was a recap). With KC,0,,,,,
3/17/19,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,6.6,6.6,0,0,6.6,9,1,1,1,1,1,9:45,10:15,with Kelly. 4 SH (all new tags).,0,,,,,
3/18/19,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,3,7.57,7.57,0,2.15,5.42,8.5,1,1,1,1,1,,,,0,,,,,
