date,Adult_Coho_Weir,Adult_Sthd_Weir,Adult_Sthd_SmltTrap,Juv_Coho_SmltTrap,Juv_Sthd_SmltTrap,Notes
10/1/18,N/A,N/A,N/A,N/A,N/A,
10/2/18,N/A,N/A,N/A,N/A,N/A,
10/3/18,N/A,N/A,N/A,N/A,N/A,
10/4/18,N/A,N/A,N/A,N/A,N/A,
10/5/18,N/A,N/A,N/A,N/A,N/A,
10/6/18,N/A,N/A,N/A,N/A,N/A,
10/7/18,N/A,N/A,N/A,N/A,N/A,
10/8/18,N/A,N/A,N/A,N/A,N/A,
10/9/18,N/A,N/A,N/A,N/A,N/A,
10/10/18,N/A,N/A,N/A,N/A,N/A,
10/11/18,N/A,N/A,N/A,N/A,N/A,
10/12/18,N/A,N/A,N/A,N/A,N/A,
10/13/18,N/A,N/A,N/A,N/A,N/A,
10/14/18,N/A,N/A,N/A,N/A,N/A,
10/15/18,N/A,N/A,N/A,N/A,N/A,
10/16/18,N/A,N/A,N/A,N/A,N/A,
10/17/18,N/A,N/A,N/A,N/A,N/A,
10/18/18,N/A,N/A,N/A,N/A,N/A,
10/19/18,N/A,N/A,N/A,N/A,N/A,
10/20/18,N/A,N/A,N/A,N/A,N/A,
10/21/18,N/A,N/A,N/A,N/A,N/A,
10/22/18,N/A,N/A,N/A,N/A,N/A,
10/23/18,N/A,N/A,N/A,N/A,N/A,
10/24/18,N/A,N/A,N/A,N/A,N/A,
10/25/18,N/A,N/A,N/A,N/A,N/A,
10/26/18,N/A,N/A,N/A,N/A,N/A,
10/27/18,N/A,N/A,N/A,N/A,N/A,
10/28/18,N/A,N/A,N/A,N/A,N/A,
10/29/18,N/A,N/A,N/A,N/A,N/A,
10/30/18,N/A,N/A,N/A,N/A,N/A,
10/31/18,N/A,N/A,N/A,N/A,N/A,
11/1/18,N/A,N/A,N/A,N/A,N/A,
11/2/18,N/A,N/A,N/A,N/A,N/A,
11/3/18,N/A,N/A,N/A,N/A,N/A,
11/4/18,N/A,N/A,N/A,N/A,N/A,
11/5/18,N/A,N/A,N/A,N/A,N/A,
11/6/18,N/A,N/A,N/A,N/A,N/A,
11/7/18,N/A,N/A,N/A,N/A,N/A,
11/8/18,N/A,N/A,N/A,N/A,N/A,
11/9/18,N/A,N/A,N/A,N/A,N/A,
11/10/18,N/A,N/A,N/A,N/A,N/A,
11/11/18,N/A,N/A,N/A,N/A,N/A,
11/12/18,N/A,N/A,N/A,N/A,N/A,
11/13/18,N/A,N/A,N/A,N/A,N/A,
11/14/18,N/A,N/A,N/A,N/A,N/A,
11/15/18,N/A,N/A,N/A,N/A,N/A,
11/16/18,N/A,N/A,N/A,N/A,N/A,
11/17/18,N/A,N/A,N/A,N/A,N/A,
11/18/18,N/A,N/A,N/A,N/A,N/A,
11/19/18,N/A,N/A,N/A,N/A,N/A,
11/20/18,N/A,N/A,N/A,N/A,N/A,
11/21/18,N/A,N/A,N/A,N/A,N/A,
11/22/18,N/A,N/A,N/A,N/A,N/A,
11/23/18,N/A,N/A,N/A,N/A,N/A,
11/24/18,N/A,N/A,N/A,N/A,N/A,
11/25/18,N/A,N/A,N/A,N/A,N/A,
11/26/18,N/A,N/A,N/A,N/A,N/A,
11/27/18,N/A,N/A,N/A,N/A,N/A,
11/28/18,N/A,N/A,N/A,N/A,N/A,
11/29/18,N/A,N/A,N/A,N/A,N/A,
11/30/18,N/A,N/A,N/A,N/A,N/A,
12/1/18,N/A,N/A,N/A,N/A,N/A,
12/2/18,N/A,N/A,N/A,N/A,N/A,
12/3/18,N/A,N/A,N/A,N/A,N/A,
12/4/18,N/A,N/A,N/A,N/A,N/A,
12/5/18,N/A,N/A,N/A,N/A,N/A,
12/6/18,N/A,N/A,N/A,N/A,N/A,
12/7/18,N/A,N/A,N/A,N/A,N/A,
12/8/18,N/A,N/A,N/A,N/A,N/A,
12/9/18,N/A,N/A,N/A,N/A,N/A,
12/10/18,N/A,N/A,N/A,N/A,N/A,
12/11/18,N/A,N/A,N/A,N/A,N/A,
12/12/18,N/A,N/A,N/A,N/A,N/A,
12/13/18,N/A,N/A,N/A,N/A,N/A,
12/14/18,N/A,N/A,N/A,N/A,N/A,
12/15/18,N/A,N/A,N/A,N/A,N/A,
12/16/18,N/A,N/A,N/A,N/A,N/A,
12/17/18,N/A,N/A,N/A,N/A,N/A,
12/18/18,N/A,N/A,N/A,N/A,N/A,
12/19/18,N/A,N/A,N/A,N/A,N/A,
12/20/18,N/A,N/A,N/A,N/A,N/A,
12/21/18,N/A,N/A,N/A,N/A,N/A,
12/22/18,N/A,N/A,N/A,N/A,N/A,
12/23/18,N/A,N/A,N/A,N/A,N/A,
12/24/18,N/A,N/A,N/A,N/A,N/A,
12/25/18,N/A,N/A,N/A,N/A,N/A,
12/26/18,N/A,N/A,N/A,N/A,N/A,
12/27/18,N/A,N/A,N/A,N/A,N/A,
12/28/18,N/A,N/A,N/A,N/A,N/A,
12/29/18,N/A,N/A,N/A,N/A,N/A,
12/30/18,N/A,N/A,N/A,N/A,N/A,
12/31/18,N/A,N/A,N/A,N/A,N/A,
1/1/19,N/A,N/A,N/A,N/A,N/A,
1/2/19,N/A,N/A,N/A,N/A,N/A,
1/3/19,N/A,N/A,N/A,N/A,N/A,
1/4/19,N/A,N/A,N/A,N/A,N/A,
1/5/19,0,0,N/A,N/A,N/A,First day of the winter 2018-2019 adult trapping season
1/6/19,0,0,N/A,N/A,N/A,
1/7/19,0,0,N/A,N/A,N/A,
1/8/19,1,7,N/A,N/A,N/A,
1/9/19,2,2,N/A,N/A,N/A,
1/10/19,0,1,N/A,N/A,N/A,
1/11/19,0,0,N/A,N/A,N/A,
1/12/19,0,6,N/A,N/A,N/A,
1/13/19,0,1,N/A,N/A,N/A,
1/14/19,0,0,N/A,N/A,N/A,
1/15/19,0,0,N/A,N/A,N/A,
1/16/19,0,1,N/A,N/A,N/A,
1/17/19,0,0,N/A,N/A,N/A,
1/18/19,0,0,N/A,N/A,N/A,
1/19/19,0,0,N/A,N/A,N/A,
1/20/19,0,4,N/A,N/A,N/A,
1/21/19,0,3,N/A,N/A,N/A,
1/22/19,0,3,N/A,N/A,N/A,
1/23/19,0,2,N/A,N/A,N/A,
1/24/19,0,0,N/A,N/A,N/A,
1/25/19,0,2,N/A,N/A,N/A,
1/26/19,0,0,N/A,N/A,N/A,
1/27/19,0,0,N/A,N/A,N/A,
1/28/19,0,0,N/A,N/A,N/A,
1/29/19,0,2,N/A,N/A,N/A,
1/30/19,0,1,N/A,N/A,N/A,
1/31/19,0,2,N/A,N/A,N/A,
2/1/19,0,0,N/A,N/A,N/A,
2/2/19,0,0,N/A,N/A,N/A,
2/3/19,0,0,N/A,N/A,N/A,
2/4/19,0,0,N/A,N/A,N/A,
2/5/19,0,2,N/A,N/A,N/A,
2/6/19,0,1,N/A,N/A,N/A,
2/7/19,0,0,N/A,N/A,N/A,
2/8/19,0,2,N/A,N/A,N/A,
2/9/19,0,5,N/A,N/A,N/A,
2/10/19,0,2,N/A,N/A,N/A,
2/11/19,0,0,N/A,N/A,N/A,
2/12/19,1,0,N/A,N/A,N/A,
2/13/19,0,0,N/A,N/A,N/A,
2/14/19,0,0,N/A,N/A,N/A,
2/15/19,0,0,N/A,N/A,N/A,
2/16/19,0,0,N/A,N/A,N/A,
2/17/19,0,0,N/A,N/A,N/A,
2/18/19,0,0,N/A,N/A,N/A,
2/19/19,0,1,N/A,N/A,N/A,
2/20/19,0,3,N/A,N/A,N/A,
2/21/19,0,1,N/A,N/A,N/A,
2/22/19,0,0,N/A,N/A,N/A,
2/23/19,0,0,N/A,N/A,N/A,
2/24/19,0,7,N/A,N/A,N/A,
2/25/19,0,1,N/A,N/A,N/A,
2/26/19,0,5,N/A,N/A,N/A,
2/27/19,0,0,N/A,N/A,N/A,
2/28/19,0,0,N/A,N/A,N/A,
3/1/19,0,0,N/A,N/A,N/A,
3/2/19,0,0,N/A,N/A,N/A,
3/3/19,0,3,N/A,N/A,N/A,
3/4/19,0,0,N/A,N/A,N/A,
3/5/19,0,0,N/A,N/A,N/A,
3/6/19,0,0,N/A,N/A,N/A,
3/7/19,0,9,N/A,N/A,N/A,
3/8/19,0,0,N/A,N/A,N/A,
3/9/19,0,0,N/A,N/A,N/A,
3/10/19,0,0,N/A,N/A,N/A,
3/11/19,0,0,N/A,N/A,N/A,
3/12/19,0,0,N/A,N/A,N/A,
3/13/19,0,2,N/A,N/A,N/A,
3/14/19,0,0,N/A,N/A,N/A,
3/15/19,0,3,N/A,N/A,N/A,
3/16/19,0,2,N/A,N/A,N/A,
3/17/19,0,4,N/A,N/A,N/A,
3/18/19,0,3,N/A,N/A,N/A,
3/19/19,0,0,N/A,N/A,N/A,
3/20/19,0,6,0,1,11,Smolt trap installed but subsequently removed until 4/16 due to high stream flows
3/21/19,0,6,0,Trap Removed,Trap Removed,
3/22/19,0,2,0,Trap Removed,Trap Removed,
3/23/19,0,2,0,Trap Removed,Trap Removed,
