"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"coho","1rep.LOD",11.9584165922667,8.71058421403854,15.206248970495,1.65571967326978
"coho","2rep.LOD",5.7000380830573,3.27477898133438,8.12529718478022,1.23637821779764
"coho","3rep.LOD",3.86781892281738,1.5961643968942,6.13947344874056,1.15807180033571
"coho","4rep.LOD",2.95941492298873,0.864060918940855,5.0547689270366,1.06819516617397
"coho","5rep.LOD",2.41379089257343,0.476736962498511,4.35084482264835,0.987495020281569
"coho","8rep.LOD",1.5908370427536,0.000277293013148494,3.18139679249404,0.810854983406808
"trout","1rep.LOD",22.9635333663481,14.748037962278,31.1790287704182,4.18809105491207
"trout","2rep.LOD",9.15164215135314,7.98699712668801,10.3162871760183,0.593712146382724
"trout","3rep.LOD",5.34297691449431,4.73094693075103,5.9550068982376,0.312000332808094
"trout","4rep.LOD",3.64719804789096,2.92841413404316,4.36598196173876,0.366421296822742
"trout","5rep.LOD",2.71229109257033,1.97080268622408,3.45377949891658,0.377995581423032
"trout","8rep.LOD",1.45351548722573,0.810135112730605,2.09689586172086,0.327982119008196
