"Target","Cq","SQ"
"coho",17.85755157,1e+06
"coho",17.73448753,1e+06
"coho",17.75526428,1e+06
"coho",17.43959999,1e+06
"coho",17.76992035,1e+06
"coho",17.7039032,1e+06
"coho",17.42045784,1e+06
"coho",17.41261292,1e+06
"coho",17.29056358,1e+06
"coho",20.94486427,1e+05
"coho",20.92051888,1e+05
"coho",20.98499298,1e+05
"coho",21.09737396,1e+05
"coho",29.98430443,10000
"coho",30.02978516,10000
"coho",30.0458107,10000
"coho",38.36563873,10000
"coho",33.73308182,10000
"coho",26.71366501,1000
"coho",26.59132957,1000
"coho",26.78579521,1000
"coho",39.13060379,100
"coho",38.04648972,100
"coho",37.46628952,100
"coho",33.51781082,5
"coho",33.79945374,5
"coho",33.66997147,5
"trout",26.20182419,1000
"trout",25.94949913,1000
"trout",26.1141758,1000
"trout",33.57133865,1000
"trout",32.491436,1000
"trout",32.99067307,1000
"trout",36.39065933,100
"trout",36.65161896,100
"trout",32.33209229,10
"trout",32.05353928,10
"trout",32.06105042,10
"trout",33.42033005,5
"trout",33.34216309,5
"bass",16.99718094,1e+06
"bass",16.87614822,1e+06
"bass",16.87116814,1e+06
"bass",20.49561119,1e+05
"bass",20.45517921,1e+05
"bass",20.49998093,1e+05
"bass",23.99459076,10000
"bass",24.10440254,10000
"bass",24.10157204,10000
"bass",35.66439438,10
"bass",35.76931763,10
"bass",35.42947006,10
"bass",37.16415024,5
"nzms",17.25195694,1e+06
"nzms",35.16274643,1000
"nzms",37.16247177,10
