target,Ct,quantity
coho,19.22520828,1000000
coho,18.95340538,1000000
coho,18.83773232,1000000
coho,21.75493813,100000
coho,21.29737091,100000
coho,21.35864258,100000
coho,25.12310982,10000
coho,24.71338654,10000
coho,24.78457642,10000
coho,28.76001167,1000
coho,28.45179939,1000
coho,28.49076843,1000
coho,31.77895164,100
coho,31.99551392,100
coho,31.16972923,100
coho,36.55305862,10
coho,34.33712006,10
coho,35.32952499,10
coho,37.65584183,5
coho,35.19184113,5
coho,Undetermined,5
coho,20.21873093,1000000
coho,20.12264061,1000000
coho,20.09085464,1000000
coho,23.49358559,100000
coho,23.5990715,100000
coho,23.54219437,100000
coho,26.1072197,10000
coho,27.87171364,10000
coho,27.46086311,10000
coho,30.57057381,1000
coho,30.47967529,1000
coho,30.47743034,1000
coho,33.7465477,100
coho,34.23290634,100
coho,34.17715836,100
coho,36.98766708,10
coho,39.44044876,10
coho,38.64048767,10
coho,37.05712509,5
coho,Undetermined,5
coho,38.35981369,5
trout,19.23835754,1000000
trout,18.82534409,1000000
trout,18.916605,1000000
trout,22.76436996,100000
trout,22.63870049,100000
trout,22.83272743,100000
trout,25.74035072,10000
trout,26.35414886,10000
trout,26.25395966,10000
trout,29.7202282,1000
trout,29.56217003,1000
trout,29.65140343,1000
trout,32.94347382,100
trout,33.14376068,100
trout,33.50720596,100
trout,35.79102707,10
trout,35.66788864,10
trout,36.44678497,10
trout,36.99943924,5
trout,Undetermined,5
trout,Undetermined,5
trout,19.0800724,1000000
trout,19.21366882,1000000
trout,19.43550301,1000000
trout,22.46784782,100000
trout,23.28313446,100000
trout,23.49884415,100000
trout,25.44490242,10000
trout,27.89693069,10000
trout,27.51124763,10000
trout,29.71068001,1000
trout,30.35280228,1000
trout,30.85369873,1000
trout,32.5052948,100
trout,33.49908829,100
trout,32.80861282,100
trout,37.00318146,10
trout,37.69791412,10
trout,Undetermined,10
trout,37.4426918,5
trout,37.19491959,5
trout,38.71314621,5
coho,17.85755157,1000000
coho,17.73448753,1000000
coho,17.75526428,1000000
coho,21.27177238,100000
coho,20.94486427,100000
coho,21.16119385,100000
coho,24.52928734,10000
coho,24.66213417,10000
coho,24.54328728,10000
coho,28.06191444,1000
coho,27.90216827,1000
coho,27.90041161,1000
coho,31.5395298,100
coho,31.48283005,100
coho,31.14204597,100
coho,34.86678314,10
coho,34.75483704,10
coho,35.86712646,10
coho,35.12596893,5
coho,37.51641464,5
coho,36.4932251,5
coho,19.86147308,1000000
coho,20.11665344,1000000
coho,20.02452087,1000000
coho,22.95747757,100000
coho,23.61563301,100000
coho,23.71746254,100000
coho,26.18032837,10000
coho,26.95989227,10000
coho,26.89865303,10000
coho,29.92806244,1000
coho,30.59639359,1000
coho,30.51371384,1000
coho,33.52054977,100
coho,34.10316467,100
coho,33.63041687,100
coho,37.08679199,10
coho,39.07688141,10
coho,39.67421341,10
coho,38.54347992,5
coho,38.40734482,5
coho,Undetermined,5
trout,18.26003075,1000000
trout,17.60889816,1000000
trout,17.50043488,1000000
trout,20.75371552,100000
trout,20.77515602,100000
trout,20.87820244,100000
trout,23.44345093,10000
trout,23.1125145,10000
trout,23.77347374,10000
trout,27.76335716,1000
trout,27.74570465,1000
trout,27.71339989,1000
trout,30.91339493,100
trout,30.93268585,100
trout,30.54610062,100
trout,34.41831589,10
trout,34.87401199,10
trout,34.33027267,10
trout,36.44923019,5
trout,37.11333466,5
trout,Undetermined,5
trout,18.93210793,1000000
trout,19.15658569,1000000
trout,19.04647446,1000000
trout,21.84819412,100000
trout,22.35891533,100000
trout,22.5099144,100000
trout,25.13359833,10000
trout,25.99798203,10000
trout,25.56580162,10000
trout,29.01477051,1000
trout,29.56726646,1000
trout,29.6351738,1000
trout,32.45069504,100
trout,32.45052338,100
trout,32.93615341,100
trout,35.50666809,10
trout,35.34856415,10
trout,37.62885284,10
trout,39.03834534,5
trout,35.47907639,5
trout,35.76575089,5
coho,20.24938011,1000000
coho,19.89520073,1000000
coho,20.02875137,1000000
coho,23.5855999,100000
coho,23.38353539,100000
coho,23.48445129,100000
coho,26.84599304,10000
coho,26.97805595,10000
coho,26.82115555,10000
coho,30.34147835,1000
coho,30.10491371,1000
coho,30.49476624,1000
coho,32.97254944,100
coho,34.47607422,100
coho,33.52760315,100
coho,38.41192245,10
coho,38.75829315,10
coho,38.62337494,10
coho,38.36039352,5
coho,37.71786499,5
coho,36.35038376,5
coho,20.204422,1000000
coho,20.08299828,1000000
coho,19.94293022,1000000
coho,23.37976456,100000
coho,23.21784973,100000
coho,23.36340523,100000
coho,26.66103554,10000
coho,26.78365707,10000
coho,26.66480064,10000
coho,30.2656002,1000
coho,30.22012329,1000
coho,30.49014282,1000
coho,33.40741348,100
coho,33.99240494,100
coho,33.98064804,100
coho,39.39480591,10
coho,Undetermined,10
coho,37.62460709,10
coho,36.39610672,5
coho,Undetermined,5
coho,38.33078384,5
trout,18.58374596,1000000
trout,18.33317757,1000000
trout,18.16069794,1000000
trout,21.75955009,100000
trout,21.65065956,100000
trout,21.86512947,100000
trout,25.19204712,10000
trout,24.90911484,10000
trout,24.99759674,10000
trout,28.33996391,1000
trout,28.24329567,1000
trout,28.32597923,1000
trout,31.60809326,100
trout,31.95510864,100
trout,32.09345627,100
trout,34.92685699,10
trout,36.33163834,10
trout,35.42528534,10
trout,37.08435059,5
trout,35.67077255,5
trout,35.63912201,5
trout,19.03162956,1000000
trout,18.87377548,1000000
trout,18.81234741,1000000
trout,22.29731941,100000
trout,22.14407349,100000
trout,22.14757538,100000
trout,25.62753677,10000
trout,25.65841484,10000
trout,25.6341629,10000
trout,29.08072281,1000
trout,29.35881042,1000
trout,29.35361481,1000
trout,32.97777557,100
trout,33.04506683,100
trout,32.96186447,100
trout,35.37537766,10
trout,37.58609772,10
trout,36.06349564,10
trout,36.66743469,5
trout,35.53508759,5
trout,38.54791641,5
coho,20.8443222,1000000
coho,20.62168694,1000000
coho,20.49605942,1000000
coho,24.05408859,100000
coho,23.97260475,100000
coho,24.02016449,100000
coho,Undetermined,10000
coho,38.36563873,10000
coho,33.73308182,10000
coho,27.40860748,1000
coho,27.35359955,1000
coho,27.33878899,1000
coho,30.83558655,100
coho,30.84272194,100
coho,30.66174889,100
coho,37.53957748,10
coho,37.11953735,10
coho,36.41370392,10
coho,36.06285858,5
coho,37.42346191,5
coho,36.85419846,5
trout,19.50581169,1000000
trout,18.94125938,1000000
trout,18.92054749,1000000
trout,21.56772995,100000
trout,21.96855354,100000
trout,22.07061195,100000
trout,25.92151833,10000
trout,25.75673866,10000
trout,25.78993988,10000
trout,29.54060364,1000
trout,29.29194641,1000
trout,29.33187675,1000
trout,32.74283981,100
trout,32.59817886,100
trout,32.47790909,100
