id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file,sample_type,sample_mid,sample_wake,sample_start,sample_end,sample_duration,vol_target,vol_actual,vol_diff,lab_field,ESP,log_file,sample_rate,date,hour,morn_midday_eve,deployment
SCr-NTC1,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Omykiss_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-NTC1,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Omykiss_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-NTC1,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Okisutch_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-160506A,trout,1:5,856.1944470858954,142.15640173063284,1,0,0,3,3,0,0,32.02376937866211,0.25924918055534363,,,20210208_Scott_Creek_Omykiss_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-28326,coho,1:5,349.65836130008853,170.32919970272482,1,0,0,3,3,0,0,34.40173721,0.686835766,,,20201001_Scott_Creek_Okisutch_Chloe_P1_results.csv,?,,,,,,,,,,,,,,,,
SCr-160506A,coho,1:5,56.246944265387704,97.42256523814642,1,0,0,3,3,2,2,36.71452713012695,1.1598522663116455,,,20210208_Scott_Creek_Okisutch_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-43943,coho,1:1,181.27136553828566,81.64617239735384,1,0,0,3,3,0,0,32.98659134,0.793012798,,,20201116_Scott_Creek_Okisutch_Chloe_P1_data.csv,?,,,,,,,,,,,,,,,,
SCr-NTC1,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20201124_Scott_Creek_Okisutch_Kevan_P1.xls,?,,,,,,,,,,,,,,,,
SCr-135,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 16:05:04,2019-05-02 15:54:11,2019-05-02 15:59:43,2019-05-02 16:10:27,10.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,46.64179104477611,2019-05-02,16.0,1.0,2.0
SCr-135,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Okistuch_Kevan_P1_data.xls,Control,2019-05-02 16:05:04,2019-05-02 15:54:11,2019-05-02 15:59:43,2019-05-02 16:10:27,10.72,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,46.64179104477611,2019-05-02,16.0,1.0,2.0
SCr-134,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210331_Scott_Creek_Omykiss_Kevan_P1_data.xls,Control,2019-05-02 15:31:53,2019-05-02 15:21:14,2019-05-02 15:26:44,2019-05-02 15:37:02,10.3,500.0,500.0,0.0,control,Moe,Moe_2019_Scott_Creek_2_20210223.csv,48.543689320388346,2019-05-02,16.0,1.0,2.0
