id,target,dilution,Ct_Mean,delta_Ct
EB3520A,coho,1:1,,
EB3520A,coho,1:5,,
EB3520A,trout,1:1,,
EB3520A,trout,1:5,,
EB3520B,coho,1:1,39.37060546875,
EB3520B,coho,1:5,,
EB3520B,trout,1:1,,
EB3520B,trout,1:5,,
SCr-1,coho,1:1,,
SCr-1,coho,1:5,,
SCr-1,trout,1:1,,
SCr-1,trout,1:5,,
SCr-10,coho,1:1,,
SCr-10,coho,1:5,38.57687377929688,
SCr-10,trout,1:1,35.81356811523437,-1.623283386230483
SCr-10,trout,1:5,37.43685150146485,
SCr-100,coho,1:1,35.80771255493164,-3.2423095703125
SCr-100,coho,1:5,39.05002212524414,
SCr-100,trout,1:1,31.70675468444824,-2.2457561492919957
SCr-100,trout,1:5,33.952510833740234,
SCr-101,coho,1:1,36.19087600708008,-2.481006622314453
SCr-101,coho,1:5,38.67188262939453,
SCr-101,trout,1:1,32.59371566772461,-2.6254501342773438
SCr-101,trout,1:5,35.21916580200195,
SCr-102,coho,1:1,34.7277565,-0.9975166299999998
SCr-102,coho,1:5,35.72527313,
SCr-102,trout,1:1,28.56686211,-1.96621704
SCr-102,trout,1:5,30.53307915,
SCr-103,coho,1:1,35.46719741821289,-2.7685317993164062
SCr-103,coho,1:5,38.2357292175293,
SCr-103,trout,1:1,32.06148147583008,-2.3987998962402273
SCr-103,trout,1:5,34.460281372070305,
SCr-104,coho,1:1,39.3381233215332,
SCr-104,coho,1:5,,
SCr-104,trout,1:1,33.632625579833984,1.3088531494140625
SCr-104,trout,1:5,32.32377243041992,
SCr-105,coho,1:1,39.10943222045898,0.8022537231445241
SCr-105,coho,1:5,38.30717849731445,
SCr-105,trout,1:1,32.72219467163086,-1.8651313781738352
SCr-105,trout,1:5,34.587326049804695,
SCr-106,coho,1:1,34.63514328,-2.3534164399999966
SCr-106,coho,1:5,36.98855972,
SCr-106,trout,1:1,28.2074337,-2.0434722900000004
SCr-106,trout,1:5,30.25090599,
SCr-107,coho,1:1,38.27119064331055,0.7034873962402344
SCr-107,coho,1:5,37.56770324707031,
SCr-107,trout,1:1,34.12180709838867,-2.0933914184570312
SCr-107,trout,1:5,36.2151985168457,
SCr-108,coho,1:1,36.524227142333984,-0.8267860412597656
SCr-108,coho,1:5,37.35101318359375,
SCr-108,trout,1:1,31.127824783325195,-2.6224651336669993
SCr-108,trout,1:5,33.750289916992195,
SCr-109,coho,1:1,35.89017868041992,-1.5392227172851562
SCr-109,coho,1:5,37.42940139770508,
SCr-109,trout,1:1,32.36952590942383,-1.9306259155273438
SCr-109,trout,1:5,34.30015182495117,
SCr-11,coho,1:1,,
SCr-11,coho,1:5,38.90095520000001,
SCr-11,trout,1:1,37.77127075,
SCr-11,trout,1:5,,
SCr-110,coho,1:1,39.6052360534668,2.568592071533196
SCr-110,coho,1:5,37.0366439819336,
SCr-110,trout,1:1,33.92368698120117,0.8638687133789062
SCr-110,trout,1:5,33.059818267822266,
SCr-111,coho,1:1,36.50458526611328,-1.8490867614746094
SCr-111,coho,1:5,38.35367202758789,
SCr-111,trout,1:1,32.127059936523445,-2.5961418151855398
SCr-111,trout,1:5,34.723201751708984,
SCr-112,coho,1:1,38.36735153198242,1.0193252563476491
SCr-112,coho,1:5,37.34802627563477,
SCr-112,trout,1:1,31.92601585388184,-1.6119785308837855
SCr-112,trout,1:5,33.537994384765625,
SCr-113,coho,1:1,32.69494247,-1.7612915099999995
SCr-113,coho,1:5,34.45623398,
SCr-113,trout,1:1,28.5827961,-2.22035026
SCr-113,trout,1:5,30.80314636,
SCr-114,coho,1:1,34.342453000000006,-2.847415929999997
SCr-114,coho,1:5,37.18986893,
SCr-114,trout,1:1,28.40892982,-1.8582058000000004
SCr-114,trout,1:5,30.26713562,
SCr-115,coho,1:1,38.7120361328125,0.24128341674804688
SCr-115,coho,1:5,38.47075271606445,
SCr-115,trout,1:1,32.19209671020508,-2.4094924926757812
SCr-115,trout,1:5,34.60158920288086,
SCr-116,coho,1:1,39.75374221801758,0.7748947143554688
SCr-116,coho,1:5,38.97884750366211,
SCr-116,trout,1:1,36.62776184082031,-1.8894462585449148
SCr-116,trout,1:5,38.51720809936523,
SCr-117,coho,1:1,38.87960052490234,0.2992095947265554
SCr-117,coho,1:5,38.58039093017578,
SCr-117,trout,1:1,37.17425537109375,
SCr-117,trout,1:5,,
SCr-118,coho,1:1,,
SCr-118,coho,1:5,38.41162872314453,
SCr-118,trout,1:1,37.11993789672852,-0.7159347534179545
SCr-118,trout,1:5,37.83587265014648,
SCr-119,coho,1:1,39.03970337,
SCr-119,coho,1:5,,
SCr-119,trout,1:1,35.52800751,
SCr-119,trout,1:5,,
SCr-12,coho,1:1,,
SCr-12,coho,1:5,,
SCr-12,trout,1:1,35.15182877,-0.23757933999999636
SCr-12,trout,1:5,35.38940811,
SCr-120,coho,1:1,38.55559539794922,-0.9435958862304688
SCr-120,coho,1:5,39.49919128417969,
SCr-120,trout,1:1,34.38450241088867,-2.6784095764160156
SCr-120,trout,1:5,37.06291198730469,
SCr-121,coho,1:1,37.30948639,-1.1201286300000035
SCr-121,coho,1:5,38.42961502,
SCr-121,trout,1:1,31.74113655,-1.4248828899999992
SCr-121,trout,1:5,33.16601944,
SCr-122,coho,1:1,38.246864318847656,
SCr-122,coho,1:5,,
SCr-122,trout,1:1,34.36676025390625,-2.206573486328125
SCr-122,trout,1:5,36.573333740234375,
SCr-123,coho,1:1,,
SCr-123,coho,1:5,,
SCr-123,trout,1:1,36.10049057006836,-2.525989532470703
SCr-123,trout,1:5,38.62648010253906,
SCr-124,coho,1:1,38.26704407,-1.1453056300000029
SCr-124,coho,1:5,39.4123497,
SCr-124,trout,1:1,32.85488129,-2.1895141600000017
SCr-124,trout,1:5,35.04439545,
SCr-125,coho,1:1,39.07239532,-0.16435242000000017
SCr-125,coho,1:5,39.23674774,
SCr-125,trout,1:1,36.15195084,-0.5258064200000021
SCr-125,trout,1:5,36.67775726,
SCr-126,coho,1:1,,
SCr-126,coho,1:5,38.93826675415039,
SCr-126,trout,1:1,37.463722229003906,-0.6897468566894531
SCr-126,trout,1:5,38.15346908569336,
SCr-127,coho,1:1,,
SCr-127,coho,1:5,,
SCr-127,trout,1:1,37.2156982421875,-0.28208160400390625
SCr-127,trout,1:5,37.497779846191406,
SCr-128,coho,1:1,36.4935188293457,-2.8738555908203125
SCr-128,coho,1:5,39.367374420166016,
SCr-128,trout,1:1,33.79965209960937,-1.6195831298828196
SCr-128,trout,1:5,35.41923522949219,
SCr-129,coho,1:1,,
SCr-129,coho,1:5,,
SCr-129,trout,1:1,,
SCr-129,trout,1:5,,
SCr-13,coho,1:1,38.54922103881836,-0.1068115234375
SCr-13,coho,1:5,38.65603256225586,
SCr-13,trout,1:1,34.45833969116211,-0.7148818969726634
SCr-13,trout,1:5,35.17322158813477,
SCr-130,coho,1:1,,
SCr-130,coho,1:5,,
SCr-130,trout,1:1,,
SCr-130,trout,1:5,,
SCr-131,coho,1:1,,
SCr-131,coho,1:5,,
SCr-131,trout,1:1,,
SCr-131,trout,1:5,,
SCr-133,coho,1:1,,
SCr-133,coho,1:5,,
SCr-133,trout,1:1,6.0449275970458975,
SCr-133,trout,1:5,,
SCr-134,coho,1:1,,
SCr-134,coho,1:5,,
SCr-134,trout,1:1,,
SCr-134,trout,1:5,,
SCr-135,coho,1:1,39.16231537,
SCr-135,coho,1:5,,
SCr-135,trout,1:1,,
SCr-135,trout,1:5,,
SCr-136,coho,1:1,34.44337082,-2.9271049500000004
SCr-136,coho,1:5,37.37047577,
SCr-136,trout,1:1,30.54472923,-2.0717220299999966
SCr-136,trout,1:5,32.61645126,
SCr-137,coho,1:1,35.29893875,-1.6482200599999999
SCr-137,coho,1:5,36.94715881,
SCr-137,trout,1:1,30.42607689,-2.1703319500000013
SCr-137,trout,1:5,32.59640884,
SCr-138,coho,1:1,35.76506805419922,-2.230907440185554
SCr-138,coho,1:5,37.99597549438477,
SCr-138,trout,1:1,31.405805587768555,-2.529520034790039
SCr-138,trout,1:5,33.935325622558594,
SCr-139,coho,1:1,35.8129768371582,-2.2303466796875
SCr-139,coho,1:5,38.0433235168457,
SCr-139,trout,1:1,31.27551460266113,-2.219903945922855
SCr-139,trout,1:5,33.495418548583984,
SCr-14,coho,1:1,37.17562485,-0.8655815099999984
SCr-14,coho,1:5,38.04120636,
SCr-14,trout,1:1,34.2660675,-2.871887210000004
SCr-14,trout,1:5,37.13795471,
SCr-140,coho,1:1,,
SCr-140,coho,1:5,38.50199508666992,
SCr-140,trout,1:1,39.15368270874024,4.883575439453132
SCr-140,trout,1:5,34.27010726928711,
SCr-141,coho,1:1,35.95249939,-3.27767944
SCr-141,coho,1:5,39.23017883,
SCr-141,trout,1:1,31.45140076,-1.9521141000000028
SCr-141,trout,1:5,33.40351486,
SCr-142,coho,1:1,35.19649887084961,-0.7800331115722656
SCr-142,coho,1:5,35.976531982421875,
SCr-142,trout,1:1,31.25615692138672,-1.3693466186523366
SCr-142,trout,1:5,32.625503540039055,
SCr-143,coho,1:1,35.12275696,-1.6886634800000024
SCr-143,coho,1:5,36.81142044,
SCr-143,trout,1:1,30.86147118,-2.1422786699999996
SCr-143,trout,1:5,33.00374985,
SCr-144,coho,1:1,36.44852066040039,-1.3807220458984375
SCr-144,coho,1:5,37.82924270629883,
SCr-144,trout,1:1,32.37388229370117,-2.159137725830078
SCr-144,trout,1:5,34.53302001953125,
SCr-145,coho,1:1,32.46815491,-2.042831419999999
SCr-145,coho,1:5,34.51098633,
SCr-145,trout,1:1,30.059255600000004,-1.994733809999996
SCr-145,trout,1:5,32.05398941,
SCr-146,coho,1:1,35.86494827270508,-1.2117805480957031
SCr-146,coho,1:5,37.07672882080078,
SCr-146,trout,1:1,30.8498477935791,-2.060739517211914
SCr-146,trout,1:5,32.910587310791016,
SCr-147,coho,1:1,34.46141434,-2.009925840000001
SCr-147,coho,1:5,36.47134018,
SCr-147,trout,1:1,30.09757042,-2.1326885199999985
SCr-147,trout,1:5,32.23025894,
SCr-148,coho,1:1,,
SCr-148,coho,1:5,,
SCr-148,trout,1:1,,
SCr-148,trout,1:5,,
SCr-149,coho,1:1,34.27306747,-1.7151947099999987
SCr-149,coho,1:5,35.98826218,
SCr-149,trout,1:1,29.831941600000004,-1.7864360899999951
SCr-149,trout,1:5,31.61837769,
SCr-15,coho,1:1,39.00725555,-0.7044639599999982
SCr-15,coho,1:5,39.71171951,
SCr-15,trout,1:1,34.94200134,-2.568504340000004
SCr-15,trout,1:5,37.51050568,
SCr-150,coho,1:1,33.43658447,-2.5080566399999995
SCr-150,coho,1:5,35.94464111,
SCr-150,trout,1:1,30.02098083,-2.493206030000003
SCr-150,trout,1:5,32.51418686,
SCr-151,coho,1:1,35.58935546875,-1.3967170715332031
SCr-151,coho,1:5,36.9860725402832,
SCr-151,trout,1:1,31.40339660644531,-2.0175170898437464
SCr-151,trout,1:5,33.420913696289055,
SCr-152,coho,1:1,34.70264816,-2.39550019
SCr-152,coho,1:5,37.09814835,
SCr-152,trout,1:1,30.13192177,-2.062932969999995
SCr-152,trout,1:5,32.19485474,
SCr-153,coho,1:1,35.9750061,-1.380466460000001
SCr-153,coho,1:5,37.35547256,
SCr-153,trout,1:1,30.24573708,-2.228506079999999
SCr-153,trout,1:5,32.47424316,
SCr-154,coho,1:1,,
SCr-154,coho,1:5,37.3673210144043,
SCr-154,trout,1:1,34.39737319946289,0.7340240478515625
SCr-154,trout,1:5,33.66334915161133,
SCr-155,coho,1:1,31.76023293,-2.560239789999997
SCr-155,coho,1:5,34.32047272,
SCr-155,trout,1:1,28.3386097,-2.2145729000000003
SCr-155,trout,1:5,30.5531826,
SCr-156,coho,1:1,34.446483612060554,
SCr-156,trout,1:1,30.841100692749023,
SCr-157,coho,1:1,34.3544921875,-1.8251800537109375
SCr-157,coho,1:5,36.17967224121094,
SCr-157,trout,1:1,30.026891708374023,-2.0875301361083984
SCr-157,trout,1:5,32.11442184448242,
SCr-158,coho,1:1,37.12881088256836,-0.8579330444335938
SCr-158,coho,1:5,37.98674392700195,
SCr-158,trout,1:1,32.336349487304695,-0.9911727905273366
SCr-158,trout,1:5,33.32752227783203,
SCr-159,coho,1:1,35.992835998535156,-1.8713264465332031
SCr-159,coho,1:5,37.86416244506836,
SCr-159,trout,1:1,28.78238677978516,-1.97882080078125
SCr-159,trout,1:5,30.76120758056641,
SCr-16,coho,1:1,38.85337829589844,
SCr-16,coho,1:5,,
SCr-16,trout,1:1,35.10608673095703,-2.0881729125976562
SCr-16,trout,1:5,37.19425964355469,
SCr-160,coho,1:1,,
SCr-160,coho,1:5,35.84606552,
SCr-160,trout,1:1,30.744133,0.29862977000000157
SCr-160,trout,1:5,30.44550323,
SCr-160506A,coho,1:5,36.71452713012695,
SCr-160506A,trout,1:5,32.02376937866211,
SCr-161,coho,1:1,37.53726959,1.0992431600000003
SCr-161,coho,1:5,36.43802643,
SCr-161,trout,1:1,30.16283607,-0.9146099099999994
SCr-161,trout,1:5,31.07744598,
SCr-162,coho,1:1,39.82067108,1.4901847799999999
SCr-162,coho,1:5,38.3304863,
SCr-162,trout,1:1,31.16563606,0.5933151199999998
SCr-162,trout,1:5,30.57232094,
SCr-163,coho,1:1,,
SCr-163,coho,1:5,36.67692184,
SCr-163,trout,1:1,36.07394028,4.084087370000002
SCr-163,trout,1:5,31.98985291,
SCr-164,coho,1:1,36.66963577,0.7691955499999992
SCr-164,coho,1:5,35.90044022,
SCr-164,trout,1:1,32.21051025,-0.1423187299999995
SCr-164,trout,1:5,32.35282898,
SCr-165,coho,1:1,36.56371689,0.11489487000000054
SCr-165,coho,1:5,36.44882202,
SCr-165,trout,1:1,31.43861389,-1.0306205800000043
SCr-165,trout,1:5,32.46923447,
SCr-166,coho,1:1,36.43987274,-0.6457786600000048
SCr-166,coho,1:5,37.0856514,
SCr-166,trout,1:1,31.56682777,-1.6184787800000002
SCr-166,trout,1:5,33.18530655,
SCr-167,coho,1:1,34.90040207,-2.092670439999999
SCr-167,coho,1:5,36.99307251,
SCr-167,trout,1:1,30.28150368,-1.8625049600000025
SCr-167,trout,1:5,32.14400864,
SCr-168,coho,1:1,37.04098892,-1.1086082500000032
SCr-168,coho,1:5,38.14959717,
SCr-168,trout,1:1,31.54166222,-1.6571140300000025
SCr-168,trout,1:5,33.19877625,
SCr-169,coho,1:1,,
SCr-169,coho,1:5,,
SCr-169,trout,1:1,39.30633545,5.020153050000005
SCr-169,trout,1:5,34.286182399999994,
SCr-17,coho,1:1,,
SCr-17,coho,1:5,,
SCr-17,trout,1:1,38.35808563,
SCr-17,trout,1:5,,
SCr-170,coho,1:1,,
SCr-170,coho,1:5,,
SCr-170,trout,1:1,35.82250977,0.9758606000000043
SCr-170,trout,1:5,34.84664917,
SCr-171,coho,1:1,39.91506195,0.8971595800000003
SCr-171,coho,1:5,39.01790237,
SCr-171,trout,1:1,38.63737869,4.467609400000001
SCr-171,trout,1:5,34.16976929,
SCr-172,coho,1:1,38.36992264,-1.0724067700000006
SCr-172,coho,1:5,39.44232941,
SCr-172,trout,1:1,32.31879807,-1.539894099999998
