id,target,dt,date,eDNA,eDNA_sd,log10eDNA,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,dilution,inhibition,ESP,vol_actual,sample_duration,sample_rate,year,month,year_month,day_of_month,season,wet_season,week,year_week,day_of_year,hour,morn_midday_eve,ESP_file,qPCR_file
SCr-4,coho,2019-03-25 12:29:34,2019-03-25,0.0,0.0,0.0,1,1,1,3,1,3,3,37.74626922607422,1:5,1.0,Waldo,221.2,7.28,30.384615384615387,2019,3,2019-03,25,spring,1,13,2019-13,84,12,1.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-4,trout,2019-03-25 12:29:34,2019-03-25,0.0,0.0,0.0,1,1,1,3,3,3,3,35.505313873291016,1:5,1.0,Waldo,221.2,7.28,30.384615384615387,2019,3,2019-03,25,spring,1,13,2019-13,84,12,1.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-5,coho,2019-03-26 05:11:32,2019-03-26,0.0,0.0,0.0,1,1,1,3,1,3,3,38.33423233,1:5,1.0,Waldo,43.5,2.85,15.26315789473684,2019,3,2019-03,26,spring,1,13,2019-13,85,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-5,trout,2019-03-26 05:11:32,2019-03-26,0.0,0.0,0.0,0,1,1,3,0,3,3,,1:1,,Waldo,43.5,2.85,15.26315789473684,2019,3,2019-03,26,spring,1,13,2019-13,85,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-6,coho,2019-03-26 11:11:35,2019-03-26,0.0,0.0,0.0,0,1,1,3,0,3,3,,1:1,,Waldo,44.3,2.83,15.653710247349824,2019,3,2019-03,26,spring,1,13,2019-13,85,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-6,trout,2019-03-26 11:11:35,2019-03-26,0.0,0.0,0.0,1,1,1,3,1,3,3,36.45521927,1:1,,Waldo,44.3,2.83,15.653710247349824,2019,3,2019-03,26,spring,1,13,2019-13,85,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-7,coho,2019-03-26 17:07:31,2019-03-26,0.0,0.0,0.0,1,1,1,3,2,3,3,39.16242218,1:1,,Waldo,75.0,3.0,25.0,2019,3,2019-03,26,spring,1,13,2019-13,85,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-7,trout,2019-03-26 17:07:31,2019-03-26,0.0,0.0,0.0,1,1,1,3,3,3,3,37.29151535,1:1,,Waldo,75.0,3.0,25.0,2019,3,2019-03,26,spring,1,13,2019-13,85,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-8,coho,2019-03-27 05:12:10,2019-03-27,0.0,0.0,0.0,0,1,1,3,0,3,3,,1:1,,Waldo,92.3,4.15,22.240963855421683,2019,3,2019-03,27,spring,1,13,2019-13,86,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-8,trout,2019-03-27 05:12:10,2019-03-27,0.0,0.0,0.0,1,1,1,3,2,3,3,37.696220399999994,1:1,,Waldo,92.3,4.15,22.240963855421683,2019,3,2019-03,27,spring,1,13,2019-13,86,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201207_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-9,coho,2019-03-27 11:11:58,2019-03-27,0.0,0.0,0.0,1,1,1,3,2,3,3,39.04541016,1:1,,Waldo,100.0,3.92,25.510204081632647,2019,3,2019-03,27,spring,1,13,2019-13,86,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-9,trout,2019-03-27 11:11:58,2019-03-27,0.0,0.0,0.0,1,1,1,3,1,3,3,37.49326324,1:5,1.0,Waldo,100.0,3.92,25.510204081632647,2019,3,2019-03,27,spring,1,13,2019-13,86,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-10,coho,2019-03-27 17:12:04,2019-03-27,0.0,0.0,0.0,1,1,1,3,1,3,3,38.57687377929688,1:5,1.0,Waldo,100.0,3.92,25.510204081632647,2019,3,2019-03,27,spring,1,13,2019-13,86,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-10,trout,2019-03-27 17:12:04,2019-03-27,0.0,0.0,0.0,1,1,1,3,1,3,3,37.43685150146485,1:5,1.0,Waldo,100.0,3.92,25.510204081632647,2019,3,2019-03,27,spring,1,13,2019-13,86,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-11,coho,2019-03-28 05:12:37,2019-03-28,0.0,0.0,0.0,1,1,1,3,2,3,3,38.90095520000001,1:5,1.0,Waldo,118.0,4.93,23.935091277890468,2019,3,2019-03,28,spring,1,13,2019-13,87,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-11,trout,2019-03-28 05:12:37,2019-03-28,0.0,0.0,0.0,1,1,1,3,3,3,3,37.77127075,1:1,,Waldo,118.0,4.93,23.935091277890468,2019,3,2019-03,28,spring,1,13,2019-13,87,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-12,coho,2019-03-28 11:12:48,2019-03-28,0.0,0.0,0.0,0,1,1,3,0,3,3,,1:1,,Waldo,146.2,5.58,26.20071684587813,2019,3,2019-03,28,spring,1,13,2019-13,87,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Okisutch_Chloe_P1_data.csv
SCr-12,trout,2019-03-28 11:12:48,2019-03-28,21.039184743085347,36.44093692485177,1.3431955253826569,1,0,0,3,3,2,2,35.38940811,1:5,1.0,Waldo,146.2,5.58,26.20071684587813,2019,3,2019-03,28,spring,1,13,2019-13,87,11,1.0,Waldo_2019_Scott_Creek_20210223.csv,20201118_Scott_Creek_Omykiss_Chloe_P1_data.csv
SCr-13,coho,2019-03-28 17:08:40,2019-03-28,0.0,0.0,0.0,1,1,1,3,2,3,3,38.65603256225586,1:5,1.0,Waldo,173.3,5.42,31.97416974169742,2019,3,2019-03,28,spring,1,13,2019-13,87,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Okisutch_Kevan_P3.xls
SCr-13,trout,2019-03-28 17:08:40,2019-03-28,30.966459173532613,26.829373663876495,1.504694533470325,1,0,0,3,3,1,1,35.17322158813477,1:5,1.0,Waldo,173.3,5.42,31.97416974169742,2019,3,2019-03,28,spring,1,13,2019-13,87,17,2.0,Waldo_2019_Scott_Creek_20210223.csv,20210208_Scott_Creek_Omykiss_Kevan_P3.xls
SCr-14,coho,2019-03-29 05:13:20,2019-03-29,0.0,0.0,0.0,1,1,1,3,2,3,3,38.04120636,1:5,1.0,Waldo,191.9,6.42,29.89096573208723,2019,3,2019-03,29,spring,1,13,2019-13,88,5,0.0,Waldo_2019_Scott_Creek_20210223.csv,20201119_Scott_Creek_Okisutch_Chloe_P1_data.csv
