Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\SOMETHING BAD HAPPENED 20200930_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.22520828,19.0054493,0.198911503,1000000,,,FALSE,0.1,TRUE,3,17,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,18.95340538,19.0054493,0.198911503,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,18.83773232,19.0054493,0.198911503,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-239,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.59194946,34.55151749,0.257452458,15.3011446,15.90081501,2.864590645,FALSE,0.1,TRUE,3,32,,N,N,N
A5,SCr-239,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.2762413,34.55151749,0.257452458,19.01777267,15.90081501,2.864590645,FALSE,0.1,TRUE,3,32,,N,N,N
A6,SCr-239,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.78636169,34.55151749,0.257452458,13.38352871,15.90081501,2.864590645,FALSE,0.1,TRUE,3,33,,N,N,N
A7,SCr-239-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.38304138,35.8387146,0.644416571,8.873392105,6.805099487,2.92500782,FALSE,0.1,TRUE,3,33,,Y,N,N
A8,SCr-239-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.8387146,0.644416571,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,SCr-239-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.294384,35.8387146,0.644416571,4.736806393,6.805099487,2.92500782,FALSE,0.1,TRUE,3,34,,Y,N,N
A10,SCr-271,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,31.64937401,31.96912956,0.319644034,116.1228256,94.68051147,20.72166634,FALSE,0.1,TRUE,3,30,,N,N,N
A11,SCr-271,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,31.96934891,31.96912956,0.319644034,93.15486908,94.68051147,20.72166634,FALSE,0.1,TRUE,3,29,,N,N,N
A12,SCr-271,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,32.28866196,31.96912956,0.319644034,74.76382446,94.68051147,20.72166634,FALSE,0.1,TRUE,3,30,,N,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,21.75493813,21.47031593,0.248385504,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,21.29737091,21.47031593,0.248385504,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,21.35864258,21.47031593,0.248385504,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-240,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.3341217,33.56788254,0.430704236,36.38897705,31.84087563,8.532988548,FALSE,0.1,TRUE,3,31,,Y,N,N
B5,SCr-240,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.30460358,33.56788254,0.430704236,37.1363678,31.84087563,8.532988548,FALSE,0.1,TRUE,3,32,,Y,N,N
B6,SCr-240,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.06492615,33.56788254,0.430704236,21.99728203,31.84087563,8.532988548,FALSE,0.1,TRUE,3,32,,Y,N,N
B7,SCr-240-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.76267624,35.30858994,0.541539073,13.603652,9.779827118,3.601419926,FALSE,0.1,TRUE,3,33,,Y,N,N
B8,SCr-240-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.31743622,35.30858994,0.541539073,9.283542633,9.779827118,3.601419926,FALSE,0.1,TRUE,3,33,,Y,N,N
B9,SCr-240-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.8456459,35.30858994,0.541539073,6.452288151,9.779827118,3.601419926,FALSE,0.1,TRUE,3,34,,Y,N,N
B10,SCr-271-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.32898331,33.72800064,0.35752821,36.51799011,28.32542419,7.257777214,FALSE,0.1,TRUE,3,31,,N,N,N
B11,SCr-271-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.01923752,33.72800064,0.35752821,22.70050812,28.32542419,7.257777214,FALSE,0.1,TRUE,3,32,,N,N,N
B12,SCr-271-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.83579254,33.72800064,0.35752821,25.75777054,28.32542419,7.257777214,FALSE,0.1,TRUE,3,32,,N,N,N
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,25.12310982,24.87368965,0.218916282,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,24.71338654,24.87368965,0.218916282,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
