Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201012_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-12 13:10:47 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.2938633,20.11864471,0.170200497,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.10811806,20.11864471,0.170200497,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.95395088,20.11864471,0.170200497,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-309,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A5,SCr-309,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A6,SCr-309,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A7,SCr-309-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A8,SCr-309-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A9,SCr-309-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A10,SCr-319,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.76688766,35.30506516,0.497131079,28.6601181,40.65803909,13.86319256,FALSE,0.1,TRUE,3,32,,N,N,N,N
A11,SCr-319,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.77889252,35.30506516,0.497131079,55.83444595,40.65803909,13.86319256,FALSE,0.1,TRUE,3,31,,N,N,N,N
A12,SCr-319,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.36941528,35.30506516,0.497131079,37.47954941,40.65803909,13.86319256,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.63300514,23.62132454,0.052233398,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.56424141,23.62132454,0.052233398,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.66673088,23.62132454,0.052233398,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-310,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.60244751,0.005537759,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
B5,SCr-310,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.6063652,39.60244751,0.005537759,2.146646738,2.152335644,0.008045159,FALSE,0.1,TRUE,3,33,,N,N,N,N
B6,SCr-310,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.59853363,39.60244751,0.005537759,2.158024311,2.152335644,0.008045159,FALSE,0.1,TRUE,3,34,,N,N,N,N
B7,SCr-310-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.59082031,37.81074905,0.256913245,8.367663383,7.28433609,1.220837593,FALSE,0.1,TRUE,3,33,,N,N,N,N
B8,SCr-310-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.09313202,37.81074905,0.256913245,5.961490154,7.28433609,1.220837593,FALSE,0.1,TRUE,3,34,,N,N,N,N
B9,SCr-310-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.74829865,37.81074905,0.256913245,7.523855686,7.28433609,1.220837593,FALSE,0.1,TRUE,3,34,,N,N,N,N
