Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201022_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-22 12:32:39 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.89908028,19.62784386,0.238445342,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.53320885,19.62784386,0.238445342,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.45124435,19.62784386,0.238445342,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-576,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.26668549,33.606884,0.421123177,93.08104706,75.93015289,20.05475426,FALSE,0.1,TRUE,3,30,,N,N,N
A5,SCr-576,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.47608185,33.606884,0.421123177,80.82980347,75.93015289,20.05475426,FALSE,0.1,TRUE,3,30,,N,N,N
A6,SCr-576,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.07788849,33.606884,0.421123177,53.87960815,75.93015289,20.05475426,FALSE,0.1,TRUE,3,31,,N,N,N
A7,SCr-576-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.2779007,34.63928986,0.542989135,47.0848732,38.45957947,12.41600513,FALSE,0.1,TRUE,3,30,,Y,N,N
A8,SCr-576-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.37626648,34.63928986,0.542989135,44.06461716,38.45957947,12.41600513,FALSE,0.1,TRUE,3,31,,Y,N,N
A9,SCr-576-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.26370239,34.63928986,0.542989135,24.22925186,38.45957947,12.41600513,FALSE,0.1,TRUE,3,31,,Y,N,N
A10,SCr-462,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A11,SCr-462,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,SCr-462,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,1,3,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.21383095,23.03391075,0.243377447,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.13091087,23.03391075,0.243377447,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.75699043,23.03391075,0.243377447,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
B4,SCr-582,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.50518608,31.76927757,0.258709967,305.1035156,257.9613953,45.05635834,FALSE,0.1,TRUE,3,28,,N,N,N
B5,SCr-582,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.78039932,31.76927757,0.258709967,253.4504547,257.9613953,45.05635834,FALSE,0.1,TRUE,3,27,,N,N,N
B6,SCr-582,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.02224731,31.76927757,0.258709967,215.3301544,257.9613953,45.05635834,FALSE,0.1,TRUE,3,29,,N,N,N
B7,SCr-582-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6515007,33.73612976,0.255900085,71.81694794,68.49250031,11.3160944,FALSE,0.1,TRUE,3,30,,N,N,N
B8,SCr-582-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.53326416,33.73612976,0.255900085,77.77400208,68.49250031,11.3160944,FALSE,0.1,TRUE,3,29,,N,N,N
B9,SCr-582-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.02362442,33.73612976,0.255900085,55.88655853,68.49250031,11.3160944,FALSE,0.1,TRUE,3,30,,N,N,N
B10,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B11,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B12,SCr-462-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.43056297,25.52062035,0.39058122,10000,,,FALSE,0.1,TRUE,3,21,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.18293381,25.52062035,0.39058122,10000,,,FALSE,0.1,TRUE,3,21,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.94836426,25.52062035,0.39058122,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-585,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.98804665,30.98703194,0.194431379,432.3271179,435.1031189,56.92243195,FALSE,0.1,TRUE,3,26,,N,N,N
C5,SCr-585,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.79209709,30.98703194,0.194431379,493.3627625,435.1031189,56.92243195,FALSE,0.1,TRUE,3,28,,N,N,N
C6,SCr-585,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.18095589,30.98703194,0.194431379,379.6194763,435.1031189,56.92243195,FALSE,0.1,TRUE,3,27,,N,N,N
C7,SCr-585-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.64223862,33.40044785,0.752325177,141.7865753,92.5333252,45.72402954,FALSE,0.1,TRUE,3,28,,Y,N,N
C8,SCr-585-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.14674759,33.40044785,0.752325177,51.4362793,92.5333252,45.72402954,FALSE,0.1,TRUE,3,30,,Y,N,N
