Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20200930_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-09-30 11:58:55 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.23835754,18.99343681,0.216961354,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.82534409,18.99343681,0.216961354,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.916605,18.99343681,0.216961354,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-239,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.32195091,30.25925446,0.054556124,559.8278198,584.3317871,21.32879066,FALSE,0.1,TRUE,3,28,,N,N,N,N
A5,SCr-239,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.23321342,30.25925446,0.054556124,594.442749,584.3317871,21.32879066,FALSE,0.1,TRUE,3,26,,N,N,N,N
A6,SCr-239,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.22259712,30.25925446,0.054556124,598.7247925,584.3317871,21.32879066,FALSE,0.1,TRUE,3,26,,N,N,N,N
A7,SCr-239-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.48017883,33.22062302,0.38219443,66.17874908,80.72229767,22.07251549,FALSE,0.1,TRUE,3,30,,N,N,N,N
A8,SCr-239-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.78173828,33.22062302,0.38219443,106.1202927,80.72229767,22.07251549,FALSE,0.1,TRUE,3,29,,N,N,N,N
A9,SCr-239-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.39994431,33.22062302,0.38219443,69.86785889,80.72229767,22.07251549,FALSE,0.1,TRUE,3,30,,N,N,N,N
A10,SCr-271,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.74283981,28.9150238,0.280440927,1628.251831,1466.107788,261.4312439,FALSE,0.1,TRUE,3,25,,N,N,N,N
A11,SCr-271,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.76360321,28.9150238,0.280440927,1605.553955,1466.107788,261.4312439,FALSE,0.1,TRUE,3,25,,N,N,N,N
A12,SCr-271,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.23862648,28.9150238,0.280440927,1164.517578,1466.107788,261.4312439,FALSE,0.1,TRUE,3,26,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.76436996,22.74526405,0.098414108,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.63870049,22.74526405,0.098414108,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.83272743,22.74526405,0.098414108,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B4,SCr-240,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.64679527,30.69724846,0.050037872,449.4401855,434.5340881,14.70462322,FALSE,0.1,TRUE,3,28,,N,N,N,N
B5,SCr-240,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.69808388,30.69724846,0.050037872,434.122467,434.5340881,14.70462322,FALSE,0.1,TRUE,3,27,,N,N,N,N
B6,SCr-240,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.7468605,30.69724846,0.050037872,420.0395813,434.5340881,14.70462322,FALSE,0.1,TRUE,3,27,,N,N,N,N
B7,SCr-240-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.45133209,33.05679321,0.344608635,67.4821167,89.64725494,19.43666649,FALSE,0.1,TRUE,3,30,,N,N,N,N
B8,SCr-240-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.81469727,33.05679321,0.344608635,103.7817154,89.64725494,19.43666649,FALSE,0.1,TRUE,3,29,,N,N,N,N
B9,SCr-240-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.90435028,33.05679321,0.344608635,97.67792511,89.64725494,19.43666649,FALSE,0.1,TRUE,3,29,,N,N,N,N
B10,SCr-271-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.25693703,31.29221535,0.032351378,297.5217896,290.5554504,6.376317501,FALSE,0.1,TRUE,3,28,,N,N,N,N
B11,SCr-271-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.29922295,31.29221535,0.032351378,289.136261,290.5554504,6.376317501,FALSE,0.1,TRUE,3,28,,N,N,N,N
B12,SCr-271-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.32049179,31.29221535,0.032351378,285.0083008,290.5554504,6.376317501,FALSE,0.1,TRUE,3,28,,N,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.74035072,26.11615181,0.329287142,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.35414886,26.11615181,0.329287142,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.25395966,26.11615181,0.329287142,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C4,SCr-265,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C5,SCr-265,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C6,SCr-265,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C7,SCr-265-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C8,SCr-265-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C9,SCr-265-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C10,SCr-272,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.42150307,29.42285156,0.142116576,1029.079224,1031.306519,98.91101837,FALSE,0.1,TRUE,3,26,,N,N,N,N
C11,SCr-272,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.56563759,29.42285156,0.142116576,933.527832,1031.306519,98.91101837,FALSE,0.1,TRUE,3,25,,N,N,N,N
