Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20200930_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-09-30 09:29:07 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.0800724,19.24308014,0.179531485,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.21366882,19.24308014,0.179531485,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.43550301,19.24308014,0.179531485,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-807,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.85487366,30.59305573,0.650222063,1095.553223,716.9441528,330.493042,FALSE,0.1,TRUE,3,27,,Y,N,N
A5,SCr-807,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.84338188,30.59305573,0.650222063,569.0765381,716.9441528,330.493042,FALSE,0.1,TRUE,3,27,,Y,N,N
A6,SCr-807,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.08090973,30.59305573,0.650222063,486.2026672,716.9441528,330.493042,FALSE,0.1,TRUE,3,27,,Y,N,N
A7,SCr-807-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.09552002,32.7010994,0.628789127,248.2236481,175.7927399,70.20505524,FALSE,0.1,TRUE,3,28,,Y,N,N
A8,SCr-807-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.35077667,32.7010994,0.628789127,108.0483704,175.7927399,70.20505524,FALSE,0.1,TRUE,3,29,,Y,N,N
A9,SCr-807-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.6570015,32.7010994,0.628789127,171.1062012,175.7927399,70.20505524,FALSE,0.1,TRUE,3,29,,Y,N,N
A10,SCr-826,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.4661541,29.83888054,0.376106769,1417.40918,1130.21521,278.5923462,FALSE,0.1,TRUE,3,26,,N,N,N
A11,SCr-826,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.83220863,29.83888054,0.376106769,1112.130615,1130.21521,278.5923462,FALSE,0.1,TRUE,3,26,,N,N,N
A12,SCr-826,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.21827888,29.83888054,0.376106769,861.1056519,1130.21521,278.5923462,FALSE,0.1,TRUE,3,27,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.46784782,23.08327484,0.543779433,100000,,,FALSE,0.1,TRUE,3,18,,Y,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.28313446,23.08327484,0.543779433,100000,,,FALSE,0.1,TRUE,3,19,,Y,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.49884415,23.08327484,0.543779433,100000,,,FALSE,0.1,TRUE,3,20,,Y,N,N
B4,SCr-808,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.15544128,30.38616943,1.079748511,1741.441895,924.3605347,710.0507202,FALSE,0.1,TRUE,3,25,,Y,N,N
B5,SCr-808,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.17427063,30.38616943,1.079748511,457.036499,924.3605347,710.0507202,FALSE,0.1,TRUE,3,28,,Y,N,N
B6,SCr-808,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.82879639,30.38616943,1.079748511,574.6030884,924.3605347,710.0507202,FALSE,0.1,TRUE,3,27,,Y,N,N
B7,SCr-808-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.26223373,32.65806961,0.350866854,222.2634125,174.1902618,42.29111481,FALSE,0.1,TRUE,3,28,,N,N,N
B8,SCr-808-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93077087,32.65806961,0.350866854,142.7194672,174.1902618,42.29111481,FALSE,0.1,TRUE,3,29,,N,N,N
B9,SCr-808-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.78120804,32.65806961,0.350866854,157.5879059,174.1902618,42.29111481,FALSE,0.1,TRUE,3,28,,N,N,N
B10,SCr-826-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.80261612,32.02977371,0.208179981,301.3922424,260.9467468,36.67032242,FALSE,0.1,TRUE,3,28,,N,N,N
B11,SCr-826-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.07525635,32.02977371,0.208179981,251.5790253,260.9467468,36.67032242,FALSE,0.1,TRUE,3,28,,N,N,N
B12,SCr-826-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.2114563,32.02977371,0.208179981,229.8688965,260.9467468,36.67032242,FALSE,0.1,TRUE,3,28,,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.44490242,26.95102692,1.318520427,10000,,,FALSE,0.1,TRUE,3,21,,Y,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.89693069,26.95102692,1.318520427,10000,,,FALSE,0.1,TRUE,3,24,,Y,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,27.51124763,26.95102692,1.318520427,10000,,,FALSE,0.1,TRUE,3,23,,Y,N,N
C4,SCr-811,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.09240913,30.79917336,0.618641019,936.0045166,621.6565552,273.632019,FALSE,0.1,TRUE,3,25,,Y,N,N
C5,SCr-811,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.24244118,30.79917336,0.618641019,436.8511353,621.6565552,273.632019,FALSE,0.1,TRUE,3,27,,Y,N,N
C6,SCr-811,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.06267166,30.79917336,0.618641019,492.1139832,621.6565552,273.632019,FALSE,0.1,TRUE,3,27,,Y,N,N
C7,SCr-811-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75228882,33.36245728,0.579177856,160.6367645,112.6621094,43.78480148,FALSE,0.1,TRUE,3,29,,Y,N,N
C8,SCr-811-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.90464401,33.36245728,0.579177856,74.85691833,112.6621094,43.78480148,FALSE,0.1,TRUE,3,30,,Y,N,N
C9,SCr-811-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.43044281,33.36245728,0.579177856,102.4926453,112.6621094,43.78480148,FALSE,0.1,TRUE,3,30,,Y,N,N
C10,SCr-829,O.mykiss,UNKNOWN,FAM,NFQ-MGB,26.70540237,27.3144989,0.529890716,8829.907227,6158.341309,2319.224121,FALSE,0.1,TRUE,3,23,,Y,N,N
C11,SCr-829,O.mykiss,UNKNOWN,FAM,NFQ-MGB,27.56871605,27.3144989,0.529890716,4983.340332,6158.341309,2319.224121,FALSE,0.1,TRUE,3,24,,Y,N,N
C12,SCr-829,O.mykiss,UNKNOWN,FAM,NFQ-MGB,27.669384,27.3144989,0.529890716,4661.775391,6158.341309,2319.224121,FALSE,0.1,TRUE,3,24,,Y,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.71068001,30.30572701,0.572961628,1000,,,FALSE,0.1,TRUE,3,26,,Y,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.35280228,30.30572701,0.572961628,1000,,,FALSE,0.1,TRUE,3,26,,Y,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.85369873,30.30572701,0.572961628,1000,,,FALSE,0.1,TRUE,3,28,,Y,N,N
D4,SCr-823,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.15771675,29.92609978,0.706124604,1738.818237,1126.35144,545.4813843,FALSE,0.1,TRUE,3,26,,Y,N,N
D5,SCr-823,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.54651642,29.92609978,0.706124604,692.7868042,1126.35144,545.4813843,FALSE,0.1,TRUE,3,27,,Y,N,N
D6,SCr-823,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.07406807,29.92609978,0.706124604,947.4492188,1126.35144,545.4813843,FALSE,0.1,TRUE,3,25,,Y,N,N
D7,SCr-823-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.54014969,32.46483231,0.940985143,358.6426697,220.0786133,129.1262207,FALSE,0.1,TRUE,3,27,,Y,N,N
D8,SCr-823-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.42131424,32.46483231,0.940985143,103.1144791,220.0786133,129.1262207,FALSE,0.1,TRUE,3,29,,Y,N,N
D9,SCr-823-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.43304443,32.46483231,0.940985143,198.4786682,220.0786133,129.1262207,FALSE,0.1,TRUE,3,29,,Y,N,N
D10,SCr-829-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.10107231,29.58763313,0.422032595,1805.322266,1343.921997,399.9625549,FALSE,0.1,TRUE,3,25,,N,N,N
D11,SCr-829-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.85449028,29.58763313,0.422032595,1095.831543,1343.921997,399.9625549,FALSE,0.1,TRUE,3,26,,N,N,N
D12,SCr-829-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.8073349,29.58763313,0.422032595,1130.612305,1343.921997,399.9625549,FALSE,0.1,TRUE,3,26,,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.5052948,32.93766403,0.509310603,100,,,FALSE,0.1,TRUE,3,28,,Y,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.49908829,32.93766403,0.509310603,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.80861282,32.93766403,0.509310603,100,,,FALSE,0.1,TRUE,3,29,,Y,N,N
E4,SCr-817,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.79004669,32.08298111,0.255293995,303.9129028,252.7617035,44.50698471,FALSE,0.1,TRUE,3,28,,N,N,N
E5,SCr-817,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.20084,32.08298111,0.255293995,231.4916077,252.7617035,44.50698471,FALSE,0.1,TRUE,3,28,,N,N,N
E6,SCr-817,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.25804901,32.08298111,0.255293995,222.8805847,252.7617035,44.50698471,FALSE,0.1,TRUE,3,29,,N,N,N
E7,SCr-817-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.01830292,34.47584152,0.485446244,35.78940964,52.97322464,15.69238567,FALSE,0.1,TRUE,3,31,,N,N,N
E8,SCr-817-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.08229828,34.47584152,0.485446244,66.54392242,52.97322464,15.69238567,FALSE,0.1,TRUE,3,30,,N,N,N
E9,SCr-817-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.32692719,34.47584152,0.485446244,56.58633804,52.97322464,15.69238567,FALSE,0.1,TRUE,3,30,,N,N,N
E10,SCr-832,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.86822891,34.65544128,0.910373092,76.68511963,50.83325195,26.61704254,FALSE,0.1,TRUE,3,30,,Y,N,N
E11,SCr-832,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.4457283,34.65544128,0.910373092,52.3027153,50.83325195,26.61704254,FALSE,0.1,TRUE,3,31,,Y,N,N
E12,SCr-832,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.65237427,34.65544128,0.910373092,23.5119133,50.83325195,26.61704254,FALSE,0.1,TRUE,3,31,,Y,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.00318146,37.35054779,0.491250187,10,,,FALSE,0.1,TRUE,3,33,,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.69791412,37.35054779,0.491250187,10,,,FALSE,0.1,TRUE,3,34,,N,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.35054779,0.491250187,10,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
F4,SCr-816,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.42277145,29.20657921,0.684286535,2829.757568,1810.287476,886.0213013,FALSE,0.1,TRUE,3,26,,Y,N,N
F5,SCr-816,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.6849823,29.20657921,0.684286535,1226.092041,1810.287476,886.0213013,FALSE,0.1,TRUE,3,26,,Y,N,N
F6,SCr-816,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.51198387,29.20657921,0.684286535,1375.012939,1810.287476,886.0213013,FALSE,0.1,TRUE,3,25,,Y,N,N
F7,SCr-816-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.76831627,31.75927544,0.995260119,598.0979004,356.6603088,222.4729614,FALSE,0.1,TRUE,3,27,,Y,N,N
F8,SCr-816-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75878143,31.75927544,0.995260119,159.9471741,356.6603088,222.4729614,FALSE,0.1,TRUE,3,29,,Y,N,N
F9,SCr-816-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.75072289,31.75927544,0.995260119,311.9359131,356.6603088,222.4729614,FALSE,0.1,TRUE,3,28,,Y,N,N
F10,SCr-832-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.47306061,37.3850174,1.092170238,13.64957905,8.69476223,5.163693428,FALSE,0.1,TRUE,3,33,,Y,N,N
F11,SCr-832-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.59537506,37.3850174,1.092170238,3.344885588,8.69476223,5.163693428,FALSE,0.1,TRUE,3,34,,Y,N,N
F12,SCr-832-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.08662033,37.3850174,1.092170238,9.089819908,8.69476223,5.163693428,FALSE,0.1,TRUE,3,33,,Y,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.4426918,37.78358459,0.814499617,5,,,FALSE,0.1,TRUE,3,33,,Y,N,N
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.19491959,37.78358459,0.814499617,5,,,FALSE,0.1,TRUE,3,32,,Y,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,38.71314621,37.78358459,0.814499617,5,,,FALSE,0.1,TRUE,3,35,,Y,N,N
G4,SCr-820,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.20599747,28.6920166,0.456660122,3266.857666,2441.746094,752.8725586,FALSE,0.1,TRUE,3,25,,N,N,N
G5,SCr-820,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.11216354,28.6920166,0.456660122,1792.103149,2441.746094,752.8725586,FALSE,0.1,TRUE,3,25,,N,N,N
G6,SCr-820,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.75788689,28.6920166,0.456660122,2266.277588,2441.746094,752.8725586,FALSE,0.1,TRUE,3,24,,N,N,N
G7,SCr-820-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.57993317,30.5119915,0.059017673,677.6154175,709.1768188,27.42165184,FALSE,0.1,TRUE,3,27,,N,N,N
