Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201021_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.11274338,18.65434647,0.403780192,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.49892616,18.65434647,0.403780192,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.35137177,18.65434647,0.403780192,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A4,SCr-516,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.21521759,33.47802734,0.227982759,50.21848297,42.5709877,6.631474972,FALSE,0.1,TRUE,3,29,,N,N,N,N
A5,SCr-516,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.59622574,33.47802734,0.227982759,39.08390045,42.5709877,6.631474972,FALSE,0.1,TRUE,3,30,,N,N,N,N
A6,SCr-516,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6226387,33.47802734,0.227982759,38.4105835,42.5709877,6.631474972,FALSE,0.1,TRUE,3,30,,N,N,N,N
A7,SCr-516-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.06890869,35.22678757,0.750531435,7.682042122,14.39825344,6.170886517,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A8,SCr-516-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.98297501,35.22678757,0.750531435,15.69499493,14.39825344,6.170886517,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A9,SCr-516-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.62847137,35.22678757,0.750531435,19.81772232,14.39825344,6.170886517,FALSE,0.1,TRUE,3,30,,Y,N,N,N
A10,SCr-524,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.26286316,32.51281357,0.529220045,93.96809387,82.76526642,25.63111115,FALSE,0.1,TRUE,3,28,,Y,N,N,N
A11,SCr-524,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.15486526,32.51281357,0.529220045,100.8878174,82.76526642,25.63111115,FALSE,0.1,TRUE,3,27,,Y,N,N,N
A12,SCr-524,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.12071609,32.51281357,0.529220045,53.43989182,82.76526642,25.63111115,FALSE,0.1,TRUE,3,29,,Y,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.40174484,22.22668457,0.151936859,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.14916611,22.22668457,0.151936859,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.12914276,22.22668457,0.151936859,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B4,SCr-517,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.56451797,34.66389847,0.402159244,20.66936684,19.80161285,4.95450592,FALSE,0.1,TRUE,3,31,,N,N,N,N
B5,SCr-517,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.10643387,34.66389847,0.402159244,14.47055531,19.80161285,4.95450592,FALSE,0.1,TRUE,3,31,,N,N,N,N
B6,SCr-517,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.32075119,34.66389847,0.402159244,24.26491737,19.80161285,4.95450592,FALSE,0.1,TRUE,3,30,,N,N,N,N
B7,SCr-517-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.17694092,36.40529633,1.1620754,3.705765724,7.595054626,6.274607182,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B8,SCr-517-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.06876755,36.40529633,1.1620754,14.83363628,7.595054626,6.274607182,FALSE,0.1,TRUE,3,32,,Y,N,N,N
B9,SCr-517-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.97018051,36.40529633,1.1620754,4.245762825,7.595054626,6.274607182,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B10,SCr-524-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.74701309,34.52064514,0.369143009,18.33085442,21.71453857,5.581079006,FALSE,0.1,TRUE,3,31,,N,N,N,N
B11,SCr-524-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.09467697,34.52064514,0.369143009,28.15627098,21.71453857,5.581079006,FALSE,0.1,TRUE,3,30,,N,N,N,N
B12,SCr-524-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.72024918,34.52064514,0.369143009,18.65649223,21.71453857,5.581079006,FALSE,0.1,TRUE,3,30,,N,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10000,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10000,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,,,10000,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C4,SCr-518,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.95820236,33.79960632,0.262706608,30.80137444,34.54159927,6.233857155,FALSE,0.1,TRUE,3,30,,N,N,N,N
C5,SCr-518,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.49636459,33.79960632,0.262706608,41.73796844,34.54159927,6.233857155,FALSE,0.1,TRUE,3,30,,N,N,N,N
C6,SCr-518,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.9442482,33.79960632,0.262706608,31.08545494,34.54159927,6.233857155,FALSE,0.1,TRUE,3,30,,N,N,N,N
C7,SCr-518-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.31597519,37.05691147,1.092905045,1.75154376,4.634059429,2.513859987,FALSE,0.1,TRUE,3,35,,Y,N,N,Y
C8,SCr-518-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.35317612,37.05691147,1.092905045,6.371662617,4.634059429,2.513859987,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C9,SCr-518-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.50157547,37.05691147,1.092905045,5.778971195,4.634059429,2.513859987,FALSE,0.1,TRUE,3,34,,Y,N,N,N
C10,SCr-549,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.28274536,35.45805359,1.166290283,6.673858643,13.21395969,9.249099731,FALSE,0.1,TRUE,3,32,,Y,N,N,N
C11,SCr-549,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.63336182,35.45805359,1.166290283,19.75406075,13.21395969,9.249099731,FALSE,0.1,TRUE,3,6,,Y,N,N,N
C12,SCr-549,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.45805359,1.166290283,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.20182419,26.08850098,0.128107101,1000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.94949913,26.08850098,0.128107101,1000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.1141758,26.08850098,0.128107101,1000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
D4,SCr-519,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.71912003,34.89047241,1.246238351,36.048172,20.45436096,14.62372017,FALSE,0.1,TRUE,3,30,,Y,N,N,N
D5,SCr-519,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.75223541,34.89047241,1.246238351,18.26798058,20.45436096,14.62372017,FALSE,0.1,TRUE,3,30,,Y,N,N,N
D6,SCr-519,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.20006943,34.89047241,1.246238351,7.046931267,20.45436096,14.62372017,FALSE,0.1,TRUE,3,32,,Y,N,N,N
D7,SCr-519-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.74238586,37.42221832,1.016450524,2.554541826,3.687715769,2.604948759,FALSE,0.1,TRUE,3,34,,Y,N,N,N
D8,SCr-519-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.24003601,37.42221832,1.016450524,1.841277122,3.687715769,2.604948759,FALSE,0.1,TRUE,3,34,,Y,N,N,N
