Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\S1P_data\eds_files\20201105_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-05 16:22:01 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.15480614,20.02658081,0.112556145,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.98083305,20.02658081,0.112556145,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.94409943,20.02658081,0.112556145,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-84,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.82356262,33.77905655,0.339503616,137.5901642,143.9227753,32.05301285,FALSE,0.1,TRUE,3,30,,N,N,N
A5,SCr-84,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.09411621,33.77905655,0.339503616,115.508728,143.9227753,32.05301285,FALSE,0.1,TRUE,3,30,,N,N,N
A6,SCr-84,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.41949844,33.77905655,0.339503616,178.6694489,143.9227753,32.05301285,FALSE,0.1,TRUE,3,29,,N,N,N
A7,SCr-84-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.23283005,36.43394089,0.888042927,28.97710037,28.1404705,14.1631155,FALSE,0.1,TRUE,3,32,,Y,N,N
A8,SCr-84-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.40529251,36.43394089,0.888042927,13.57758427,28.1404705,14.1631155,FALSE,0.1,TRUE,3,33,,Y,N,N
A9,SCr-84-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.6637001,36.43394089,0.888042927,41.86672592,28.1404705,14.1631155,FALSE,0.1,TRUE,3,31,,Y,N,N
A10,SCr-119,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.08517838,39.03970337,0.064314067,4.582510471,4.72129631,0.196273148,FALSE,0.1,TRUE,3,35,,N,N,N
A11,SCr-119,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.03970337,0.064314067,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,SCr-119,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.99422455,39.03970337,0.064314067,4.860082626,4.72129631,0.196273148,FALSE,0.1,TRUE,3,35,,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.67170525,23.60237885,0.06182158,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.58245659,23.60237885,0.06182158,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.5529747,23.60237885,0.06182158,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-89,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.67916107,35.74765396,0.378705114,41.45028305,40.43414688,9.5125494,FALSE,0.1,TRUE,3,32,,N,N,N
B5,SCr-89,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.40786743,35.74765396,0.378705114,49.39783478,40.43414688,9.5125494,FALSE,0.1,TRUE,3,31,,N,N,N
