Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201210_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-12-10 14:39:29 PM PST,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.81875038,19.77220917,0.136032954,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.87886429,19.77220917,0.136032954,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.61901474,19.77220917,0.136032954,1000000,,,FALSE,0.1,TRUE,3,15,
A4,SCr-015,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.05200958,39.00725555,0.284594059,2.671895504,2.785685778,0.534705758,FALSE,0.1,TRUE,3,35,
A5,SCr-015,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.70293427,39.00725555,0.284594059,3.368127823,2.785685778,0.534705758,FALSE,0.1,TRUE,3,34,
A6,SCr-015,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.266819,39.00725555,0.284594059,2.31703496,2.785685778,0.534705758,FALSE,0.1,TRUE,3,35,
A7,SCr-015-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.71171951,,,,,FALSE,0.1,TRUE,3,39,
A8,SCr-015-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.71171951,39.71171951,,1.724869013,1.724869013,,FALSE,0.1,TRUE,3,35,
A9,SCr-015-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.71171951,,,,,FALSE,0.1,TRUE,3,35,
A10,SCr-053,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.36753082,0.218384057,,,,FALSE,0.1,TRUE,3,35,
A11,SCr-053,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.52194977,38.36753082,0.218384057,3.797785759,4.229548931,0.610605359,FALSE,0.1,TRUE,3,35,
A12,SCr-053,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.21310806,38.36753082,0.218384057,4.661312103,4.229548931,0.610605359,FALSE,0.1,TRUE,3,34,
