Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201001_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-01 14:35:49 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,17.85755157,17.78243446,0.065877564,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,17.73448753,17.78243446,0.065877564,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,17.75526428,17.78243446,0.065877564,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-275,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.09557724,35.85812378,0.219428748,5.206928253,6.130775928,0.866331518,FALSE,0.1,TRUE,3,34,,N,N,N
A5,SCr-275,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.81594849,35.85812378,0.219428748,6.260421276,6.130775928,0.866331518,FALSE,0.1,TRUE,3,34,,N,N,N
A6,SCr-275,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.6628418,35.85812378,0.219428748,6.924978733,6.130775928,0.866331518,FALSE,0.1,TRUE,3,34,,N,N,N
A7,SCr-275-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.67668533,34.46381378,0.301043123,13.26260948,15.41007519,3.036975145,FALSE,0.1,TRUE,3,33,,N,N,N
A8,SCr-275-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,34.46381378,0.301043123,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,SCr-275-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.25094604,34.46381378,0.301043123,17.55754089,15.41007519,3.036975145,FALSE,0.1,TRUE,3,32,,N,N,N
A10,SCr-283,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,32.11307526,32.35692215,0.522963703,71.82287598,63.45315933,19.48744392,FALSE,0.1,TRUE,3,30,,Y,N,N
A11,SCr-283,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,32.0004158,32.35692215,0.522963703,77.35756683,63.45315933,19.48744392,FALSE,0.1,TRUE,3,30,,Y,N,N
A12,SCr-283,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,32.95727539,32.35692215,0.522963703,41.17904282,63.45315933,19.48744392,FALSE,0.1,TRUE,3,32,,Y,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,21.27177238,21.12594414,0.166280389,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.94486427,21.12594414,0.166280389,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,21.16119385,21.12594414,0.166280389,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-276,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.33585739,33.52360916,0.707581818,16.60215378,30.26781654,11.98161697,FALSE,0.1,TRUE,3,32,,Y,N,N
B5,SCr-276,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.0409317,33.52360916,0.707581818,38.97051239,30.26781654,11.98161697,FALSE,0.1,TRUE,3,31,,Y,N,N
B6,SCr-276,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.19403458,33.52360916,0.707581818,35.23078537,30.26781654,11.98161697,FALSE,0.1,TRUE,3,31,,Y,N,N
B7,SCr-276-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.16600037,35.31420517,1.117430568,18.56832695,10.39535522,7.366934776,FALSE,0.1,TRUE,3,32,,Y,N,N
B8,SCr-276-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.37852859,35.31420517,1.117430568,8.351817131,10.39535522,7.366934776,FALSE,0.1,TRUE,3,33,,Y,N,N
B9,SCr-276-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.39808273,35.31420517,1.117430568,4.265922546,10.39535522,7.366934776,FALSE,0.1,TRUE,3,35,,Y,N,N
B10,SCr-28326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.93575287,34.40173721,0.686835766,11.18126774,17.07773781,8.235739708,FALSE,0.1,TRUE,3,33,,Y,N,N
B11,SCr-28326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.62692642,34.40173721,0.686835766,26.48748589,17.07773781,8.235739708,FALSE,0.1,TRUE,3,32,,Y,N,N
B12,SCr-28326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.64253235,34.40173721,0.686835766,13.56446266,17.07773781,8.235739708,FALSE,0.1,TRUE,3,33,,Y,N,N
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,24.52928734,24.57823753,0.072994135,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
