Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201015_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-15 11:28:16 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.55862999,18.14508247,0.360087603,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.97569656,18.14508247,0.360087603,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.90092468,18.14508247,0.360087603,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A4,SCr-160,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.93314171,30.744133,0.243824318,354.6835327,402.7003479,63.75007248,FALSE,0.1,TRUE,3,28,,N,N,N
A5,SCr-160,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.46891594,30.744133,0.243824318,475.0291443,402.7003479,63.75007248,FALSE,0.1,TRUE,3,28,,N,N,N
A6,SCr-160,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.83034134,30.744133,0.243824318,378.3883362,402.7003479,63.75007248,FALSE,0.1,TRUE,3,28,,N,N,N
A7,SCr-160-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.43680382,30.44550323,0.072655328,484.7266846,482.4154358,21.96285629,FALSE,0.1,TRUE,3,28,,N,N,N
A8,SCr-160-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.52211571,30.44550323,0.072655328,459.3883972,482.4154358,21.96285629,FALSE,0.1,TRUE,3,27,,N,N,N
A9,SCr-160-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.37758827,30.44550323,0.072655328,503.1313171,482.4154358,21.96285629,FALSE,0.1,TRUE,3,28,,N,N,N
A10,SCr-209,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.44413185,29.75343513,0.384860903,905.3317261,759.3342896,173.0637817,FALSE,0.1,TRUE,3,26,,N,N,N
