Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201027_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 10:33:15 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.49077606,19.0790081,0.358948708,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.91411209,19.0790081,0.358948708,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.83213806,19.0790081,0.358948708,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A4,SCr-525,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.66650391,34.56019592,0.958109736,18.74365044,42.90353775,20.92424011,FALSE,0.1,TRUE,3,33,,Y,N,Y,N
A5,SCr-525,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.01323318,34.56019592,0.958109736,54.76278687,42.90353775,20.92424011,FALSE,0.1,TRUE,3,30,,Y,N,N,N
A6,SCr-525,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.00085449,34.56019592,0.958109736,55.20417404,42.90353775,20.92424011,FALSE,0.1,TRUE,3,30,,Y,N,N,N
A7,SCr-525-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.01259995,34.53606033,0.442495465,28.64318848,40.06692886,10.96265697,FALSE,0.1,TRUE,3,31,,N,N,N,N
A8,SCr-525-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.45743942,34.53606033,0.442495465,41.05614471,40.06692886,10.96265697,FALSE,0.1,TRUE,3,30,,N,N,N,N
A9,SCr-525-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.13814926,34.53606033,0.442495465,50.5014534,40.06692886,10.96265697,FALSE,0.1,TRUE,3,31,,N,N,N,N
A10,SCr-483,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.702425,32.21245193,0.566430628,245.0797577,183.8183594,63.35029984,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A11,SCr-483,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.112854,32.21245193,0.566430628,187.8076019,183.8183594,63.35029984,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A12,SCr-483,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.82207489,32.21245193,0.566430628,118.5677032,183.8183594,63.35029984,FALSE,0.1,TRUE,3,28,,Y,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,,,,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,,,,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
