Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201116_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-16 13:38:11 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.30290031,18.94735146,0.307921112,1000000,,,FALSE,0.1,TRUE,3,17,,N,N,Y,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.77170181,18.94735146,0.307921112,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.76745415,18.94735146,0.307921112,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-417,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.06020927,28.97992516,0.070179299,1544.106445,1624.648804,70.4533844,FALSE,0.1,TRUE,3,26,,N,N,N,N
A5,SCr-417,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.93025398,28.97992516,0.070179299,1674.838623,1624.648804,70.4533844,FALSE,0.1,TRUE,3,26,,N,N,N,N
A6,SCr-417,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.94930649,28.97992516,0.070179299,1655.001221,1624.648804,70.4533844,FALSE,0.1,TRUE,3,26,,N,N,N,N
A7,SCr-417-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.90670013,31.11864281,0.191572562,486.6002808,428.2677917,52.33941269,FALSE,0.1,TRUE,3,28,,N,N,N,N
A8,SCr-417-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.16974258,31.11864281,0.191572562,412.7910767,428.2677917,52.33941269,FALSE,0.1,TRUE,3,28,,N,N,N,N
A9,SCr-417-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.27948189,31.11864281,0.191572562,385.4119873,428.2677917,52.33941269,FALSE,0.1,TRUE,3,27,,N,N,N,N
A10,SCr-456,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.64325523,29.60146523,0.165954933,1072.315552,1104.713501,116.5738525,FALSE,0.1,TRUE,3,26,,N,N,N,N
A11,SCr-456,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.41860962,29.60146523,0.165954933,1234.059448,1104.713501,116.5738525,FALSE,0.1,TRUE,3,27,,N,N,N,N
A12,SCr-456,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.74253082,29.60146523,0.165954933,1007.765442,1104.713501,116.5738525,FALSE,0.1,TRUE,3,26,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.25169945,22.27803612,0.026658999,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.30500603,22.27803612,0.026658999,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.27739716,22.27803612,0.026658999,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B4,SCr-419,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.45012856,29.59672737,0.134893999,1209.972778,1106.617065,94.42272186,FALSE,0.1,TRUE,3,26,,N,N,N,N
B5,SCr-419,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.62444687,29.59672737,0.134893999,1085.00293,1106.617065,94.42272186,FALSE,0.1,TRUE,3,27,,N,N,N,N
B6,SCr-419,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.7156105,29.59672737,0.134893999,1024.875244,1106.617065,94.42272186,FALSE,0.1,TRUE,3,26,,N,N,N,N
