Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201118_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-18 14:38:38 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.85920334,19.83219719,0.103352934,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.91936493,19.83219719,0.103352934,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.71802139,19.83219719,0.103352934,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-453,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.30538559,34.93269348,0.406784922,32.2636795,42.460186,11.7907238,FALSE,0.1,TRUE,3,31,,N,N,N
A5,SCr-453,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.49876022,34.93269348,0.406784922,55.37154388,42.460186,11.7907238,FALSE,0.1,TRUE,3,30,,N,N,N
A6,SCr-453,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.99393463,34.93269348,0.406784922,39.74533463,42.460186,11.7907238,FALSE,0.1,TRUE,3,31,,N,N,N
A7,SCr-453-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.96210098,36.18252182,0.202026606,20.78433228,18.04341125,2.485805511,FALSE,0.1,TRUE,3,32,,N,N,N
A8,SCr-453-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.22657776,36.18252182,0.202026606,17.41102028,18.04341125,2.485805511,FALSE,0.1,TRUE,3,32,,N,N,N
A9,SCr-453-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.3588829,36.18252182,0.202026606,15.93488312,18.04341125,2.485805511,FALSE,0.1,TRUE,3,32,,N,N,N
A10,SCr-005,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A11,SCr-005,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A12,SCr-005,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.17025566,23.30207062,0.201763868,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.53434181,23.30207062,0.201763868,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.20161057,23.30207062,0.201763868,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-454,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.95187378,35.38342667,0.502463281,20.92715645,31.72520447,9.679053307,FALSE,0.1,TRUE,3,32,,Y,N,N
B5,SCr-454,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.19981003,35.38342667,0.502463281,34.62709427,31.72520447,9.679053307,FALSE,0.1,TRUE,3,31,,Y,N,N
B6,SCr-454,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.99860001,35.38342667,0.502463281,39.62136459,31.72520447,9.679053307,FALSE,0.1,TRUE,3,31,,Y,N,N
B7,SCr-454-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.21704483,37.2337532,0.056916714,8.969926834,8.874387741,0.335556865,FALSE,0.1,TRUE,3,33,,N,N,N
B8,SCr-454-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.29715729,37.2337532,0.056916714,8.501421928,8.874387741,0.335556865,FALSE,0.1,TRUE,3,33,,N,N,N
B9,SCr-454-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.18706512,37.2337532,0.056916714,9.151814461,8.874387741,0.335556865,FALSE,0.1,TRUE,3,33,,N,N,N
B10,SCr-005-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.33423233,38.33423233,,4.245240688,4.245240688,,FALSE,0.1,TRUE,3,34,,N,N,N
B11,SCr-005-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.33423233,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B12,SCr-005-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.33423233,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.64313698,26.75179291,0.204014838,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.98713875,26.75179291,0.204014838,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.625103,26.75179291,0.204014838,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
