Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201210_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-12-10 11:27:55 AM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.64555931,18.27775002,0.319246024,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.07251549,18.27775002,0.319246024,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.11517334,18.27775002,0.319246024,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A4,SCr-015,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.89121246,34.94200134,0.128400758,20.42746162,19.80787659,1.621170044,FALSE,0.1,TRUE,3,32,,N,N,N,N
A5,SCr-015,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.08802795,34.94200134,0.128400758,17.96828651,19.80787659,1.621170044,FALSE,0.1,TRUE,3,31,,N,N,N,N
A6,SCr-015,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.84676361,34.94200134,0.128400758,21.02787971,19.80787659,1.621170044,FALSE,0.1,TRUE,3,31,,N,N,N,N
A7,SCr-015-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.53063583,37.51050568,0.028465644,3.657104015,3.705713987,0.068744883,FALSE,0.1,TRUE,3,34,,N,N,N,N
A8,SCr-015-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.51050568,0.028465644,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A9,SCr-015-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.49037933,37.51050568,0.028465644,3.754323959,3.705713987,0.068744883,FALSE,0.1,TRUE,3,34,,N,N,N,N
A10,SCr-053,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.34936142,33.89327621,0.526324868,55.79927063,40.71416092,14.00156689,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A11,SCr-053,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.93041611,33.89327621,0.526324868,38.20881653,40.71416092,14.00156689,FALSE,0.1,TRUE,3,30,,Y,N,N,N
A12,SCr-053,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.40004349,33.89327621,0.526324868,28.13439751,40.71416092,14.00156689,FALSE,0.1,TRUE,3,30,,Y,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.65354156,21.75333214,0.098202139,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.84986496,21.75333214,0.098202139,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.75658417,21.75333214,0.098202139,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B4,SCr-018,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.71356964,34.62540817,0.096853055,22.9348259,24.32362366,1.545888901,FALSE,0.1,TRUE,3,30,,N,N,N,N
B5,SCr-018,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.52173615,34.62540817,0.096853055,25.98920822,24.32362366,1.545888901,FALSE,0.1,TRUE,3,31,,N,N,N,N
B6,SCr-018,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.64092255,34.62540817,0.096853055,24.04683113,24.32362366,1.545888901,FALSE,0.1,TRUE,3,31,,N,N,N,N
B7,SCr-018-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.21937943,37.37051392,1.627952695,8.595727921,5.256391525,4.722535133,FALSE,0.1,TRUE,3,32,,Y,N,N,N
B8,SCr-018-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.37051392,1.627952695,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B9,SCr-018-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.52165222,37.37051392,1.627952695,1.917054772,5.256391525,4.722535133,FALSE,0.1,TRUE,3,35,,Y,N,N,N
B10,SCr-053-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.60065842,36.90089798,1.540284395,1.82084167,7.283277988,5.536327362,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B11,SCr-053-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.50444031,36.90089798,1.540284395,7.138343334,7.283277988,5.536327362,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B12,SCr-053-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.59759903,36.90089798,1.540284395,12.89065075,7.283277988,5.536327362,FALSE,0.1,TRUE,3,31,,Y,N,N,N
