Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201001_Scott_Creek_Okisutch_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-01 12:58:36 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.86147308,20.0008831,0.129222035,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.11665344,20.0008831,0.129222035,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.02452087,20.0008831,0.129222035,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-835,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.98056793,35.60661697,0.614435554,59.62945175,42.07701111,16.37066841,FALSE,0.1,TRUE,3,31,,Y,N,N
A5,SCr-835,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.20874023,35.60661697,0.614435554,27.22356796,42.07701111,16.37066841,FALSE,0.1,TRUE,3,32,,Y,N,N
A6,SCr-835,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.63053894,35.60661697,0.614435554,39.37800598,42.07701111,16.37066841,FALSE,0.1,TRUE,3,31,,Y,N,N
A7,SCr-835-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.70148849,37.29925156,0.604793429,10.49722481,14.30218792,5.947526932,FALSE,0.1,TRUE,3,33,,Y,N,N
A8,SCr-835-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.59252548,37.29925156,0.604793429,11.25343037,14.30218792,5.947526932,FALSE,0.1,TRUE,3,33,,Y,N,N
A9,SCr-835-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.60373306,37.29925156,0.604793429,21.15590858,14.30218792,5.947526932,FALSE,0.1,TRUE,3,32,,Y,N,N
A10,SCr-432,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.83539963,34.34918594,0.445214093,123.8692169,91.78137207,27.79874611,FALSE,0.1,TRUE,3,30,,N,N,N
A11,SCr-432,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.62138367,34.34918594,0.445214093,74.99738312,91.78137207,27.79874611,FALSE,0.1,TRUE,3,31,,N,N,N
A12,SCr-432,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.59077072,34.34918594,0.445214093,76.47750092,91.78137207,27.79874611,FALSE,0.1,TRUE,3,30,,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,22.95747757,23.43019104,0.412535846,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.61563301,23.43019104,0.412535846,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.71746254,23.43019104,0.412535846,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-838,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.81466293,35.06712723,0.264681667,66.29162598,56.95806885,9.486068726,FALSE,0.1,TRUE,3,31,,N,N,N
B5,SCr-838,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.04418945,35.06712723,0.264681667,57.25606537,56.95806885,9.486068726,FALSE,0.1,TRUE,3,31,,N,N,N
B6,SCr-838,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.34253311,35.06712723,0.264681667,47.32651138,56.95806885,9.486068726,FALSE,0.1,TRUE,3,31,,N,N,N
B7,SCr-838-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.96486282,37.37690353,1.24751544,31.80980873,16.15713692,13.61796665,FALSE,0.1,TRUE,3,32,,Y,N,N
B8,SCr-838-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.83615112,37.37690353,1.24751544,9.632493973,16.15713692,13.61796665,FALSE,0.1,TRUE,3,34,,Y,N,N
