Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201007_Scott_Creek_Omykiss_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-07 09:56:45 AM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.1949234,19.05517769,0.140912846,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.05748177,19.05517769,0.140912846,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.91312599,19.05517769,0.140912846,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-315,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.67696381,29.80657959,0.112259604,751.496582,690.9795532,52.41295624,FALSE,0.1,TRUE,3,26,,N,N,N,N
A5,SCr-315,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.87281227,29.80657959,0.112259604,660.0977783,690.9795532,52.41295624,FALSE,0.1,TRUE,3,26,,N,N,N,N
A6,SCr-315,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.86996269,29.80657959,0.112259604,661.3444214,690.9795532,52.41295624,FALSE,0.1,TRUE,3,26,,N,N,N,N
A7,SCr-315-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.80923843,31.09356117,0.379342943,355.0805054,300.110321,70.10756683,FALSE,0.1,TRUE,3,27,,N,N,N,N
A8,SCr-315-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.94715309,31.09356117,0.379342943,324.0915527,300.110321,70.10756683,FALSE,0.1,TRUE,3,27,,N,N,N,N
A9,SCr-315-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.52429008,31.09356117,0.379342943,221.1589355,300.110321,70.10756683,FALSE,0.1,TRUE,3,27,,N,N,N,N
A10,SCr-533,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.8030777,33.05999374,0.495380938,94.83586884,82.7155838,24.23432732,FALSE,0.1,TRUE,3,29,,N,N,N,N
A11,SCr-533,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.74584579,33.05999374,0.495380938,98.49868011,82.7155838,24.23432732,FALSE,0.1,TRUE,3,29,,N,N,N,N
A12,SCr-533,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.63105392,33.05999374,0.495380938,54.81221771,82.7155838,24.23432732,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.6709156,22.01048088,0.294198841,100000,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.17163086,22.01048088,0.294198841,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.18889618,22.01048088,0.294198841,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B4,SCr-318,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.9962101,31.78121185,0.293950379,161.8071899,189.0036621,38.36582947,FALSE,0.1,TRUE,3,27,,N,N,N,N
B5,SCr-318,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.90117264,31.78121185,0.293950379,172.3165741,189.0036621,38.36582947,FALSE,0.1,TRUE,3,28,,N,N,N,N
