Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201019_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-19 15:37:48 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.61344719,20.4500885,0.156453162,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.30160332,20.4500885,0.156453162,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.43521309,20.4500885,0.156453162,1000000,,,FALSE,0.1,TRUE,3,17,,N,N,N
A4,SCr-162,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.82067108,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A5,SCr-162,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.82067108,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
A6,SCr-162,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.82067108,39.82067108,,5.815070629,5.815070629,,FALSE,0.1,TRUE,3,34,,N,N,N
A7,SCr-162-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.93946457,38.3304863,1.229103565,34.81849289,18.03018188,14.61111641,FALSE,0.1,TRUE,3,32,,Y,N,N
A8,SCr-162-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.26990509,38.3304863,1.229103565,8.187166214,18.03018188,14.61111641,FALSE,0.1,TRUE,3,35,,Y,N,N
A9,SCr-162-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.78208542,38.3304863,1.229103565,11.08488846,18.03018188,14.61111641,FALSE,0.1,TRUE,3,35,,Y,N,N
A10,SCr-170,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A11,SCr-170,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A12,SCr-170,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,24.10971069,24.02959633,0.070039362,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.97994995,24.02959633,0.070039362,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.99913406,24.02959633,0.070039362,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-163,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B5,SCr-163,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,29,,N,N,N
B6,SCr-163,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B7,SCr-163-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.48739243,36.67692184,1.574503541,13.31158733,52.57429123,34.60636139,FALSE,0.1,TRUE,3,34,,Y,N,N
B8,SCr-163-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.62779236,36.67692184,1.574503541,78.64228058,52.57429123,34.60636139,FALSE,0.1,TRUE,3,31,,Y,N,N
