Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201019_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-19 14:04:26 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.9887619,18.63661003,0.312797219,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.53006363,18.63661003,0.312797219,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.39100647,18.63661003,0.312797219,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A4,SCr-162,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.18219757,31.16563606,0.018554978,808.0637207,815.5751953,8.43447876,FALSE,0.1,TRUE,3,27,,N,N,N
A5,SCr-162,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.16913033,31.16563606,0.018554978,813.9621582,815.5751953,8.43447876,FALSE,0.1,TRUE,3,27,,N,N,N
A6,SCr-162,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.14558411,31.16563606,0.018554978,824.699707,815.5751953,8.43447876,FALSE,0.1,TRUE,3,28,,N,N,N
A7,SCr-162-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.61776733,30.57232094,0.045672186,1106.318726,1134.902954,28.85276985,FALSE,0.1,TRUE,3,27,,N,N,N
A8,SCr-162-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.52642632,30.57232094,0.045672186,1164.016968,1134.902954,28.85276985,FALSE,0.1,TRUE,3,27,,N,N,N
A9,SCr-162-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.57277489,30.57232094,0.045672186,1134.373047,1134.902954,28.85276985,FALSE,0.1,TRUE,3,28,,N,N,N
A10,SCr-170,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.78573227,35.82250977,0.550507367,62.32672882,62.9703064,18.786623,FALSE,0.1,TRUE,3,32,,Y,N,N
A11,SCr-170,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.29130936,35.82250977,0.550507367,82.0704422,62.9703064,18.786623,FALSE,0.1,TRUE,3,31,,Y,N,N
A12,SCr-170,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.39048004,35.82250977,0.550507367,44.51373672,62.9703064,18.786623,FALSE,0.1,TRUE,3,32,,Y,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.43885803,22.38095665,0.127697423,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.23456573,22.38095665,0.127697423,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
