Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201021_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.04881668,19.87031746,0.154960051,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.770298,19.87031746,0.154960051,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.79183578,19.87031746,0.154960051,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-186,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.73923492,37.70978546,0.467637807,7.933903694,8.349140167,2.575220108,FALSE,0.1,TRUE,3,33,,N,N,N
A5,SCr-186,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.16200256,37.70978546,0.467637807,6.00676918,8.349140167,2.575220108,FALSE,0.1,TRUE,3,33,,N,N,N
A6,SCr-186,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.2281189,37.70978546,0.467637807,11.10674667,8.349140167,2.575220108,FALSE,0.1,TRUE,3,32,,N,N,N
A7,SCr-186-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.91451263,37.74187088,1.362127304,7.069434643,10.31498623,8.951710701,FALSE,0.1,TRUE,3,34,,Y,N,N
A8,SCr-186-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.00944901,37.74187088,1.362127304,3.438766241,10.31498623,8.951710701,FALSE,0.1,TRUE,3,35,,Y,N,N
A9,SCr-186-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.30165482,37.74187088,1.362127304,20.43675613,10.31498623,8.951710701,FALSE,0.1,TRUE,3,32,,Y,N,N
A10,SCr-364,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.19070435,0.610348403,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A11,SCr-364,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.75912476,38.19070435,0.610348403,7.830717087,6.133763313,2.399855375,FALSE,0.1,TRUE,3,34,,Y,N,N
A12,SCr-364,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.62228775,38.19070435,0.610348403,4.436809063,6.133763313,2.399855375,FALSE,0.1,TRUE,3,34,,Y,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.51587105,23.44604301,0.066925563,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.38245773,23.44604301,0.066925563,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.43979645,23.44604301,0.066925563,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-357,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B5,SCr-357,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B6,SCr-357,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B7,SCr-357-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.63019943,39.16947937,0.762659729,4.413764954,3.292001247,1.586413622,FALSE,0.1,TRUE,3,34,,Y,N,N
B8,SCr-357-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.16947937,0.762659729,,,,FALSE,0.1,TRUE,3,35,,N,N,N
B9,SCr-357-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.70876312,39.16947937,0.762659729,2.170237303,3.292001247,1.586413622,FALSE,0.1,TRUE,3,35,,Y,N,N
B10,SCr-364-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.40133286,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B11,SCr-364-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.40133286,38.40133286,,5.131325722,5.131325722,,FALSE,0.1,TRUE,3,34,,N,N,N
B12,SCr-364-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.40133286,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.9144268,26.89418221,0.055095933,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.93629074,26.89418221,0.055095933,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,26.83182716,26.89418221,0.055095933,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C4,SCr-358,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C5,SCr-358,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C6,SCr-358,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C7,SCr-358-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.79427719,0.747913003,,,,FALSE,0.1,TRUE,3,34,,N,N,N
C8,SCr-358-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.26542282,38.79427719,0.747913003,5.611497402,4.204395294,1.989942551,FALSE,0.1,TRUE,3,34,,Y,N,N
C9,SCr-358-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.32313156,38.79427719,0.747913003,2.797293663,4.204395294,1.989942551,FALSE,0.1,TRUE,3,35,,Y,N,N
C10,SCr-365,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C11,SCr-365,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C12,SCr-365,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.48516846,30.39061165,0.113309599,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.26501846,30.39061165,0.113309599,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
