Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\S1P_data\eds_files\20201027_Scott_Creek_Chloe_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 13:48:01 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.1026001,20.0567627,0.056612696,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.07420731,20.0567627,0.056612696,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,19.99348068,20.0567627,0.056612696,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-380,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A5,SCr-380,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A6,SCr-380,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,SCr-380-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A8,SCr-380-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,SCr-380-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A10,SCr-336,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.64807892,37.69878006,1.051309586,9.235104561,10.37796879,6.608320236,FALSE,0.1,TRUE,3,33,,Y,N,N
