Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201027_Scott_Creek_Okisutch_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-27 15:23:31 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.09612846,19.96481514,0.114385992,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.91148376,19.96481514,0.114385992,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.8868351,19.96481514,0.114385992,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-525,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A5,SCr-525,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A6,SCr-525,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A7,SCr-525-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.88884354,36.95994186,0.813789845,5.85902977,11.93784332,5.406850338,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A8,SCr-525-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.61842346,36.95994186,0.813789845,13.74435043,11.93784332,5.406850338,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A9,SCr-525-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.37256241,36.95994186,0.813789845,16.21015167,11.93784332,5.406850338,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A10,SCr-483,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.17078781,35.20359421,0.289796382,36.31424332,35.96797562,6.849782467,FALSE,0.1,TRUE,3,30,,N,N,N,N
A11,SCr-483,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.93159103,35.20359421,0.289796382,42.63805771,35.96797562,6.849782467,FALSE,0.1,TRUE,3,31,,N,N,N,N
A12,SCr-483,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.50839233,35.20359421,0.289796382,28.95162773,35.96797562,6.849782467,FALSE,0.1,TRUE,3,31,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.2494297,23.31858826,0.061486118,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.36707306,23.31858826,0.061486118,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.33926201,23.31858826,0.061486118,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-510,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.53846359,34.51373672,0.211010396,55.51177216,56.82180786,8.124277115,FALSE,0.1,TRUE,3,30,,N,N,N,N
B5,SCr-510,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.71129227,34.51373672,0.211010396,49.43214798,56.82180786,8.124277115,FALSE,0.1,TRUE,3,30,,N,N,N,N
B6,SCr-510,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.2914505,34.51373672,0.211010396,65.521492,56.82180786,8.124277115,FALSE,0.1,TRUE,3,30,,N,N,N,N
B7,SCr-510-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.96736908,35.14688873,0.215183511,41.62640762,37.15371323,5.203740597,FALSE,0.1,TRUE,3,30,,N,N,N,N
B8,SCr-510-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.08787537,35.14688873,0.215183511,38.39229584,37.15371323,5.203740597,FALSE,0.1,TRUE,3,31,,N,N,N,N
B9,SCr-510-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.38542175,35.14688873,0.215183511,31.4424305,37.15371323,5.203740597,FALSE,0.1,TRUE,3,31,,N,N,N,N
B10,SCr-483-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.73073959,36.05762863,0.412162125,24.93812561,20.51865578,5.276525021,FALSE,0.1,TRUE,3,32,,N,N,N,N
B11,SCr-483-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.52062988,36.05762863,0.412162125,14.67671299,20.51865578,5.276525021,FALSE,0.1,TRUE,3,32,,N,N,N,N
B12,SCr-483-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.92150879,36.05762863,0.412162125,21.94112778,20.51865578,5.276525021,FALSE,0.1,TRUE,3,32,,N,N,N,N
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.64668465,26.82061577,0.150653332,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.91036034,26.82061577,0.150653332,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,26.90479851,26.82061577,0.150653332,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C4,SCr-507,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.65037918,36.31507492,0.732905447,13.45271206,18.35761452,9.778497696,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C5,SCr-507,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.47449875,36.31507492,0.732905447,29.6177578,18.35761452,9.778497696,FALSE,0.1,TRUE,3,31,,Y,N,N,N
