Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201116_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-16 10:31:53 AM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.77446175,19.62713051,0.270332515,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.79179573,19.62713051,0.270332515,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.31513977,19.62713051,0.270332515,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-418,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.80776405,31.1011734,0.276595116,574.2878418,474.8051758,91.90214539,FALSE,0.1,TRUE,3,27,,N,N,N,N
A5,SCr-418,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.13861656,31.1011734,0.276595116,457.0545654,474.8051758,91.90214539,FALSE,0.1,TRUE,3,27,,N,N,N,N
A6,SCr-418,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.35713959,31.1011734,0.276595116,393.0731506,474.8051758,91.90214539,FALSE,0.1,TRUE,3,28,,N,N,N,N
A7,SCr-418-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.11262894,33.20853806,0.602772772,117.0378723,115.7457047,44.92401123,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A8,SCr-418-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.85351181,33.20853806,0.602772772,70.18955994,115.7457047,44.92401123,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A9,SCr-418-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.65946579,33.20853806,0.602772772,160.0097046,115.7457047,44.92401123,FALSE,0.1,TRUE,3,29,,Y,N,N,N
A10,SCr-438,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.20014,29.36490059,0.354236543,1741.642822,1584.188477,358.306427,FALSE,0.1,TRUE,3,26,,N,N,N,N
A11,SCr-438,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.1230526,29.36490059,0.354236543,1836.806274,1584.188477,358.306427,FALSE,0.1,TRUE,3,24,,N,N,N,N
A12,SCr-438,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.77150917,29.36490059,0.354236543,1174.116089,1584.188477,358.306427,FALSE,0.1,TRUE,3,25,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.31942368,23.31292725,0.251840472,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.56145859,23.31292725,0.251840472,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.05790329,23.31292725,0.251840472,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-420,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.30976677,29.45101929,0.174073875,1614.73877,1471.697632,172.0374298,FALSE,0.1,TRUE,3,24,,N,N,N,N
B5,SCr-420,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.64549065,29.45101929,0.174073875,1280.798218,1471.697632,172.0374298,FALSE,0.1,TRUE,3,25,,N,N,N,N
B6,SCr-420,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.39780235,29.45101929,0.174073875,1519.555786,1471.697632,172.0374298,FALSE,0.1,TRUE,3,26,,N,N,N,N
