Block Type,96well,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201123_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-23 12:54:15 PM PST,,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.72626686,18.47143364,0.238812864,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.43526268,18.47143364,0.238812864,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.25276756,18.47143364,0.238812864,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N,N,N
A4,SCr-050,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.62254333,32.50117493,0.143483743,83.55239105,90.59113312,8.484167099,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
A5,SCr-050,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.34281921,32.50117493,0.143483743,100.0116196,90.59113312,8.484167099,FALSE,0.1,TRUE,3,28,,N,N,N,N,N
A6,SCr-050,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.53816605,32.50117493,0.143483743,88.2093811,90.59113312,8.484167099,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
A7,SCr-050-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.34677124,34.63244247,0.730157077,14.50194454,24.68710518,11.43335533,FALSE,0.1,TRUE,3,32,,Y,N,N,N,N
A8,SCr-050-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.66312408,34.63244247,0.730157077,22.50518036,24.68710518,11.43335533,FALSE,0.1,TRUE,3,31,,Y,N,N,N,N
A9,SCr-050-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.88742447,34.63244247,0.730157077,37.0541954,24.68710518,11.43335533,FALSE,0.1,TRUE,3,30,,Y,N,N,N,N
A10,SCr-EB06,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,N,Y
A11,SCr-EB06,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
A12,SCr-EB06,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,N,Y
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.72179985,21.58618927,0.119389988,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.53985786,21.58618927,0.119389988,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.49690819,21.58618927,0.119389988,100000,,,FALSE,0.1,TRUE,3,17,,N,N,N,N,N
B4,SCr-056,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.85481262,32.95068359,0.353760779,71.96401978,68.80086517,14.87604523,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
B5,SCr-056,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.34249878,32.95068359,0.353760779,52.59764099,68.80086517,14.87604523,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
B6,SCr-056,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.65473938,32.95068359,0.353760779,81.84093475,68.80086517,14.87604523,FALSE,0.1,TRUE,3,29,,N,N,N,N,N
B7,SCr-056-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.21626282,35.65027237,0.490276605,8.292531013,12.30576706,3.476918221,FALSE,0.1,TRUE,3,33,,N,N,N,Y,N
B8,SCr-056-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.35673141,35.65027237,0.490276605,14.40939045,12.30576706,3.476918221,FALSE,0.1,TRUE,3,31,,N,N,N,N,N
B9,SCr-056-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.37781906,35.65027237,0.490276605,14.21538067,12.30576706,3.476918221,FALSE,0.1,TRUE,3,32,,N,N,N,N,N
B10,SCr-EB06-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
B11,SCr-EB06-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N,Y
