Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201029_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-29 11:36:49 AM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.3680191,19.20673943,0.209544405,1000000,,,FALSE,0.1,TRUE,3,15,
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.28230476,19.20673943,0.209544405,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.9698925,19.20673943,0.209544405,1000000,,,FALSE,0.1,TRUE,3,14,
A4,SCr-352,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A5,SCr-352,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A6,SCr-352,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A7,SCr-352-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A8,SCr-352-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A9,SCr-352-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A10,SCr-553,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.22598457,31.39945984,0.227369487,616.5397949,558.7550659,73.83875275,FALSE,0.1,TRUE,3,27,
A11,SCr-553,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.31553078,31.39945984,0.227369487,584.1569214,558.7550659,73.83875275,FALSE,0.1,TRUE,3,26,
A12,SCr-553,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.65686226,31.39945984,0.227369487,475.568573,558.7550659,73.83875275,FALSE,0.1,TRUE,3,27,
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.89762115,22.75009727,0.12776117,100000,,,FALSE,0.1,TRUE,3,19,
