Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201104_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-04 11:24:09 AM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.59182739,20.23284531,0.312673509,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.08672523,20.23284531,0.312673509,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.01998329,20.23284531,0.312673509,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-547,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.29322624,31.21853065,0.089507267,1699.867188,1775.618652,91.74375153,FALSE,0.1,TRUE,3,28,,N,N,N
A5,SCr-547,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.11931992,31.21853065,0.089507267,1877.628662,1775.618652,91.74375153,FALSE,0.1,TRUE,3,28,,N,N,N
A6,SCr-547,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.2430439,31.21853065,0.089507267,1749.360229,1775.618652,91.74375153,FALSE,0.1,TRUE,3,27,,N,N,N
A7,SCr-547-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.95107269,33.28852081,0.346017063,658.6279907,550.1098022,107.573204,FALSE,0.1,TRUE,3,29,,N,N,N
A8,SCr-547-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.64251328,33.28852081,0.346017063,443.5071716,550.1098022,107.573204,FALSE,0.1,TRUE,3,29,,N,N,N
A9,SCr-547-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.27197647,33.28852081,0.346017063,548.1940918,550.1098022,107.573204,FALSE,0.1,TRUE,3,29,,N,N,N
A10,SCr-match1C,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.46843719,28.61367798,0.235697106,8551.339844,7916.226563,1022.958252,FALSE,0.1,TRUE,3,24,,N,N,N
A11,SCr-match1C,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.4869709,28.61367798,0.235697106,8461.176758,7916.226563,1022.958252,FALSE,0.1,TRUE,3,25,,N,N,N
A12,SCr-match1C,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.88562775,28.61367798,0.235697106,6736.164063,7916.226563,1022.958252,FALSE,0.1,TRUE,3,24,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.28753281,24.10993004,0.163292289,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.07596016,24.10993004,0.163292289,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,23.96629143,24.10993004,0.163292289,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B4,SCr-551,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.98142815,31.1317997,0.211842224,2031.69812,1873.213867,219.2010498,FALSE,0.1,TRUE,3,27,,N,N,N
B5,SCr-551,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.03989601,31.1317997,0.211842224,1964.884277,1873.213867,219.2010498,FALSE,0.1,TRUE,3,27,,N,N,N
