Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201110_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-10 12:29:59 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.06979942,17.76555634,0.267141312,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.65748978,17.76555634,0.267141312,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.56937599,17.76555634,0.267141312,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-153,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.91702271,30.24573708,0.31491679,344.0515442,281.1391602,58.78434753,FALSE,0.1,TRUE,3,28,,N,N,N,N
A5,SCr-153,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.2754364,30.24573708,0.31491679,271.7538452,281.1391602,58.78434753,FALSE,0.1,TRUE,3,27,,N,N,N,N
A6,SCr-153,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.54475212,30.24573708,0.31491679,227.6120911,281.1391602,58.78434753,FALSE,0.1,TRUE,3,28,,N,N,N,N
A7,SCr-153-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.50850296,32.47424316,0.261134297,62.5004425,64.5637207,11.23618698,FALSE,0.1,TRUE,3,30,,N,N,N,N
A8,SCr-153-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.71655655,32.47424316,0.261134297,54.50216293,64.5637207,11.23618698,FALSE,0.1,TRUE,3,30,,N,N,N,N
A9,SCr-153-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.19766998,32.47424316,0.261134297,76.68856049,64.5637207,11.23618698,FALSE,0.1,TRUE,3,30,,N,N,N,N
A10,SCr-818,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.07241631,28.05403328,0.183924571,1158.456909,1178.327515,143.6459961,FALSE,0.1,TRUE,3,26,,N,N,N,N
A11,SCr-818,O.mykiss,UNKNOWN,FAM,NFQ-MGB,27.8616066,28.05403328,0.183924571,1330.874268,1178.327515,143.6459961,FALSE,0.1,TRUE,3,25,,N,N,N,N
A12,SCr-818,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.22807503,28.05403328,0.183924571,1045.651245,1178.327515,143.6459961,FALSE,0.1,TRUE,3,26,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.65122223,21.37893105,0.239032522,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.28189659,21.37893105,0.239032522,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.20367432,21.37893105,0.239032522,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-155,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.20937347,28.3386097,0.314839453,1058.60144,985.7536011,192.2479706,FALSE,0.1,TRUE,3,26,,N,N,N,N
B5,SCr-155,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.69750214,28.3386097,0.314839453,767.7279053,985.7536011,192.2479706,FALSE,0.1,TRUE,3,26,,N,N,N,N
B6,SCr-155,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.10895348,28.3386097,0.314839453,1130.931274,985.7536011,192.2479706,FALSE,0.1,TRUE,3,26,,N,N,N,N
