Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Okisutch_Chloe_P2.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 15:59:58 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.18373299,20.12075043,0.070097357,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.13329124,20.12075043,0.070097357,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.04523087,20.12075043,0.070097357,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-412,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.13554001,37.67032242,1.0360502,15.21733761,12.24071026,6.283714771,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A5,SCr-412,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.86448669,37.67032242,1.0360502,5.021790981,12.24071026,6.283714771,FALSE,0.1,TRUE,3,35,,Y,N,N,N
A6,SCr-412,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.01094437,37.67032242,1.0360502,16.48300171,12.24071026,6.283714771,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A7,SCr-412-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.84800339,38.042099,0.274489939,9.636751175,8.574997902,1.501545548,FALSE,0.1,TRUE,3,33,,N,N,N,N
A8,SCr-412-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.2361908,38.042099,0.274489939,7.513245106,8.574997902,1.501545548,FALSE,0.1,TRUE,3,34,,N,N,N,N
A9,SCr-412-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.042099,0.274489939,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A10,SCr-526,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.38625717,34.26262283,0.108942084,88.70818329,96.1813736,6.599079609,FALSE,0.1,TRUE,3,31,,N,N,N,N
A11,SCr-526,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.18069077,34.26262283,0.108942084,101.2069168,96.1813736,6.599079609,FALSE,0.1,TRUE,3,30,,N,N,N,N
A12,SCr-526,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.22092819,34.26262283,0.108942084,98.62903595,96.1813736,6.599079609,FALSE,0.1,TRUE,3,30,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.4766922,23.43238068,0.040366393,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.39770317,23.43238068,0.040366393,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.42274475,23.43238068,0.040366393,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-413,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.95198059,37.54111099,0.717782855,9.015190125,12.65050602,6.331949234,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B5,SCr-413,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.71229935,37.54111099,0.717782855,19.96197319,12.65050602,6.331949234,FALSE,0.1,TRUE,3,32,,Y,N,Y,N
B6,SCr-413,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.95906067,37.54111099,0.717782855,8.974354744,12.65050602,6.331949234,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B7,SCr-413-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.44042969,37.44042969,,12.51504707,12.51504707,,FALSE,0.1,TRUE,3,34,,N,N,N,N
