Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 14:26:52 PM PST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.66492462,19.47021484,0.1959759,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.47272301,19.47021484,0.1959759,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.2729969,19.47021484,0.1959759,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A4,SCr-412,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.3059082,30.29811859,0.133278981,904.3996582,910.9743042,76.55340576,FALSE,0.1,TRUE,3,27,,N,N
A5,SCr-412,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.16111565,30.29811859,0.133278981,990.6029053,910.9743042,76.55340576,FALSE,0.1,TRUE,3,26,,N,N
A6,SCr-412,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.42733192,30.29811859,0.133278981,837.920166,910.9743042,76.55340576,FALSE,0.1,TRUE,3,26,,N,N
A7,SCr-412-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.01373291,32.22913742,0.243754476,309.0270386,271.9690552,40.63373184,FALSE,0.1,TRUE,3,28,,N,N
A8,SCr-412-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.17993546,32.22913742,0.243754476,278.3625183,271.9690552,40.63373184,FALSE,0.1,TRUE,3,28,,N,N
A9,SCr-412-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.49373627,32.22913742,0.243754476,228.5175934,271.9690552,40.63373184,FALSE,0.1,TRUE,3,29,,N,N
A10,SCr-526,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.29185104,32.5125618,0.290246576,259.4474487,228.2691193,39.64378738,FALSE,0.1,TRUE,3,28,,N,N
A11,SCr-526,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.40449524,32.5125618,0.290246576,241.7069397,228.2691193,39.64378738,FALSE,0.1,TRUE,3,30,,N,N
A12,SCr-526,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.84133911,32.5125618,0.290246576,183.6530151,228.2691193,39.64378738,FALSE,0.1,TRUE,3,29,,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.79280663,22.71561241,0.068342023,100000,,,FALSE,0.1,TRUE,3,19,,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.69120407,22.71561241,0.068342023,100000,,,FALSE,0.1,TRUE,3,19,,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.66282463,22.71561241,0.068342023,100000,,,FALSE,0.1,TRUE,3,18,,N,N
B4,SCr-413,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.31024361,29.57546043,0.230861589,1691.419556,1441.960327,216.8968964,FALSE,0.1,TRUE,3,25,,N,N
B5,SCr-413,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.73135185,29.57546043,0.230861589,1297.947998,1441.960327,216.8968964,FALSE,0.1,TRUE,3,26,,N,N
B6,SCr-413,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.68478584,29.57546043,0.230861589,1336.513306,1441.960327,216.8968964,FALSE,0.1,TRUE,3,26,,N,N
B7,SCr-413-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.73891068,31.96274757,0.199691981,367.3190918,320.8038025,41.26977539,FALSE,0.1,TRUE,3,28,,N,N
B8,SCr-413-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.02671432,31.96274757,0.199691981,306.5148926,320.8038025,41.26977539,FALSE,0.1,TRUE,3,28,,N,N
B9,SCr-413-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.12261963,31.96274757,0.199691981,288.5773621,320.8038025,41.26977539,FALSE,0.1,TRUE,3,28,,N,N
B10,SCr-526-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.69551086,35.20895004,0.476925433,30.52077866,42.68806076,12.5439024,FALSE,0.1,TRUE,3,32,,N,N
B11,SCr-526-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.18904877,35.20895004,0.476925433,41.96600723,42.68806076,12.5439024,FALSE,0.1,TRUE,3,32,,N,N
B12,SCr-526-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.74228287,35.20895004,0.476925433,55.57739258,42.68806076,12.5439024,FALSE,0.1,TRUE,3,31,,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.79940605,25.73364067,0.059648316,10000,,,FALSE,0.1,TRUE,3,22,,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.71848106,25.73364067,0.059648316,10000,,,FALSE,0.1,TRUE,3,22,,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.6830349,25.73364067,0.059648316,10000,,,FALSE,0.1,TRUE,3,22,,N,N
C4,SCr-414,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.24038887,30.12482262,0.134722874,942.4364624,1015.918396,87.20819092,FALSE,0.1,TRUE,3,27,,N,N
C5,SCr-414,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.97685242,30.12482262,0.134722874,1112.287964,1015.918396,87.20819092,FALSE,0.1,TRUE,3,25,,N,N
C6,SCr-414,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.15722275,30.12482262,0.134722874,993.0306396,1015.918396,87.20819092,FALSE,0.1,TRUE,3,26,,N,N
C7,SCr-414-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.49023819,32.45797348,0.18483679,229.0207825,234.7782745,27.63738632,FALSE,0.1,TRUE,3,29,,N,N
C8,SCr-414-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.62455368,32.45797348,0.18483679,210.4731445,234.7782745,27.63738632,FALSE,0.1,TRUE,3,29,,N,N
C9,SCr-414-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.25912857,32.45797348,0.18483679,264.8409119,234.7782745,27.63738632,FALSE,0.1,TRUE,3,28,,N,N
C10,SCr-529,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.71073151,32.62531281,0.091325767,199.3717957,210.6046143,12.14944363,FALSE,0.1,TRUE,3,28,,N,N
C11,SCr-529,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.52904892,32.62531281,0.091325767,223.4995422,210.6046143,12.14944363,FALSE,0.1,TRUE,3,30,,N,N
C12,SCr-529,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.6361618,32.62531281,0.091325767,208.9425201,210.6046143,12.14944363,FALSE,0.1,TRUE,3,29,,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.6814518,30.41949272,0.277115494,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.44765663,30.41949272,0.277115494,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.12937164,30.41949272,0.277115494,1000,,,FALSE,0.1,TRUE,3,26,,N,N
D4,SCr-415,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.59798431,29.62603569,0.076424614,1411.486084,1387.869141,65.9066391,FALSE,0.1,TRUE,3,26,,N,N
D5,SCr-415,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.56759834,29.62603569,0.076424614,1438.713257,1387.869141,65.9066391,FALSE,0.1,TRUE,3,25,,N,N
D6,SCr-415,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.7125206,29.62603569,0.076424614,1313.407837,1387.869141,65.9066391,FALSE,0.1,TRUE,3,26,,N,N
D7,SCr-415-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.61609459,31.62582588,0.164576948,396.8089905,395.7929688,40.71603775,FALSE,0.1,TRUE,3,28,,N,N
D8,SCr-415-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.79505348,31.62582588,0.164576948,354.5784302,395.7929688,40.71603775,FALSE,0.1,TRUE,3,28,,N,N
D9,SCr-415-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.46633148,31.62582588,0.164576948,435.9914856,395.7929688,40.71603775,FALSE,0.1,TRUE,3,28,,N,N
D10,SCr-529-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.37930679,34.69582748,0.715177834,69.82610321,60.83370972,23.470438,FALSE,0.1,TRUE,3,31,,Y,N
D11,SCr-529-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.51464844,34.69582748,0.715177834,34.19673157,60.83370972,23.470438,FALSE,0.1,TRUE,3,31,,Y,N
D12,SCr-529-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.19352722,34.69582748,0.715177834,78.47828674,60.83370972,23.470438,FALSE,0.1,TRUE,3,30,,Y,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.23764801,34.1255188,0.61398989,100,,,FALSE,0.1,TRUE,3,30,,Y,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.6757164,34.1255188,0.61398989,100,,,FALSE,0.1,TRUE,3,31,,Y,N
