Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201012_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-12 11:37:09 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.78092575,18.52852249,0.250060588,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.52376938,18.52852249,0.250060588,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.28087234,18.52852249,0.250060588,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-309,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,36,,N,N,N
A5,SCr-309,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A6,SCr-309,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A7,SCr-309-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A8,SCr-309-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A9,SCr-309-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A10,SCr-319,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.30927467,28.40865517,0.31374523,2637.371582,2513.645508,450.6175232,FALSE,0.1,TRUE,3,24,,N,N,N
A11,SCr-319,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.1566391,28.40865517,0.31374523,2889.475342,2513.645508,450.6175232,FALSE,0.1,TRUE,3,25,,N,N,N
A12,SCr-319,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.76005745,28.40865517,0.31374523,2014.0896,2513.645508,450.6175232,FALSE,0.1,TRUE,3,25,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.14258385,21.89926338,0.235482812,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.67249107,21.89926338,0.235482812,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.88271713,21.89926338,0.235482812,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-310,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.3053627,30.30578041,0.054754499,799.2450562,799.3310547,26.1688385,FALSE,0.1,TRUE,3,26,,N,N,N
B5,SCr-310,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.36074257,30.30578041,0.054754499,773.2053223,799.3310547,26.1688385,FALSE,0.1,TRUE,3,27,,N,N,N
B6,SCr-310,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.25123596,30.30578041,0.054754499,825.5427856,799.3310547,26.1688385,FALSE,0.1,TRUE,3,28,,N,N,N
B7,SCr-310-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.98193169,30.82863045,0.135557503,533.2595215,585.7307129,46.53366089,FALSE,0.1,TRUE,3,28,,N,N,N
B8,SCr-310-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.77936745,30.82863045,0.135557503,601.9431152,585.7307129,46.53366089,FALSE,0.1,TRUE,3,28,,N,N,N
B9,SCr-310-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.72459412,30.82863045,0.135557503,621.9894409,585.7307129,46.53366089,FALSE,0.1,TRUE,3,28,,N,N,N
B10,SCr-319-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.70738602,30.4376812,0.385666579,628.4241943,752.1281128,182.505127,FALSE,0.1,TRUE,3,28,,N,N,N
B11,SCr-319-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.99593544,30.4376812,0.385666579,961.7337036,752.1281128,182.505127,FALSE,0.1,TRUE,3,27,,N,N,N
B12,SCr-319-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.60972023,30.4376812,0.385666579,666.2265625,752.1281128,182.505127,FALSE,0.1,TRUE,3,28,,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.8586731,25.71534729,0.159916565,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.54285431,25.71534729,0.159916565,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.74451065,25.71534729,0.159916565,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C4,SCr-311,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.95510864,31.48658752,0.462184519,297.9560852,404.3924866,110.1058044,FALSE,0.1,TRUE,3,28,,N,N,N
C5,SCr-311,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.03101158,31.48658752,0.462184519,517.833252,404.3924866,110.1058044,FALSE,0.1,TRUE,3,28,,N,N,N
C6,SCr-311,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.47364235,31.48658752,0.462184519,397.3881836,404.3924866,110.1058044,FALSE,0.1,TRUE,3,28,,N,N,N
C7,SCr-311-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.98329353,30.52419853,0.468739748,969.0331421,720.6747437,215.1683502,FALSE,0.1,TRUE,3,27,,N,N,N
C8,SCr-311-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.77783585,30.52419853,0.468739748,602.494751,720.6747437,215.1683502,FALSE,0.1,TRUE,3,28,,N,N,N
C9,SCr-311-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.81146812,30.52419853,0.468739748,590.4962769,720.6747437,215.1683502,FALSE,0.1,TRUE,3,28,,N,N,N
C10,SCr-320,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.03250885,29.01082611,0.198167846,1711.230591,1741.747437,208.0410614,FALSE,0.1,TRUE,3,26,,N,N,N
C11,SCr-320,O.mykiss,UNKNOWN,FAM,NFQ-MGB,28.80270767,29.01082611,0.198167846,1963.361328,1741.747437,208.0410614,FALSE,0.1,TRUE,3,26,,N,N,N
C12,SCr-320,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.1972599,29.01082611,0.198167846,1550.650146,1741.747437,208.0410614,FALSE,0.1,TRUE,3,25,,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.02817154,29.96938515,0.223118141,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.72276306,29.96938515,0.223118141,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.15722847,29.96938515,0.223118141,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
D4,SCr-312,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D5,SCr-312,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D6,SCr-312,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
D7,SCr-312-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D8,SCr-312-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
D9,SCr-312-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,Y
D10,SCr-320-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.82915497,30.83013725,0.129038751,584.2825928,585.0993042,45.10378265,FALSE,0.1,TRUE,3,28,,N,N,N
D11,SCr-320-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.70159149,30.83013725,0.129038751,630.605896,585.0993042,45.10378265,FALSE,0.1,TRUE,3,28,,N,N,N
D12,SCr-320-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.95966339,30.83013725,0.129038751,540.4094238,585.0993042,45.10378265,FALSE,0.1,TRUE,3,28,,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.7099762,35.1942749,1.042339087,100,,,FALSE,0.1,TRUE,3,32,,Y,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.39065933,35.1942749,1.042339087,100,,,FALSE,0.1,TRUE,3,33,,Y,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,34.48219299,35.1942749,1.042339087,100,,,FALSE,0.1,TRUE,3,31,,Y,N,N
