Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201029_Scott_Creek_Okisutch_Chloe_P2.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-29 16:32:22 PM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.04055595,20.05905914,0.030757645,1000000,,,FALSE,0.1,TRUE,3,16,
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.09456444,20.05905914,0.030757645,1000000,,,FALSE,0.1,TRUE,3,15,
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.04205704,20.05905914,0.030757645,1000000,,,FALSE,0.1,TRUE,3,16,
A4,SCr-580,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.29491425,34.73291016,0.379367232,145.3047943,112.8772964,28.0855484,FALSE,0.1,TRUE,3,30,
A5,SCr-580,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.95816803,34.73291016,0.379367232,96.28813171,112.8772964,28.0855484,FALSE,0.1,TRUE,3,31,
A6,SCr-580,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.94564819,34.73291016,0.379367232,97.03895569,112.8772964,28.0855484,FALSE,0.1,TRUE,3,31,
A7,SCr-580-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.74607086,38.28614426,1.419314623,9.182476997,16.01153564,14.62474728,FALSE,0.1,TRUE,3,35,
A8,SCr-580-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.41846466,38.28614426,1.419314623,6.050482273,16.01153564,14.62474728,FALSE,0.1,TRUE,3,35,
A9,SCr-580-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.69390488,38.28614426,1.419314623,32.80164719,16.01153564,14.62474728,FALSE,0.1,TRUE,3,32,
A10,SCr-595,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A11,SCr-595,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
A12,SCr-595,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.66238594,23.672369,0.048013512,100000,,,FALSE,0.1,TRUE,3,19,
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.63013077,23.672369,0.048013512,100000,,,FALSE,0.1,TRUE,3,19,
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.72458839,23.672369,0.048013512,100000,,,FALSE,0.1,TRUE,3,19,
B4,SCr-583,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.65751266,36.65989685,0.359979808,33.55066681,34.06000137,7.551503181,FALSE,0.1,TRUE,3,33,
B5,SCr-583,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.02106094,36.65989685,0.359979808,26.7760601,34.06000137,7.551503181,FALSE,0.1,TRUE,3,33,
B6,SCr-583,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.30111313,36.65989685,0.359979808,41.85327911,34.06000137,7.551503181,FALSE,0.1,TRUE,3,32,
B7,SCr-583-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.90022278,37.16917419,1.033861518,15.51905346,26.98087692,16.20946503,FALSE,0.1,TRUE,3,34,
B8,SCr-583-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.4381218,37.16917419,1.033861518,38.44269943,26.98087692,16.20946503,FALSE,0.1,TRUE,3,32,
B9,SCr-583-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.16917419,1.033861518,,,,FALSE,0.1,TRUE,3,39,
B10,SCr-595-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B11,SCr-595-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B12,SCr-595-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.32116318,27.37193298,0.075164199,10000,,,FALSE,0.1,TRUE,3,23,
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.45828247,27.37193298,0.075164199,10000,,,FALSE,0.1,TRUE,3,23,
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.33635902,27.37193298,0.075164199,10000,,,FALSE,0.1,TRUE,3,23,
C4,SCr-584,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.37397003,38.77233505,0.657575607,6.219831467,9.557697296,3.98143959,FALSE,0.1,TRUE,3,34,
C5,SCr-584,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.87268448,38.77233505,0.657575607,8.488775253,9.557697296,3.98143959,FALSE,0.1,TRUE,3,34,
C6,SCr-584,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.07035446,38.77233505,0.657575607,13.96448517,9.557697296,3.98143959,FALSE,0.1,TRUE,3,33,
C7,SCr-584-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.83541107,37.93575668,0.308321148,16.15578651,15.36119747,2.801713228,FALSE,0.1,TRUE,3,34,
C8,SCr-584-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.69011307,37.93575668,0.308321148,17.67979431,15.36119747,2.801713228,FALSE,0.1,TRUE,3,34,
C9,SCr-584-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.28175354,37.93575668,0.308321148,12.24801064,15.36119747,2.801713228,FALSE,0.1,TRUE,3,34,
C10,SCr-596,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
C11,SCr-596,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
C12,SCr-596,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.15027618,31.38017464,0.272499979,1000,,,FALSE,0.1,TRUE,3,27,
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.68117905,31.38017464,0.272499979,1000,,,FALSE,0.1,TRUE,3,27,
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.30907249,31.38017464,0.272499979,1000,,,FALSE,0.1,TRUE,3,27,
D4,SCr-587,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.36723328,33.51793289,0.147446796,258.3654175,235.9622955,21.62982368,FALSE,0.1,TRUE,3,29,
D5,SCr-587,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.52467346,33.51793289,0.147446796,234.3223419,235.9622955,21.62982368,FALSE,0.1,TRUE,3,29,
D6,SCr-587,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.66189575,33.51793289,0.147446796,215.1991272,235.9622955,21.62982368,FALSE,0.1,TRUE,3,30,
D7,SCr-587-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.86309814,36.03793716,0.392970651,54.92224884,50.21500778,11.34726143,FALSE,0.1,TRUE,3,32,
D8,SCr-587-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.76272583,36.03793716,0.392970651,58.45109177,50.21500778,11.34726143,FALSE,0.1,TRUE,3,32,
D9,SCr-587-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.4879837,36.03793716,0.392970651,37.27169037,50.21500778,11.34726143,FALSE,0.1,TRUE,3,33,
D10,SCr-596-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
D11,SCr-596-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
D12,SCr-596-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.4686203,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.06620026,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,34.88486862,35.13989639,0.298772246,100,,,FALSE,0.1,TRUE,3,31,
E4,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.95602417,,,,,FALSE,0.1,TRUE,3,39,
E5,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.95602417,37.95602417,,14.99098301,14.99098301,,FALSE,0.1,TRUE,3,34,
E6,SCr-588,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.95602417,,,,,FALSE,0.1,TRUE,3,39,
E7,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E8,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E9,SCr-588-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
E10,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.6578064,32.88895798,0.252086043,401.2198792,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
E11,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.85131454,32.88895798,0.252086043,355.8308411,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
E12,SCr-599,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.15774536,32.88895798,0.252086043,294.2245178,350.4250793,53.70212936,FALSE,0.1,TRUE,3,29,
F1,,O.kisutch,STANDARD,FAM,NFQ-MGB,38.08179474,38.3569603,0.243061349,10,,,FALSE,0.1,TRUE,3,34,
