Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201118_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-18 13:05:14 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.58967209,19.32943344,0.240109831,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.28213692,19.32943344,0.240109831,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.11649132,19.32943344,0.240109831,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-453,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.30526924,29.44413948,0.120387249,1583.866211,1451.649414,114.6042023,FALSE,0.1,TRUE,3,25,,N,N,N,N
A5,SCr-453,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.50816727,29.44413948,0.120387249,1390.353638,1451.649414,114.6042023,FALSE,0.1,TRUE,3,25,,N,N,N,N
A6,SCr-453,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.51898384,29.44413948,0.120387249,1380.728394,1451.649414,114.6042023,FALSE,0.1,TRUE,3,25,,N,N,N,N
A7,SCr-453-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.44371605,31.73369789,0.317865461,401.100647,337.5122375,66.94277191,FALSE,0.1,TRUE,3,28,,N,N,N,N
A8,SCr-453-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.68382645,31.73369789,0.317865461,343.7800598,337.5122375,66.94277191,FALSE,0.1,TRUE,3,27,,N,N,N,N
A9,SCr-453-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.07355118,31.73369789,0.317865461,267.6559753,337.5122375,66.94277191,FALSE,0.1,TRUE,3,28,,N,N,N,N
A10,SCr-005,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A11,SCr-005,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
A12,SCr-005,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.68334198,22.84653282,0.143488273,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.90332413,22.84653282,0.143488273,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.95293427,22.84653282,0.143488273,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-454,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.36913681,29.70529747,0.388624668,1520.212402,1249.888794,296.9288025,FALSE,0.1,TRUE,3,25,,N,N,N,N
B5,SCr-454,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.13081932,29.70529747,0.388624668,932.0782471,1249.888794,296.9288025,FALSE,0.1,TRUE,3,27,,N,N,N,N
B6,SCr-454,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.61593628,29.70529747,0.388624668,1297.375977,1249.888794,296.9288025,FALSE,0.1,TRUE,3,26,,N,N,N,N
B7,SCr-454-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.74644279,31.71690178,0.17935662,330.229187,338.0583191,39.40908051,FALSE,0.1,TRUE,3,28,,N,N,N,N
B8,SCr-454-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.87965393,31.71690178,0.17935662,303.1514282,338.0583191,39.40908051,FALSE,0.1,TRUE,3,28,,N,N,N,N
B9,SCr-454-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.52460861,31.71690178,0.17935662,380.7943115,338.0583191,39.40908051,FALSE,0.1,TRUE,3,27,,N,N,N,N
B10,SCr-005-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B11,SCr-005-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B12,SCr-005-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.7569809,26.02335358,0.301375985,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.35047722,26.02335358,0.301375985,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
