Block Type,96well,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\kevan\20210302_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-02 13:52:02 PM PDT,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.49210739,20.31340218,0.163199842,1000000,,,FALSE,0.1,TRUE,3,16,
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.27584267,20.31340218,0.163199842,1000000,,,FALSE,0.1,TRUE,3,16,
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.17225647,20.31340218,0.163199842,1000000,,,FALSE,0.1,TRUE,3,15,
A4,SCr-325,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.91460419,36.53635406,0.711890697,19.42156792,26.91087914,13.67730618,FALSE,0.1,TRUE,3,33,
A5,SCr-325,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.97927856,36.53635406,0.711890697,18.61388206,26.91087914,13.67730618,FALSE,0.1,TRUE,3,33,
A6,SCr-325,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.71518326,36.53635406,0.711890697,42.69718552,26.91087914,13.67730618,FALSE,0.1,TRUE,3,32,
A7,SCr-325-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.4799881,36.01782608,0.587309837,49.82929993,36.70798874,13.32326126,FALSE,0.1,TRUE,3,32,
A8,SCr-325-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.92900467,36.01782608,0.587309837,37.10310364,36.70798874,13.32326126,FALSE,0.1,TRUE,3,32,
A9,SCr-325-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.64448929,36.01782608,0.587309837,23.19156647,36.70798874,13.32326126,FALSE,0.1,TRUE,3,33,
A10,SCr-187,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.92372513,34.89393616,0.076869279,71.80416107,73.28561401,3.744501114,FALSE,0.1,TRUE,3,31,
A11,SCr-187,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.80662918,34.89393616,0.076869279,77.54418945,73.28561401,3.744501114,FALSE,0.1,TRUE,3,31,
A12,SCr-187,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.95145035,34.89393616,0.076869279,70.50849152,73.28561401,3.744501114,FALSE,0.1,TRUE,3,31,
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.86030769,23.79821205,0.054151349,100000,,,FALSE,0.1,TRUE,3,19,
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.76079178,23.79821205,0.054151349,100000,,,FALSE,0.1,TRUE,3,20,
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.7735424,23.79821205,0.054151349,100000,,,FALSE,0.1,TRUE,3,19,
B4,SCr-326,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B5,SCr-326,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,
B6,SCr-326,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,33,
B7,SCr-326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.68896866,37.05882645,0.327395797,22.52387238,17.94884491,4.022843361,FALSE,0.1,TRUE,3,33,
B8,SCr-326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.31151581,37.05882645,0.327395797,14.9648304,17.94884491,4.022843361,FALSE,0.1,TRUE,3,33,
B9,SCr-326-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.17599869,37.05882645,0.327395797,16.35783386,17.94884491,4.022843361,FALSE,0.1,TRUE,3,33,
