Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\kevan\20210302_Scott_Creek_Okitsuch_P2.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-01 13:10:30 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.53692245,20.38380623,0.135449111,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.27962685,20.38380623,0.135449111,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.33486748,20.38380623,0.135449111,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-160,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,37,,N,N,Y
A5,SCr-160,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
A6,SCr-160,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,34,,N,N,N
A7,SCr-160-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.86553192,35.84606552,0.140681401,37.93371582,38.53255844,3.592753887,FALSE,0.1,TRUE,3,32,,N,N,N
A8,SCr-160-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.6966629,35.84606552,0.140681401,42.38710403,38.53255844,3.592753887,FALSE,0.1,TRUE,3,32,,N,N,N
A9,SCr-160-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.97599792,35.84606552,0.140681401,35.27685165,38.53255844,3.592753887,FALSE,0.1,TRUE,3,32,,N,N,N
A10,SCr-209,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.28268433,34.99033737,0.922106862,107.3725281,75.1339798,37.50228882,FALSE,0.1,TRUE,3,30,,Y,N,N
A11,SCr-209,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.65517807,34.99033737,0.922106862,84.05324554,75.1339798,37.50228882,FALSE,0.1,TRUE,3,31,,Y,N,N
A12,SCr-209,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.03314972,34.99033737,0.922106862,33.97615814,75.1339798,37.50228882,FALSE,0.1,TRUE,3,32,,Y,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.87234688,23.82645226,0.063959263,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.75339508,23.82645226,0.063959263,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.85361671,23.82645226,0.063959263,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-161,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.46997833,37.53726959,0.546771646,13.21270275,13.17922688,4.513402462,FALSE,0.1,TRUE,3,32,,Y,N,N
B5,SCr-161,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.11457062,37.53726959,0.546771646,8.649179459,13.17922688,4.513402462,FALSE,0.1,TRUE,3,33,,Y,N,N
B6,SCr-161,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.02725601,37.53726959,0.546771646,17.67579842,13.17922688,4.513402462,FALSE,0.1,TRUE,3,32,,Y,N,N
B7,SCr-161-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.9895401,36.43802643,0.526502252,18.11949539,27.06843567,8.992666245,FALSE,0.1,TRUE,3,32,,Y,N,N
B8,SCr-161-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.38381195,36.43802643,0.526502252,26.98161697,27.06843567,8.992666245,FALSE,0.1,TRUE,3,33,,Y,N,N
B9,SCr-161-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.94073105,36.43802643,0.526502252,36.10419846,27.06843567,8.992666245,FALSE,0.1,TRUE,3,31,,Y,N,N
B10,SCr-209-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.86512375,36.6024971,0.582199991,19.66365242,24.60315704,10.11109924,FALSE,0.1,TRUE,3,33,,Y,N,N
B11,SCr-209-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.93524933,36.6024971,0.582199991,36.2345314,24.60315704,10.11109924,FALSE,0.1,TRUE,3,31,,Y,N,N
B12,SCr-209-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.00712204,36.6024971,0.582199991,17.91128922,24.60315704,10.11109924,FALSE,0.1,TRUE,3,33,,Y,N,N
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.39843369,27.32188416,0.08904279,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.34305,27.32188416,0.08904279,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.22416306,27.32188416,0.08904279,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C4,SCr-203,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.1337204,36.03783035,0.126380503,31.80266762,33.95075989,2.873855114,FALSE,0.1,TRUE,3,32,,N,N,N
C5,SCr-203,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.89461899,36.03783035,0.126380503,37.21531296,33.95075989,2.873855114,FALSE,0.1,TRUE,3,32,,N,N,N
C6,SCr-203,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.08515549,36.03783035,0.126380503,32.83430099,33.95075989,2.873855114,FALSE,0.1,TRUE,3,32,,N,N,N
C7,SCr-203-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.36706161,38.41500473,1.00267446,3.796790123,8.197747231,5.330569744,FALSE,0.1,TRUE,3,35,,Y,N,N
C8,SCr-203-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.3684082,38.41500473,1.00267446,14.12497425,8.197747231,5.330569744,FALSE,0.1,TRUE,3,33,,Y,N,N
C9,SCr-203-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.50953293,38.41500473,1.00267446,6.671476364,8.197747231,5.330569744,FALSE,0.1,TRUE,3,35,,Y,N,N
C10,SCr-210,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.56096649,34.08562088,0.639523447,172.5549927,129.116806,48.66726685,FALSE,0.1,TRUE,3,29,,Y,N,N
C11,SCr-210,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,33.89789963,34.08562088,0.639523447,138.2740326,129.116806,48.66726685,FALSE,0.1,TRUE,3,29,,Y,N,N
C12,SCr-210,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.79799652,34.08562088,0.639523447,76.52141571,129.116806,48.66726685,FALSE,0.1,TRUE,3,31,,Y,N,N
D1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.78435135,30.77501678,0.045799274,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.81542969,30.77501678,0.045799274,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.72526932,30.77501678,0.045799274,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D4,SCr-204,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.2522316,38.86891174,0.490682065,4.094472885,5.461084843,1.858243585,FALSE,0.1,TRUE,3,33,,N,N,N
D5,SCr-204,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.03859711,38.86891174,0.490682065,4.711789608,5.461084843,1.858243585,FALSE,0.1,TRUE,3,34,,N,N,N
D6,SCr-204,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.31591034,38.86891174,0.490682065,7.576992989,5.461084843,1.858243585,FALSE,0.1,TRUE,3,33,,N,N,N
D7,SCr-204-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.13684845,36.84732056,0.390476018,16.44723129,20.35325432,5.497292042,FALSE,0.1,TRUE,3,32,,N,N,N
D8,SCr-204-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.40322113,36.84732056,0.390476018,26.63956261,20.35325432,5.497292042,FALSE,0.1,TRUE,3,33,,N,N,N
D9,SCr-204-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.00189209,36.84732056,0.390476018,17.97297096,20.35325432,5.497292042,FALSE,0.1,TRUE,3,34,,N,N,N
D10,SCr-210-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.0635376,36.9715004,1.027353883,8.944245338,21.09559822,12.64218044,FALSE,0.1,TRUE,3,34,,Y,N,N
D11,SCr-210-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.02417374,36.9715004,1.027353883,34.17721558,21.09559822,12.64218044,FALSE,0.1,TRUE,3,32,,Y,N,N
D12,SCr-210-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.82679749,36.9715004,1.027353883,20.16533661,21.09559822,12.64218044,FALSE,0.1,TRUE,3,33,,Y,N,N
E1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.94569397,34.81427002,0.114297509,100,,,FALSE,0.1,TRUE,3,31,,N,N,N
E2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.73808289,34.81427002,0.114297509,100,,,FALSE,0.1,TRUE,3,31,,N,N,N
E3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,34.7590332,34.81427002,0.114297509,100,,,FALSE,0.1,TRUE,3,30,,N,N,N
E4,SCr-205,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.58042526,36.88502502,0.35550195,23.71042061,19.75357056,4.401297092,FALSE,0.1,TRUE,3,33,,N,N,N
