Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\kevan\20210302_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2021-03-02 11:32:52 AM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.42580414,19.0369339,0.338475376,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.87642479,19.0369339,0.338475376,1000000,,,FALSE,0.1,TRUE,3,14,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.80857468,19.0369339,0.338475376,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A4,SCr-325,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.10969925,29.24457359,0.126934618,1642.542114,1514.320679,119.634407,FALSE,0.1,TRUE,3,26,,N,N,N
A5,SCr-325,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.26231194,29.24457359,0.126934618,1494.727661,1514.320679,119.634407,FALSE,0.1,TRUE,3,25,,N,N,N
A6,SCr-325,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.36170197,29.24457359,0.126934618,1405.692139,1514.320679,119.634407,FALSE,0.1,TRUE,3,25,,N,N,N
A7,SCr-325-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.00737572,31.10123253,0.146882027,508.4691162,481.1151123,42.48674011,FALSE,0.1,TRUE,3,27,,N,N,N
A8,SCr-325-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.27050209,31.10123253,0.146882027,432.1685486,481.1151123,42.48674011,FALSE,0.1,TRUE,3,28,,N,N,N
A9,SCr-325-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.02581787,31.10123253,0.146882027,502.7076721,481.1151123,42.48674011,FALSE,0.1,TRUE,3,27,,N,N,N
A10,SCr-187,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.85281372,30.00908852,0.220331952,1037.761719,947.9284058,124.0661697,FALSE,0.1,TRUE,3,25,,N,N,N
A11,SCr-187,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.91335869,30.00908852,0.220331952,999.6548462,947.9284058,124.0661697,FALSE,0.1,TRUE,3,26,,N,N,N
A12,SCr-187,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.26109314,30.00908852,0.220331952,806.3685913,947.9284058,124.0661697,FALSE,0.1,TRUE,3,26,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.59036827,22.36019135,0.256503969,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.08367729,22.36019135,0.256503969,100000,,,FALSE,0.1,TRUE,3,17,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.40652847,22.36019135,0.256503969,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-326,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.81447029,30.67764282,0.119935773,572.8379517,624.5029297,45.3588028,FALSE,0.1,TRUE,3,26,,N,N,N
B5,SCr-326,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.62776566,30.67764282,0.119935773,642.8875732,624.5029297,45.3588028,FALSE,0.1,TRUE,3,25,,N,N,N
B6,SCr-326,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.59069633,30.67764282,0.119935773,657.7832031,624.5029297,45.3588028,FALSE,0.1,TRUE,3,26,,N,N,N
B7,SCr-326-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.26617622,31.35487366,0.089893393,433.3252869,410.6365967,22.7757473,FALSE,0.1,TRUE,3,28,,N,N,N
B8,SCr-326-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.35252953,31.35487366,0.089893393,410.8096619,410.6365967,22.7757473,FALSE,0.1,TRUE,3,28,,N,N,N
B9,SCr-326-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.44591713,31.35487366,0.089893393,387.7747803,410.6365967,22.7757473,FALSE,0.1,TRUE,3,28,,N,N,N
B10,SCr-187-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.4914856,32.32925034,0.361108989,203.2335968,228.5569,53.5891037,FALSE,0.1,TRUE,3,29,,N,N,N
B11,SCr-187-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.91547966,32.32925034,0.361108989,290.1147766,228.5569,53.5891037,FALSE,0.1,TRUE,3,28,,N,N,N
B12,SCr-187-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.58079147,32.32925034,0.361108989,192.3223572,228.5569,53.5891037,FALSE,0.1,TRUE,3,28,,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.0594101,25.98804283,0.062384099,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.96083832,25.98804283,0.062384099,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.94388199,25.98804283,0.062384099,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-328,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.41184616,29.48581886,0.116772927,1362.805054,1304.145874,92.0928421,FALSE,0.1,TRUE,3,26,,N,N,N
C5,SCr-328,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.62043571,29.48581886,0.116772927,1198.002075,1304.145874,92.0928421,FALSE,0.1,TRUE,3,26,,N,N,N
C6,SCr-328,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.4251709,29.48581886,0.116772927,1351.630371,1304.145874,92.0928421,FALSE,0.1,TRUE,3,25,,N,N,N
C7,SCr-328-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.30598831,31.48118782,0.154563695,422.7953796,380.5871277,37.13491058,FALSE,0.1,TRUE,3,27,,N,N,N
C8,SCr-328-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.59826088,31.48118782,0.154563695,352.9370728,380.5871277,37.13491058,FALSE,0.1,TRUE,3,27,,N,N,N
