id,target,dilution,replicate,conc,BLOD,BLOQ,Ct,well,source_file
SCr-239,coho,1:1,1.0,54.15843379001228,0,0,34.59194946,A4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-239,coho,1:1,2.0,66.81492842625062,0,0,34.2762413,A5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-239,coho,1:1,3.0,47.58836892368814,0,0,34.78636169,A6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-239,coho,1:5,1.0,159.9894480005027,0,0,35.38304138,A7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-239,coho,1:5,2.0,27.996323623605495,1,1,Undetermined,A8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-239,coho,1:5,3.0,87.25823207481929,0,0,36.294384,A9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:1,1.0,383.5039484641473,0,0,31.64937401,A10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:1,2.0,309.97721828238707,0,0,31.96934891,A11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:1,3.0,250.65762511498406,0,0,32.28866196,A12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:1,1.0,125.04025236197921,0,0,33.3341217,B4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:1,2.0,127.51978245303266,0,0,33.30460358,B5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:1,3.0,76.89923184782025,0,0,34.06492615,B6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:5,1.0,241.7205088644311,0,0,34.76267624,B7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:5,2.0,167.12619675097486,0,0,35.31743622,B8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-240,coho,1:5,3.0,117.61044284943142,0,0,35.8456459,B9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:5,1.0,627.34193005083,0,0,33.32898331,B10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:5,2.0,396.36139959357854,0,0,34.01923752,B11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-271,coho,1:5,3.0,447.8042540614248,0,0,33.83579254,B12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:1,1.0,5.599264724721099,1,1,Undetermined,C4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:1,2.0,5.599264724721099,1,1,Undetermined,C5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:1,3.0,5.599264724721099,1,1,Undetermined,C6,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:5,1.0,27.996323623605495,1,1,Undetermined,C7,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:5,2.0,27.996323623605495,1,1,Undetermined,C8,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-265,coho,1:5,3.0,27.996323623605495,1,1,Undetermined,C9,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-272,coho,1:1,1.0,109.37899299148629,0,0,33.53528595,C10,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-272,coho,1:1,2.0,47.064640301756505,0,0,34.80299759,C11,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-272,coho,1:1,3.0,128.7057268350643,0,0,33.29068756,C12,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-266,coho,1:1,1.0,5.599264724721099,1,1,Undetermined,D4,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
SCr-266,coho,1:1,2.0,5.599264724721099,1,1,Undetermined,D5,20200930_Scott_Creek_Okisutch_Chloe_P1_results.csv
