id,target,dilution,conc,conc_sd,detected,BLOD,BLOQ,n_replicates,n_amplified,n_BLOD,n_BLOQ,Ct_Mean,Ct_sd,delta_Ct,inhibition,source_file
EB3520A,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Okisutch_Kevan_P1.xls
EB3520A,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Okisutch_Kevan_P1.xls
EB3520A,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Omykiss_Kevan_P1.xls
EB3520A,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Omykiss_Kevan_P1.xls
EB3520B,coho,1:1,0.0,0.0,1,1,1,3,1,3,3,39.37060546875,,,,20210222_Scott_Creek_ESP_Spatial_Okisutch_Kevan_P1.xls
EB3520B,coho,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Okisutch_Kevan_P1.xls
EB3520B,trout,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Omykiss_Kevan_P1.xls
EB3520B,trout,1:5,0.0,0.0,0,1,1,3,0,3,3,,,,,20210222_Scott_Creek_ESP_Spatial_Omykiss_Kevan_P1.xls
SCr-1,coho,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-1,coho,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-1,trout,1:1,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-1,trout,1:5,0.0,0.0,0,1,1,6,0,6,6,,,,,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-10,coho,1:1,0.0,0.0,0,1,1,3,0,3,3,,,,1.0,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-10,coho,1:5,0.0,0.0,1,1,1,3,1,3,3,38.57687377929688,,,1.0,20210208_Scott_Creek_Okisutch_Kevan_P2.xls
SCr-10,trout,1:1,0.0,0.0,1,1,1,3,3,3,3,35.81356811523437,0.36388248205184937,-1.623283386230483,1.0,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-10,trout,1:5,0.0,0.0,1,1,1,3,1,3,3,37.43685150146485,,-1.623283386230483,1.0,20210208_Scott_Creek_Omykiss_Kevan_P2.xls
SCr-100,coho,1:1,27.102088206760556,12.139152812659368,1,0,0,3,3,0,0,35.80771255493164,0.6239264607429504,-3.2423095703125,-1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
SCr-100,coho,1:5,0.0,0.0,1,1,1,3,3,3,3,39.05002212524414,1.4414896965026855,-3.2423095703125,-1.0,20210202_Scott_Creek_Okisutch_Kevan_P1.xls
