id,sample_type
EB3520A,Extraction Blank
EB3520B,Extraction Blank
SCr-1,Control
SCr-10,Deployed
SCr-100,Deployed
SCr-101,Deployed
SCr-102,Deployed
SCr-103,Deployed
SCr-104,Deployed
SCr-105,Deployed
SCr-106,Deployed
SCr-107,Deployed
SCr-108,Deployed
SCr-109,Deployed
SCr-11,Deployed
SCr-110,Deployed
SCr-111,Deployed
SCr-112,Deployed
SCr-113,Deployed
SCr-114,Deployed
SCr-115,Deployed
SCr-116,Deployed
SCr-117,Deployed
SCr-118,Deployed
SCr-119,Deployed
SCr-12,Deployed
SCr-120,Deployed
SCr-121,Deployed
SCr-122,Deployed
SCr-123,Deployed
SCr-124,Deployed
SCr-125,Deployed
SCr-126,Deployed
SCr-127,Deployed
SCr-128,Deployed
SCr-129,Deployed
SCr-13,Deployed
SCr-130,Deployed
SCr-131,Deployed
SCr-133,Control
SCr-134,Control
SCr-135,Control
SCr-136,Control
SCr-137,Control
SCr-138,Control
SCr-139,Deployed
SCr-14,Deployed
SCr-140,Deployed
SCr-141,Deployed
SCr-142,Deployed
SCr-143,Deployed
SCr-144,Deployed
SCr-145,Deployed
SCr-146,Deployed
SCr-147,Deployed
SCr-148,Deployed
SCr-149,Deployed
SCr-15,Deployed
SCr-150,Deployed
SCr-151,Deployed
SCr-152,Deployed
SCr-153,Deployed
SCr-154,Deployed
SCr-155,Deployed
SCr-156,Deployed
SCr-157,Deployed
SCr-158,Deployed
SCr-159,Deployed
SCr-16,Deployed
SCr-160,Deployed
SCr-160506A,?
SCr-161,Deployed
SCr-162,Deployed
SCr-163,Deployed
SCr-164,Deployed
SCr-165,Deployed
SCr-166,Deployed
SCr-167,Deployed
SCr-168,Deployed
SCr-169,Deployed
SCr-17,Deployed
SCr-170,Deployed
SCr-171,Deployed
SCr-172,Deployed
SCr-173,Deployed
SCr-174,Deployed
SCr-175,Deployed
SCr-176,Deployed
SCr-177,Deployed
SCr-178,Deployed
SCr-179,Deployed
SCr-18,Deployed
SCr-180,Deployed
SCr-181,Deployed
SCr-1814,Deployed
SCr-182,Deployed
SCr-183,Deployed
SCr-184,Deployed
SCr-185,Deployed
SCr-186,Deployed
SCr-187,Deployed
SCr-188,Deployed
SCr-189,Deployed
SCr-19,Deployed
SCr-190,Deployed
SCr-190506,Match SCr-136
SCr-190506A,Match SCr-136
SCr-190506B,Match SCr-136
SCr-191,Deployed
SCr-192,Deployed
SCr-193,Deployed
SCr-194,Deployed
SCr-195,Deployed
SCr-196,Deployed
SCr-197,Deployed
SCr-198,Deployed
SCr-199,Deployed
SCr-2,Control
SCr-20,Deployed
SCr-200,Deployed
SCr-201,Deployed
SCr-202,Deployed
SCr-203,Deployed
SCr-204,Deployed
SCr-205,Deployed
SCr-206,Deployed
SCr-207,Deployed
SCr-208,Deployed
SCr-209,Deployed
SCr-21,Deployed
SCr-210,Deployed
SCr-211,Deployed
SCr-212,Deployed
SCr-213,Deployed
SCr-214,Deployed
SCr-215,Deployed
SCr-216,Deployed
SCr-217,Deployed
SCr-218,Deployed
SCr-219,Deployed
SCr-22,Deployed
SCr-220,Deployed
SCr-221,Deployed
SCr-222,Deployed
SCr-223,Deployed
SCr-224,Deployed
SCr-225,Deployed
SCr-226,Deployed
SCr-227,Deployed
SCr-228,Deployed
SCr-229,Deployed
SCr-23,Deployed
SCr-230,Deployed
SCr-231,Deployed
SCr-232,Deployed
SCr-233,Deployed
SCr-234,Deployed
SCr-235,Deployed
SCr-236,Deployed
SCr-237,Deployed
SCr-238,Deployed
SCr-239,Deployed
SCr-24,Deployed
SCr-240,Deployed
SCr-241,Deployed
SCr-242,Deployed
SCr-243,Deployed
SCr-244,Deployed
SCr-245,Deployed
SCr-246,Deployed
SCr-247,Deployed
SCr-248,Deployed
SCr-249,Deployed
SCr-25,Deployed
SCr-250,Deployed
SCr-251,Deployed
SCr-252,Deployed
SCr-253,Deployed
SCr-254,Deployed
SCr-255,Deployed
SCr-256,Deployed
SCr-257,Deployed
SCr-258,Deployed
SCr-259,Deployed
SCr-26,Deployed
SCr-260,Deployed
SCr-261,Deployed
SCr-262,Control
SCr-263,Control
SCr-264,Control
SCr-265,Control
SCr-266,Control 
SCr-267,Control 
SCr-268,Deployed
SCr-269,Deployed
SCr-27,Deployed
SCr-270,Deployed
SCr-271,Deployed
SCr-272,Deployed
SCr-273,Deployed
SCr-274,Deployed
SCr-275,Deployed
SCr-276,Deployed
SCr-277,Deployed
SCr-278,Deployed
SCr-279,Deployed
SCr-28,Deployed
SCr-280,Deployed
SCr-281,Deployed
SCr-282,Deployed
SCr-283,Deployed
SCr-28326,?
SCr-284,Deployed
SCr-285,Deployed
SCr-286,Deployed
SCr-287,Deployed
SCr-288,Deployed
SCr-289,Deployed
SCr-29,Deployed
SCr-290,Deployed
SCr-291,Deployed
SCr-292,Deployed
SCr-293,Deployed
SCr-294,Deployed
SCr-295,Deployed
SCr-296,Deployed
SCr-297,Deployed
SCr-298,Deployed
SCr-299,Deployed
SCr-3,Control
SCr-30,Deployed
SCr-300,Deployed
SCr-301,Deployed
SCr-302,Deployed
SCr-303,Deployed
SCr-304,Deployed
SCr-305,Deployed
SCr-306,Deployed
SCr-307,Deployed
