Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201005_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-05 11:34:47 AM PDT,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,OUTLIERRG
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.58374596,18.35920715,0.212721795,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.33317757,18.35920715,0.212721795,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.16069794,18.35920715,0.212721795,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A4,SCr-287,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.73487663,29.59640503,0.120534256,428.5516052,471.811676,37.68494797,FALSE,0.1,TRUE,3,26,,N,N
A5,SCr-287,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.53932953,29.59640503,0.120534256,489.3699646,471.811676,37.68494797,FALSE,0.1,TRUE,3,26,,N,N
A6,SCr-287,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.51501083,29.59640503,0.120534256,497.5134888,471.811676,37.68494797,FALSE,0.1,TRUE,3,26,,N,N
A7,SCr-287-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.1442318,31.19944191,0.115492091,164.6718903,158.9364166,12.17534733,FALSE,0.1,TRUE,3,27,,N,N
A8,SCr-287-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.12191582,31.19944191,0.115492091,167.1847839,158.9364166,12.17534733,FALSE,0.1,TRUE,3,28,,N,N
A9,SCr-287-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.33217621,31.19944191,0.115492091,144.9526062,158.9364166,12.17534733,FALSE,0.1,TRUE,3,28,,N,N
A10,SCr-219,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.48560143,30.49725151,0.10713686,257.4777222,255.8988495,18.48459435,FALSE,0.1,TRUE,3,28,,N,N
