Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\Chloe\20201102_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-02 11:53:47 AM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.50238419,19.29385567,0.208130091,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.29305267,19.29385567,0.208130091,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.08612633,19.29385567,0.208130091,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-571,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A5,SCr-571,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
A6,SCr-571,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
A7,SCr-571-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.72756195,1.287824273,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A8,SCr-571-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.63819122,37.72756195,1.287824273,3.668601274,7.767825603,5.797178745,FALSE,0.1,TRUE,3,35,,Y,N,N
A9,SCr-571-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.81693268,37.72756195,1.287824273,11.86705017,7.767825603,5.797178745,FALSE,0.1,TRUE,3,33,,Y,N,N
A10,SCr-813,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.127985,31.17917061,0.122075118,464.4127502,450.2548828,34.67408752,FALSE,0.1,TRUE,3,27,,N,N,N
A11,SCr-813,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.0910244,31.17917061,0.122075118,475.6098938,450.2548828,34.67408752,FALSE,0.1,TRUE,3,27,,N,N,N
A12,SCr-813,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.31850815,31.17917061,0.122075118,410.7420654,450.2548828,34.67408752,FALSE,0.1,TRUE,3,28,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.64554405,22.65975952,0.014702054,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.65882683,22.65975952,0.014702054,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.67490387,22.65975952,0.014702054,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-579,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B5,SCr-579,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
B6,SCr-579,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,38,,N,N,Y
B7,SCr-579-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.18318558,37.31125641,1.233096719,4.918974876,10.0281744,7.225499153,FALSE,0.1,TRUE,3,34,,Y,N,N
B8,SCr-579-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.43932343,37.31125641,1.233096719,15.13737392,10.0281744,7.225499153,FALSE,0.1,TRUE,3,32,,Y,N,N
B9,SCr-579-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.31125641,1.233096719,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B10,SCr-813-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.50030136,32.76311111,0.231129259,191.7514038,163.100235,25.11084175,FALSE,0.1,TRUE,3,28,,N,N,N
B11,SCr-813-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.93475723,32.76311111,0.231129259,144.916275,163.100235,25.11084175,FALSE,0.1,TRUE,3,29,,N,N,N
B12,SCr-813-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.85427094,32.76311111,0.231129259,152.6330109,163.100235,25.11084175,FALSE,0.1,TRUE,3,29,,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.40436935,26.29464149,0.130750835,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.32958794,26.29464149,0.130750835,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.1499691,26.29464149,0.130750835,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-575,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.67153931,37.46744156,0.202486604,6.840764046,7.846914768,1.020402074,FALSE,0.1,TRUE,3,33,,N,N,N
C5,SCr-575,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.46418762,37.46744156,0.202486604,7.818987846,7.846914768,1.020402074,FALSE,0.1,TRUE,3,33,,N,N,N
C6,SCr-575,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.26660538,37.46744156,0.202486604,8.880994797,7.846914768,1.020402074,FALSE,0.1,TRUE,3,33,,N,N,N
C7,SCr-575-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.01753998,36.07527542,0.170929939,19.86664009,19.21716881,2.061391115,FALSE,0.1,TRUE,3,32,,N,N,N
C8,SCr-575-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.94068527,36.07527542,0.170929939,20.87560463,19.21716881,2.061391115,FALSE,0.1,TRUE,3,32,,N,N,N
C9,SCr-575-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.26759338,36.07527542,0.170929939,16.9092598,19.21716881,2.061391115,FALSE,0.1,TRUE,3,32,,N,N,N
C10,SCr-560,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.68537903,35.34422684,1.17462182,12.91724396,36.00192642,20.69498444,FALSE,0.1,TRUE,3,33,,Y,N,N
C11,SCr-560,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.49838638,35.34422684,1.17462182,52.89267731,36.00192642,20.69498444,FALSE,0.1,TRUE,3,31,,Y,N,N
C12,SCr-560,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.84891129,35.34422684,1.17462182,42.19585419,36.00192642,20.69498444,FALSE,0.1,TRUE,3,31,,Y,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.46882439,30.12541962,0.313997775,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,29.85297394,30.12541962,0.313997775,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N
