Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201103_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-03 11:20:43 AM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.19309235,19.00149727,0.165965453,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.90928268,19.00149727,0.165965453,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.90211487,19.00149727,0.165965453,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-561,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.46354485,31.58752441,0.180313647,188.2034912,173.0677643,21.6344471,FALSE,0.1,TRUE,3,27,,N,N,N
A5,SCr-561,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.79437447,31.58752441,0.180313647,148.2885284,173.0677643,21.6344471,FALSE,0.1,TRUE,3,28,,N,N,N
A6,SCr-561,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.50465012,31.58752441,0.180313647,182.7113037,173.0677643,21.6344471,FALSE,0.1,TRUE,3,28,,N,N,N
A7,SCr-561-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6023407,33.42448044,0.511452794,40.30654526,48.03300476,18.75503731,FALSE,0.1,TRUE,3,29,,Y,N,N
A8,SCr-561-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.82325745,33.42448044,0.511452794,34.37545013,48.03300476,18.75503731,FALSE,0.1,TRUE,3,30,,Y,N,N
A9,SCr-561-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.84784317,33.42448044,0.511452794,69.41701508,48.03300476,18.75503731,FALSE,0.1,TRUE,3,29,,Y,N,N
A10,SCr-570,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.47305298,33.49440384,0.116629496,44.24162674,43.66804886,3.625258446,FALSE,0.1,TRUE,3,30,,N,N,N
A11,SCr-570,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.38992691,33.49440384,0.116629496,46.972332,43.66804886,3.625258446,FALSE,0.1,TRUE,3,29,,N,N,N
A12,SCr-570,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.62023544,33.49440384,0.116629496,39.79019928,43.66804886,3.625258446,FALSE,0.1,TRUE,3,30,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.70512772,22.70565796,0.062238481,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.76815987,22.70565796,0.062238481,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.64368629,22.70565796,0.062238481,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-853,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.62244034,33.07770157,0.519379556,81.65765381,61.49438095,21.34864044,FALSE,0.1,TRUE,3,28,,Y,N,N
B5,SCr-853,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.6434288,33.07770157,0.519379556,39.13079453,61.49438095,21.34864044,FALSE,0.1,TRUE,3,30,,Y,N,N
B6,SCr-853,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.96724701,33.07770157,0.519379556,63.69468689,61.49438095,21.34864044,FALSE,0.1,TRUE,3,29,,Y,N,N
B7,SCr-853-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.18821335,35.16109085,0.771512032,12.85698318,14.50974369,7.871674061,FALSE,0.1,TRUE,3,32,,Y,N,N
B8,SCr-853-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.37637711,35.16109085,0.771512032,23.07657242,14.50974369,7.871674061,FALSE,0.1,TRUE,3,30,,Y,N,N
B9,SCr-853-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.91868591,35.16109085,0.771512032,7.595675468,14.50974369,7.871674061,FALSE,0.1,TRUE,3,32,,Y,N,N
B10,SCr-570-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.35469055,35.38313293,0.295560956,11.40372086,11.3402071,2.365041018,FALSE,0.1,TRUE,3,32,,N,N,N
B11,SCr-570-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.6918869,35.38313293,0.295560956,8.944049835,11.3402071,2.365041018,FALSE,0.1,TRUE,3,32,,N,N,N
B12,SCr-570-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.10282135,35.38313293,0.295560956,13.67285252,11.3402071,2.365041018,FALSE,0.1,TRUE,3,31,,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.14232445,26.16189384,0.088315107,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.25835228,26.16189384,0.088315107,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.08500481,26.16189384,0.088315107,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-822,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.25687599,30.31131744,0.071084931,448.9596252,432.0646667,21.85127258,FALSE,0.1,TRUE,3,26,,N,N,N
C5,SCr-822,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.39173698,30.31131744,0.071084931,407.3876343,432.0646667,21.85127258,FALSE,0.1,TRUE,3,27,,N,N,N
C6,SCr-822,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.28533745,30.31131744,0.071084931,439.8467407,432.0646667,21.85127258,FALSE,0.1,TRUE,3,27,,N,N,N
