Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201020_Scott_Creek_Okitsuch_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-20 12:43:37 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.45141983,20.23652267,0.186296552,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.13747597,20.23652267,0.186296552,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,20.12067032,20.23652267,0.186296552,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-174,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,36,,N,N,N,N
A5,SCr-174,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A6,SCr-174,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A7,SCr-174-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.31892395,37.64221954,0.976591408,13.62735558,12.4368391,6.576572895,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-174-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.73946381,37.64221954,0.976591408,5.346325874,12.4368391,6.576572895,FALSE,0.1,TRUE,3,34,,Y,N,N,N
A9,SCr-174-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.86827087,37.64221954,0.976591408,18.33683205,12.4368391,6.576572895,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A10,SCr-182,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.73990631,36.90404129,0.664078712,19.95464325,19.0114994,7.516823292,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A11,SCr-182,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.33742142,36.90404129,0.664078712,26.01224327,19.0114994,7.516823292,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A12,SCr-182,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.63479614,36.90404129,0.664078712,11.06761265,19.0114994,7.516823292,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.8353405,23.80050468,0.032742154,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.77036285,23.80050468,0.032742154,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,23.7958107,23.80050468,0.032742154,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B4,SCr-175,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.51994705,38.14171982,1.063015819,11.93733597,9.093300819,4.817283154,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B5,SCr-175,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.36914825,38.14171982,1.063015819,3.531257868,9.093300819,4.817283154,FALSE,0.1,TRUE,3,35,,Y,N,Y,N
B6,SCr-175,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.53606033,38.14171982,1.063015819,11.81131077,9.093300819,4.817283154,FALSE,0.1,TRUE,3,33,,Y,N,N,N
B7,SCr-175-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.5546608,38.35623932,1.694821239,3.1250875,9.138999939,8.504957199,FALSE,0.1,TRUE,3,35,,Y,N,N,N
B8,SCr-175-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.15782166,38.35623932,1.694821239,15.15291309,9.138999939,8.504957199,FALSE,0.1,TRUE,3,32,,Y,N,N,N
B9,SCr-175-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.35623932,1.694821239,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B10,SCr-182-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.64543915,0.183037356,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
B11,SCr-182-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.77486801,37.64543915,0.183037356,10.09218884,11.03024483,1.326610804,FALSE,0.1,TRUE,3,33,,N,N,N,N
B12,SCr-182-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.5160141,37.64543915,0.183037356,11.96829987,11.03024483,1.326610804,FALSE,0.1,TRUE,3,33,,N,N,N,N
C1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.35222244,27.33685303,0.040421151,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.29100227,27.33685303,0.040421151,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,27.36733627,27.33685303,0.040421151,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C4,SCr-176,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,35.15758896,36.22441101,0.954162955,56.58193588,32.17015076,21.36871529,FALSE,0.1,TRUE,3,31,,Y,N,N,N
C5,SCr-176,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.51939392,36.22441101,0.954162955,23.07401657,32.17015076,21.36871529,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C6,SCr-176,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.99624634,36.22441101,0.954162955,16.85450363,32.17015076,21.36871529,FALSE,0.1,TRUE,3,33,,Y,N,N,N
C7,SCr-176-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,39.37878036,38.52928543,0.807032406,3.5089252,6.714335918,3.302557468,FALSE,0.1,TRUE,3,35,,Y,N,N,N
C8,SCr-176-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.77276993,38.52928543,0.807032406,10.10614491,6.714335918,3.302557468,FALSE,0.1,TRUE,3,34,,Y,N,N,N
C9,SCr-176-1:5,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,38.436306,38.52928543,0.807032406,6.527937889,6.714335918,3.302557468,FALSE,0.1,TRUE,3,35,,Y,N,N,N
C10,SCr-183,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.58071899,34.61275101,0.146465316,82.7362442,81.25783539,7.711530209,FALSE,0.1,TRUE,3,30,,N,N,N,N
C11,SCr-183,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.77258301,34.61275101,0.146465316,72.91412354,81.25783539,7.711530209,FALSE,0.1,TRUE,3,31,,N,N,N,N
C12,SCr-183,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,34.48495483,34.61275101,0.146465316,88.12312317,81.25783539,7.711530209,FALSE,0.1,TRUE,3,30,,N,N,N,N
D1,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.9284668,30.92695618,0.009185965,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
D2,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.9352932,30.92695618,0.009185965,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D3,,O.kitsuch,STANDARD,FAM,NFQ-MGB,30.91710854,30.92695618,0.009185965,1000,,,FALSE,0.1,TRUE,3,26,,N,N,N,N
D4,SCr-177,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,36.93668365,37.04427719,0.186687931,17.5288868,16.41008949,1.941628456,FALSE,0.1,TRUE,3,32,,N,N,N,N
D5,SCr-177,O.kitsuch,UNKNOWN,FAM,NFQ-MGB,37.25984573,37.04427719,0.186687931,14.16809177,16.41008949,1.941628456,FALSE,0.1,TRUE,3,33,,N,N,N,N
