Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201029_Scott_Creek_Omykiss_Chloe_P2.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-29 14:59:13 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.8744297,17.71953011,0.219341353,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.81562042,17.71953011,0.219341353,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.46854401,17.71953011,0.219341353,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-580,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.95650864,31.56608009,0.338237196,66.31691742,87.95032501,18.74467659,FALSE,0.1,TRUE,3,30,,N,N,N,N
A5,SCr-580,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.36194229,31.56608009,0.338237196,99.36663818,87.95032501,18.74467659,FALSE,0.1,TRUE,3,30,,N,N,N,N
A6,SCr-580,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.37979507,31.56608009,0.338237196,98.16743469,87.95032501,18.74467659,FALSE,0.1,TRUE,3,29,,N,N,N,N
A7,SCr-580-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.84870911,32.98553848,0.613257408,36.14900208,34.78881836,13.28014088,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A8,SCr-580-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.45225525,32.98553848,0.613257408,47.33652115,34.78881836,13.28014088,FALSE,0.1,TRUE,3,31,,Y,N,N,N
A9,SCr-580-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.65565491,32.98553848,0.613257408,20.88092995,34.78881836,13.28014088,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A10,SCr-595,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A11,SCr-595,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A12,SCr-595,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,20.82909012,21.11367416,0.25345999,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.19679451,21.11367416,0.25345999,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.31513596,21.11367416,0.25345999,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B4,SCr-583,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.86854172,33.47924423,0.340446174,18.06632233,23.9481411,5.166667461,FALSE,0.1,TRUE,3,32,,N,N,Y,N
B5,SCr-583,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.23729324,33.47924423,0.340446174,27.75369072,23.9481411,5.166667461,FALSE,0.1,TRUE,3,31,,N,N,N,N
B6,SCr-583,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.33188629,33.47924423,0.340446174,26.02441216,23.9481411,5.166667461,FALSE,0.1,TRUE,3,32,,N,N,N,N
B7,SCr-583-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,35.49404907,2.282732725,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B8,SCr-583-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.10818481,35.49404907,2.282732725,1.995174408,9.961155891,11.26559925,FALSE,0.1,TRUE,3,34,,Y,N,N,N
B9,SCr-583-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.87991333,35.49404907,2.282732725,17.92713737,9.961155891,11.26559925,FALSE,0.1,TRUE,3,32,,Y,N,N,N
B10,SCr-595-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B11,SCr-595-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B12,SCr-595-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.53166199,24.55051613,0.117742471,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.44333839,24.55051613,0.117742471,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,24.676548,24.55051613,0.117742471,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C4,SCr-584,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.68621063,33.27084732,0.467450351,20.45147514,28.07657623,9.186868668,FALSE,0.1,TRUE,3,32,,N,N,N,N
