Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201103_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-03 14:31:27 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.91915131,19.85367966,0.087863207,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.88806343,19.85367966,0.087863207,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.75382423,19.85367966,0.087863207,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-561,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.96155548,36.80287552,0.334153026,11.21642303,12.67478943,2.955546618,FALSE,0.1,TRUE,3,33,,N,N,N,N
A5,SCr-561,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.02812576,36.80287552,0.334153026,10.7318697,12.67478943,2.955546618,FALSE,0.1,TRUE,3,32,,N,N,N,N
A6,SCr-561,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.41894913,36.80287552,0.334153026,16.0760746,12.67478943,2.955546618,FALSE,0.1,TRUE,3,32,,N,N,N,N
A7,SCr-561-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.45444489,36.98945236,0.657598734,8.088206291,11.53876877,4.879831791,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-561-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.98945236,0.657598734,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
A9,SCr-561-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.52445984,36.98945236,0.657598734,14.98933029,11.53876877,4.879831791,FALSE,0.1,TRUE,3,32,,Y,N,N,N
A10,SCr-570,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
