Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201110_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-10 15:26:54 PM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.20610809,20.07401276,0.127008781,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.06314278,20.07401276,0.127008781,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.95278931,20.07401276,0.127008781,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-153,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.58721542,35.9750061,0.393557936,42.30840302,33.52088165,8.553686142,FALSE,0.1,TRUE,3,31,,N,N,N,N
A5,SCr-153,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.9637146,35.9750061,0.393557936,33.03226471,33.52088165,8.553686142,FALSE,0.1,TRUE,3,31,,N,N,N,N
A6,SCr-153,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.37408829,35.9750061,0.393557936,25.22197723,33.52088165,8.553686142,FALSE,0.1,TRUE,3,32,,N,N,N,N
A7,SCr-153-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.90398026,37.35547256,0.752304614,17.80320168,14.22757244,5.850580215,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-153-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.22393036,37.35547256,0.752304614,7.475843906,14.22757244,5.850580215,FALSE,0.1,TRUE,3,34,,Y,N,Y,N
A9,SCr-153-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.93850708,37.35547256,0.752304614,17.40367317,14.22757244,5.850580215,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A10,SCr-818,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.45342255,33.2405014,0.188289508,172.03302,198.87117,23.84243202,FALSE,0.1,TRUE,3,29,,N,N,N,N
A11,SCr-818,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.17213058,33.2405014,0.188289508,206.9755249,198.87117,23.84243202,FALSE,0.1,TRUE,3,29,,N,N,N,N
A12,SCr-818,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.09594727,33.2405014,0.188289508,217.6049957,198.87117,23.84243202,FALSE,0.1,TRUE,3,28,,N,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.8241272,23.7700367,0.05253645,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.71920586,23.7700367,0.05253645,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.76678085,23.7700367,0.05253645,100000,,,FALSE,0.1,TRUE,3,20,,N,N,N,N
B4,SCr-155,O.kisutch,UNKNOWN,FAM,NFQ-MGB,31.56783295,31.76023293,0.346740156,594.2051392,532.3179932,112.4961166,FALSE,0.1,TRUE,3,27,,N,N,N,N
B5,SCr-155,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.16051483,31.76023293,0.346740156,402.4660645,532.3179932,112.4961166,FALSE,0.1,TRUE,3,28,,N,N,Y,N
B6,SCr-155,O.kisutch,UNKNOWN,FAM,NFQ-MGB,31.55235291,31.76023293,0.346740156,600.2827759,532.3179932,112.4961166,FALSE,0.1,TRUE,3,27,,N,N,N,N
B7,SCr-155-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.24233246,34.32047272,0.078270279,102.4195175,97.37719727,5.008042336,FALSE,0.1,TRUE,3,30,,N,N,N,N
B8,SCr-155-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.39887238,34.32047272,0.078270279,92.40415192,97.37719727,5.008042336,FALSE,0.1,TRUE,3,30,,N,N,N,N
