Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,\\atlas.shore.mbari.org\ESP\Scott_Creek\qpcr\S1P_data\eds_files\20201207_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-12-07 13:05:45 PM PST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.69444466,18.38810158,0.445341915,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.59262657,18.38810158,0.445341915,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,17.87723732,18.38810158,0.445341915,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-052,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.42631912,33.64602661,0.190321028,71.29330444,62.31199265,7.779582024,FALSE,0.1,TRUE,3,30,,N,N,N
A5,SCr-052,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.76009369,33.64602661,0.190321028,57.66664886,62.31199265,7.779582024,FALSE,0.1,TRUE,3,30,,N,N,N
A6,SCr-052,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.75167465,33.64602661,0.190321028,57.97602463,62.31199265,7.779582024,FALSE,0.1,TRUE,3,29,,N,N,N
A7,SCr-052-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.96695328,35.96570969,1.191815495,7.512938976,17.30958366,13.57923317,FALSE,0.1,TRUE,3,33,,Y,N,N
A8,SCr-052-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.64743423,35.96570969,1.191815495,32.81049347,17.30958366,13.57923317,FALSE,0.1,TRUE,3,30,,Y,N,N
A9,SCr-052-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.28274155,35.96570969,1.191815495,11.60531425,17.30958366,13.57923317,FALSE,0.1,TRUE,3,32,,Y,N,N
A10,SCr-007,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.38698578,37.29151535,0.08479403,5.752783775,6.118501663,0.325565785,FALSE,0.1,TRUE,3,33,,N,N,N
A11,SCr-007,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.26260376,37.29151535,0.08479403,6.225988865,6.118501663,0.325565785,FALSE,0.1,TRUE,3,34,,N,N,N
A12,SCr-007,O.mykiss,UNKNOWN,FAM,NFQ-MGB,37.22496033,37.29151535,0.08479403,6.376732349,6.118501663,0.325565785,FALSE,0.1,TRUE,3,33,,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.02022743,21.86901665,0.221710846,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.61450577,21.86901665,0.221710846,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,21.97231674,21.86901665,0.221710846,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N
B4,SCr-057,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.63306046,32.50033951,0.123821788,118.0302887,128.6813812,10.02283955,FALSE,0.1,TRUE,3,28,,N,N,N
B5,SCr-057,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.48003006,32.50033951,0.123821788,130.0861053,128.6813812,10.02283955,FALSE,0.1,TRUE,3,28,,N,N,N
B6,SCr-057,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.38792801,32.50033951,0.123821788,137.9277649,128.6813812,10.02283955,FALSE,0.1,TRUE,3,28,,N,N,N
B7,SCr-057-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.62146378,34.80593872,0.813893199,33.35652161,32.221241,14.83866978,FALSE,0.1,TRUE,3,31,,Y,N,N
B8,SCr-057-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.69623566,34.80593872,0.813893199,16.8475399,32.221241,14.83866978,FALSE,0.1,TRUE,3,32,,Y,N,N
B9,SCr-057-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.10011673,34.80593872,0.813893199,46.45966339,32.221241,14.83866978,FALSE,0.1,TRUE,3,29,,Y,N,N
B10,SCr-007-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B11,SCr-007-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
B12,SCr-007-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.78404808,25.679842,0.15830189,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.75779915,25.679842,0.15830189,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.49768066,25.679842,0.15830189,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N
C4,SCr-063,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C5,SCr-063,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,Y
C6,SCr-063,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C7,SCr-063-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.84224319,34.79754639,0.038781341,28.98972893,29.83103371,0.730020285,FALSE,0.1,TRUE,3,30,,N,N,N
C8,SCr-063-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.77282333,34.79754639,0.038781341,30.29734039,29.83103371,0.730020285,FALSE,0.1,TRUE,3,31,,N,N,N
