Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\qpcr\chloe temp\20201007_Scott_Creek_Omykiss_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-07 13:44:41 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.2393856,18.84486961,0.346823424,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.7072258,18.84486961,0.346823424,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,18.58799553,18.84486961,0.346823424,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-235,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.56173706,38.45213699,0.099720404,2.404572248,2.586734056,0.166579634,FALSE,0.1,TRUE,3,34,,N,N,N,N
A5,SCr-235,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.36676025,38.45213699,0.099720404,2.731308699,2.586734056,0.166579634,FALSE,0.1,TRUE,3,33,,N,N,N,N
A6,SCr-235,O.mykiss,UNKNOWN,FAM,NFQ-MGB,38.42790985,38.45213699,0.099720404,2.624321222,2.586734056,0.166579634,FALSE,0.1,TRUE,3,33,,N,N,N,N
A7,SCr-235-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.97903442,32.98552322,0.2375848,92.33525085,92.68312836,14.30070114,FALSE,0.1,TRUE,3,29,,N,N,N,N
A8,SCr-235-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.75125122,32.98552322,0.2375848,107.1545792,92.68312836,14.30070114,FALSE,0.1,TRUE,3,29,,N,N,N,N
A9,SCr-235-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.22628784,32.98552322,0.2375848,78.55952454,92.68312836,14.30070114,FALSE,0.1,TRUE,3,29,,N,N,N,N
A10,SCr-293,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.35315704,31.726614,0.397724837,267.164978,213.9835052,53.96818161,FALSE,0.1,TRUE,3,29,,N,N,N,N
A11,SCr-293,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.68186188,31.726614,0.397724837,215.523941,213.9835052,53.96818161,FALSE,0.1,TRUE,3,28,,N,N,N,N
A12,SCr-293,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.14482117,31.726614,0.397724837,159.2615967,213.9835052,53.96818161,FALSE,0.1,TRUE,3,28,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.42327309,22.32741356,0.157638952,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.14547539,22.32741356,0.157638952,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.4134922,22.32741356,0.157638952,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-236,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.60388756,29.65267181,0.135819972,837.9329224,813.744812,70.63628387,FALSE,0.1,TRUE,3,26,,N,N,N,N
B5,SCr-236,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.80614662,29.65267181,0.135819972,734.1919556,813.744812,70.63628387,FALSE,0.1,TRUE,3,26,,N,N,N,N
B6,SCr-236,O.mykiss,UNKNOWN,FAM,NFQ-MGB,29.54798317,29.65267181,0.135819972,869.1094971,813.744812,70.63628387,FALSE,0.1,TRUE,3,25,,N,N,N,N
