Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\kyamahara\Desktop\S1P_data\Scott_Creek_EDS\20201022_Scott_Creek_Okisutchh_Kevan_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-22 14:18:34 PM PDT,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.86132431,19.98932076,0.117892891,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.09346199,19.98932076,0.117892891,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.01317406,19.98932076,0.117892891,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A4,SCr-576,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.15246582,35.16315842,0.086047992,52.51568222,52.21072006,2.853095531,FALSE,0.1,TRUE,3,30,,N,N,N,N
A5,SCr-576,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.25405121,35.16315842,0.086047992,49.21738815,52.21072006,2.853095531,FALSE,0.1,TRUE,3,31,,N,N,N,N
A6,SCr-576,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.08295441,35.16315842,0.086047992,54.89907837,52.21072006,2.853095531,FALSE,0.1,TRUE,3,31,,N,N,N,N
A7,SCr-576-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.36976624,38.38686371,1.438390374,12.74717903,8.112538338,6.554371357,FALSE,0.1,TRUE,3,33,,Y,N,N,N
A8,SCr-576-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.38686371,1.438390374,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A9,SCr-576-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.40395737,38.38686371,1.438390374,3.477897882,8.112538338,6.554371357,FALSE,0.1,TRUE,3,35,,Y,N,N,N
A10,SCr-462,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
