Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,Z:\Scott_Creek\chloe\20201029_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-10-29 13:10:00 PM PDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.04147911,20.02012825,0.048673328,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.0544796,20.02012825,0.048673328,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.96442986,20.02012825,0.048673328,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N
A4,SCr-352,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A5,SCr-352,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A6,SCr-352,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A7,SCr-352-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.49719238,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A8,SCr-352-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.49719238,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
A9,SCr-352-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.49719238,39.49719238,,5.963096142,5.963096142,,FALSE,0.1,TRUE,3,35,,N,N,N
A10,SCr-553,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.47360992,33.44651413,0.2690382,244.2677155,250.6819,41.93251419,FALSE,0.1,TRUE,3,30,,N,N,N
A11,SCr-553,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.16495514,33.44651413,0.2690382,295.4519653,250.6819,41.93251419,FALSE,0.1,TRUE,3,29,,N,N,N
A12,SCr-553,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.70098114,33.44651413,0.2690382,212.3260498,250.6819,41.93251419,FALSE,0.1,TRUE,3,30,,N,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.55437088,23.5807724,0.045194644,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.63295746,23.5807724,0.045194644,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.55498886,23.5807724,0.045194644,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N
B4,SCr-353,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B5,SCr-353,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B6,SCr-353,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
B7,SCr-353-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B8,SCr-353-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B9,SCr-353-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
B10,SCr-553-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.6809845,34.8876915,0.179870769,116.0581665,102.6026001,11.69892406,FALSE,0.1,TRUE,3,30,,N,N,N
B11,SCr-553-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.00859451,34.8876915,0.179870769,94.83769226,102.6026001,11.69892406,FALSE,0.1,TRUE,3,31,,N,N,N
B12,SCr-553-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.97349167,34.8876915,0.179870769,96.91194153,102.6026001,11.69892406,FALSE,0.1,TRUE,3,31,,N,N,N
C1,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.17541122,27.29972076,0.125221461,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C2,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.42583466,27.29972076,0.125221461,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C3,,O.kisutch,STANDARD,FAM,NFQ-MGB,27.29791641,27.29972076,0.125221461,10000,,,FALSE,0.1,TRUE,3,23,,N,N,N
C4,SCr-354,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C5,SCr-354,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N
C6,SCr-354,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C7,SCr-354-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.29242706,39.29242706,,6.765244007,6.765244007,,FALSE,0.1,TRUE,3,35,,N,N,N
C8,SCr-354-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.29242706,,,,,FALSE,0.1,TRUE,3,39,,N,N,Y
C9,SCr-354-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.29242706,,,,,FALSE,0.1,TRUE,3,39,,N,Y,Y
C10,SCr-557,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.8265686,33.13137436,0.264460504,363.9705811,304.3907776,51.66958237,FALSE,0.1,TRUE,3,28,,N,N,N
C11,SCr-557,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.26766968,33.13137436,0.264460504,277.3270264,304.3907776,51.66958237,FALSE,0.1,TRUE,3,29,,N,N,N
C12,SCr-557,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.2998848,33.13137436,0.264460504,271.8747559,304.3907776,51.66958237,FALSE,0.1,TRUE,3,29,,N,N,N
D1,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.37346649,31.32596779,0.10130468,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D2,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.2096405,31.32596779,0.10130468,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D3,,O.kisutch,STANDARD,FAM,NFQ-MGB,31.39479446,31.32596779,0.10130468,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N
D4,SCr-355,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.21016312,38.6612854,0.737824857,13.18208694,10.6213789,4.08851862,FALSE,0.1,TRUE,3,33,,Y,N,N
D5,SCr-355,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.26094818,38.6612854,0.737824857,12.77585602,10.6213789,4.08851862,FALSE,0.1,TRUE,3,34,,Y,N,N
D6,SCr-355,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.51274872,38.6612854,0.737824857,5.906193733,10.6213789,4.08851862,FALSE,0.1,TRUE,3,35,,Y,N,N
D7,SCr-355-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.62824249,37.93683243,1.394122958,34.94887161,19.48703575,14.45203209,FALSE,0.1,TRUE,3,32,,Y,N,N
D8,SCr-355-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,39.4030838,37.93683243,1.394122958,6.319210529,19.48703575,14.45203209,FALSE,0.1,TRUE,3,35,,Y,N,N
D9,SCr-355-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.77917099,37.93683243,1.394122958,17.19302368,19.48703575,14.45203209,FALSE,0.1,TRUE,3,33,,Y,N,N
D10,SCr-557-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.46209717,35.98363876,0.664816022,38.71746826,55.15824509,24.25914955,FALSE,0.1,TRUE,3,32,,Y,N,N
D11,SCr-557-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.22451782,35.98363876,0.664816022,83.01996613,55.15824509,24.25914955,FALSE,0.1,TRUE,3,31,,Y,N,N
D12,SCr-557-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.26430511,35.98363876,0.664816022,43.73730087,55.15824509,24.25914955,FALSE,0.1,TRUE,3,32,,Y,N,N
E1,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.14749908,35.42584991,0.241632238,100,,,FALSE,0.1,TRUE,3,31,,N,N,N
E2,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.54838943,35.42584991,0.241632238,100,,,FALSE,0.1,TRUE,3,32,,N,N,N
E3,,O.kisutch,STANDARD,FAM,NFQ-MGB,35.58166122,35.42584991,0.241632238,100,,,FALSE,0.1,TRUE,3,31,,N,N,N
E4,SCr-356,O.kisutch,UNKNOWN,FAM,NFQ-MGB,38.59602737,38.59602737,,10.39192295,10.39192295,,FALSE,0.1,TRUE,3,33,,N,N,N
