Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Applied Biosystems\StepOne Software v2.3\experiments\20201111_Scott_Creek_Okisutch_Chloe_P1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,Not Started,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,NOAMP,EXPFAIL
A1,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.94664192,20.00756073,0.18840377,1000000,,,FALSE,0.1,TRUE,3,15,,N,N
A2,,O.kisutch,STANDARD,FAM,NFQ-MGB,20.21888733,20.00756073,0.18840377,1000000,,,FALSE,0.1,TRUE,3,16,,N,N
A3,,O.kisutch,STANDARD,FAM,NFQ-MGB,19.85715485,20.00756073,0.18840377,1000000,,,FALSE,0.1,TRUE,3,16,,N,N
A4,SCr-830,O.kisutch,UNKNOWN,FAM,NFQ-MGB,32.98180008,33.04915237,0.076001413,196.9393463,188.5689697,9.346961021,FALSE,0.1,TRUE,3,29,,N,N
A5,SCr-830,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.03411484,33.04915237,0.076001413,190.2844696,188.5689697,9.346961021,FALSE,0.1,TRUE,3,29,,N,N
A6,SCr-830,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.13155365,33.04915237,0.076001413,178.483078,188.5689697,9.346961021,FALSE,0.1,TRUE,3,29,,N,N
A7,SCr-830-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.34443283,34.72825241,0.342491627,80.44063568,63.603302,14.88502121,FALSE,0.1,TRUE,3,30,,N,N
A8,SCr-830-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,35.00270462,34.72825241,0.342491627,52.19432068,63.603302,14.88502121,FALSE,0.1,TRUE,3,31,,N,N
A9,SCr-830-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,34.83761215,34.72825241,0.342491627,58.17494583,63.603302,14.88502121,FALSE,0.1,TRUE,3,31,,N,N
A10,SCr-854,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.3098259,33.64756393,0.33722043,158.7534485,129.2482758,28.47939682,FALSE,0.1,TRUE,3,29,,N,N
A11,SCr-854,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.64859009,33.64756393,0.33722043,127.0718613,129.2482758,28.47939682,FALSE,0.1,TRUE,3,30,,N,N
A12,SCr-854,O.kisutch,UNKNOWN,FAM,NFQ-MGB,33.98426437,33.64756393,0.33722043,101.9195328,129.2482758,28.47939682,FALSE,0.1,TRUE,3,30,,N,N
B1,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.48214912,23.4721508,0.060185153,100000,,,FALSE,0.1,TRUE,3,19,,N,N
B2,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.5267086,23.4721508,0.060185153,100000,,,FALSE,0.1,TRUE,3,19,,N,N
B3,,O.kisutch,STANDARD,FAM,NFQ-MGB,23.40759087,23.4721508,0.060185153,100000,,,FALSE,0.1,TRUE,3,19,,N,N
B4,SCr-833,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.70253754,36.84184647,0.865142643,17.08200264,17.23577118,8.832954407,FALSE,0.1,TRUE,3,32,,N,N
B5,SCr-833,O.kisutch,UNKNOWN,FAM,NFQ-MGB,37.76818848,36.84184647,0.865142643,8.480706215,17.23577118,8.832954407,FALSE,0.1,TRUE,3,34,,N,N
B6,SCr-833,O.kisutch,UNKNOWN,FAM,NFQ-MGB,36.05480957,36.84184647,0.865142643,26.14460754,17.23577118,8.832954407,FALSE,0.1,TRUE,3,32,,N,N
B7,SCr-833-1:5,O.kisutch,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.5078392,,,,,FALSE,0.1,TRUE,3,39,,Y,Y
