Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,Y:\old_structure\Scott_Creek\qpcr\S1P_data\eds_files\20201112_Scott_Creek_Omykiss_Chloe_P1.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2020-11-12 11:15:17 AM PST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.89751434,19.58582878,0.270378977,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A2,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.41436958,19.58582878,0.270378977,1000000,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
A3,,O.mykiss,STANDARD,FAM,NFQ-MGB,19.44560242,19.58582878,0.270378977,1000000,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
A4,SCr-463,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A5,SCr-463,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,4,,N,N,N,N
A6,SCr-463,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A7,SCr-463-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A8,SCr-463-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
A9,SCr-463-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
A10,SCr-495,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.7953186,30.86780739,0.085978225,573.6954956,547.534729,30.66515541,FALSE,0.1,TRUE,3,27,,N,N,N,N
A11,SCr-495,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.84530258,30.86780739,0.085978225,555.1199341,547.534729,30.66515541,FALSE,0.1,TRUE,3,27,,N,N,N,N
A12,SCr-495,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.96279907,30.86780739,0.085978225,513.7888794,547.534729,30.66515541,FALSE,0.1,TRUE,3,27,,N,N,N,N
B1,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.86881447,22.81374168,0.048084352,100000,,,FALSE,0.1,TRUE,3,18,,N,N,N,N
B2,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.78009415,22.81374168,0.048084352,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B3,,O.mykiss,STANDARD,FAM,NFQ-MGB,22.79231644,22.81374168,0.048084352,100000,,,FALSE,0.1,TRUE,3,19,,N,N,N,N
B4,SCr-466,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.76353073,30.85569191,0.260818958,585.8308716,556.6245117,91.41352081,FALSE,0.1,TRUE,3,26,,N,N,N,N
B5,SCr-466,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.15008163,30.85569191,0.260818958,454.1767578,556.6245117,91.41352081,FALSE,0.1,TRUE,3,28,,N,N,N,N
B6,SCr-466,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.65346909,30.85569191,0.260818958,629.8659668,556.6245117,91.41352081,FALSE,0.1,TRUE,3,27,,N,N,N,N
B7,SCr-466-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.6288147,32.87546921,0.34152931,171.5264282,148.1845551,31.15963173,FALSE,0.1,TRUE,3,28,,N,N,N,N
B8,SCr-466-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.26527786,32.87546921,0.34152931,112.8009567,148.1845551,31.15963173,FALSE,0.1,TRUE,3,29,,N,N,N,N
B9,SCr-466-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.73230743,32.87546921,0.34152931,160.2262878,148.1845551,31.15963173,FALSE,0.1,TRUE,3,29,,N,N,N,N
B10,SCr-495-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.36053467,33.25442886,0.134593308,105.9426575,113.9114075,10.28365517,FALSE,0.1,TRUE,3,29,,N,N,N,N
B11,SCr-495-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.10303116,33.25442886,0.134593308,125.5199432,113.9114075,10.28365517,FALSE,0.1,TRUE,3,29,,N,N,N,N
B12,SCr-495-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.29971695,33.25442886,0.134593308,110.2716217,113.9114075,10.28365517,FALSE,0.1,TRUE,3,29,,N,N,N,N
C1,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.81417084,25.88998985,0.122188494,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C2,,O.mykiss,STANDARD,FAM,NFQ-MGB,26.03094673,25.88998985,0.122188494,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C3,,O.mykiss,STANDARD,FAM,NFQ-MGB,25.8248539,25.88998985,0.122188494,10000,,,FALSE,0.1,TRUE,3,22,,N,N,N,N
C4,SCr-472,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.93900681,30.86347008,0.115400158,521.9019775,549.5895386,42.61273575,FALSE,0.1,TRUE,3,27,,N,N,N,N
C5,SCr-472,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.73063469,30.86347008,0.115400158,598.659668,549.5895386,42.61273575,FALSE,0.1,TRUE,3,27,,N,N,N,N
C6,SCr-472,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.92077065,30.86347008,0.115400158,528.2070313,549.5895386,42.61273575,FALSE,0.1,TRUE,3,27,,N,N,N,N
C7,SCr-472-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.96312714,32.99998093,0.052973349,137.6331482,134.3872681,4.64291811,FALSE,0.1,TRUE,3,29,,N,N,N,N
C8,SCr-472-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.06068802,32.99998093,0.052973349,129.0690765,134.3872681,4.64291811,FALSE,0.1,TRUE,3,29,,N,N,N,N
C9,SCr-472-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.97613144,32.99998093,0.052973349,136.4595795,134.3872681,4.64291811,FALSE,0.1,TRUE,3,28,,N,N,N,N
C10,SCr-499,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.4529705,31.64558411,0.167075276,372.0519409,329.0838013,37.26081848,FALSE,0.1,TRUE,3,27,,N,N,N,N
C11,SCr-499,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.7513504,31.64558411,0.167075276,305.6832886,329.0838013,37.26081848,FALSE,0.1,TRUE,3,27,,N,N,N,N
C12,SCr-499,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.7324276,31.64558411,0.167075276,309.5161743,329.0838013,37.26081848,FALSE,0.1,TRUE,3,27,,N,N,N,N
D1,,O.mykiss,STANDARD,FAM,NFQ-MGB,31.17715836,30.85954285,0.280453235,1000,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D2,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.75546646,30.85954285,0.280453235,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D3,,O.mykiss,STANDARD,FAM,NFQ-MGB,30.64600945,30.85954285,0.280453235,1000,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
D4,SCr-475,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.3707428,32.42543793,0.366602182,203.2990875,199.8679047,46.64361572,FALSE,0.1,TRUE,3,29,,N,N,N,N
D5,SCr-475,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.8163147,32.42543793,0.366602182,151.6034393,199.8679047,46.64361572,FALSE,0.1,TRUE,3,29,,N,N,N,N
D6,SCr-475,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.08925629,32.42543793,0.366602182,244.7011719,199.8679047,46.64361572,FALSE,0.1,TRUE,3,28,,N,N,N,N
D7,SCr-475-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.76948929,34.61330032,0.14607273,41.89213562,46.57239914,4.425002575,FALSE,0.1,TRUE,3,31,,N,N,N,N
D8,SCr-475-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.5903511,34.61330032,0.14607273,47.13713074,46.57239914,4.425002575,FALSE,0.1,TRUE,3,30,,N,N,N,N
D9,SCr-475-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.48006058,34.61330032,0.14607273,50.68791962,46.57239914,4.425002575,FALSE,0.1,TRUE,3,30,,N,N,N,N
D10,SCr-499-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.80632019,34.03232193,0.68485707,78.99205017,72.45148468,28.72993851,FALSE,0.1,TRUE,3,29,,Y,N,N,N
D11,SCr-499-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.48902893,34.03232193,0.68485707,97.347229,72.45148468,28.72993851,FALSE,0.1,TRUE,3,30,,Y,N,N,N
D12,SCr-499-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.80161667,34.03232193,0.68485707,41.01517487,72.45148468,28.72993851,FALSE,0.1,TRUE,3,31,,Y,N,N,N
E1,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.30375671,33.24668503,0.269531518,100,,,FALSE,0.1,TRUE,3,30,,N,N,N,N
E2,,O.mykiss,STANDARD,FAM,NFQ-MGB,32.95318985,33.24668503,0.269531518,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
E3,,O.mykiss,STANDARD,FAM,NFQ-MGB,33.48311234,33.24668503,0.269531518,100,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
E4,SCr-481,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.92691422,34.03726578,0.50447911,72.96178436,70.27962494,21.84561348,FALSE,0.1,TRUE,3,31,,Y,N,N,N
E5,SCr-481,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.5970993,34.03726578,0.50447911,90.66030884,70.27962494,21.84561348,FALSE,0.1,TRUE,3,29,,Y,N,N,N
E6,SCr-481,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.58778763,34.03726578,0.50447911,47.21676636,70.27962494,21.84561348,FALSE,0.1,TRUE,3,31,,Y,N,N,N
E7,SCr-481-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.55979919,36.30916977,0.677628875,24.89525414,16.2808094,7.61537838,FALSE,0.1,TRUE,3,32,,Y,N,N,N
E8,SCr-481-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.87882614,36.30916977,0.677628875,10.44470215,16.2808094,7.61537838,FALSE,0.1,TRUE,3,33,,Y,N,N,N
E9,SCr-481-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.48888397,36.30916977,0.677628875,13.50247097,16.2808094,7.61537838,FALSE,0.1,TRUE,3,33,,Y,N,N,N
E10,SCr-502,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.45864487,32.92411423,0.406803399,191.8654938,144.7741699,41.01538086,FALSE,0.1,TRUE,3,29,,N,N,N,N
E11,SCr-502,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.10212326,32.92411423,0.406803399,125.5950089,144.7741699,41.01538086,FALSE,0.1,TRUE,3,29,,N,N,N,N
E12,SCr-502,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.21156693,32.92411423,0.406803399,116.8619843,144.7741699,41.01538086,FALSE,0.1,TRUE,3,30,,N,N,N,N
F1,,O.mykiss,STANDARD,FAM,NFQ-MGB,36.16068649,36.92116547,1.075479627,10,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N
F2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.68164444,36.92116547,1.075479627,10,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N
F3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,36.92116547,1.075479627,10,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F4,SCr-484,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.3572979,31.38725853,0.118716776,396.2455444,389.2890625,29.98615646,FALSE,0.1,TRUE,3,27,,N,N,N,N
F5,SCr-484,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.51808548,31.38725853,0.118716776,356.4361267,389.2890625,29.98615646,FALSE,0.1,TRUE,3,27,,N,N,N,N
F6,SCr-484,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.28639221,31.38725853,0.118716776,415.1856079,389.2890625,29.98615646,FALSE,0.1,TRUE,3,27,,N,N,N,N
F7,SCr-484-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.20611191,33.86109543,0.342118949,60.70848083,77.4858017,17.29710007,FALSE,0.1,TRUE,3,30,,N,N,N,N
F8,SCr-484-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.85521317,33.86109543,0.342118949,76.48931885,77.4858017,17.29710007,FALSE,0.1,TRUE,3,30,,N,N,N,N
F9,SCr-484-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.52194977,33.86109543,0.342118949,95.25959778,77.4858017,17.29710007,FALSE,0.1,TRUE,3,29,,N,N,N,N
F10,SCr-502-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.28307343,35.49498367,0.852664888,29.87140846,28.60019112,14.00499535,FALSE,0.1,TRUE,3,31,,Y,N,N,N
F11,SCr-502-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.76825333,35.49498367,0.852664888,41.92624283,28.60019112,14.00499535,FALSE,0.1,TRUE,3,30,,Y,N,N,N
F12,SCr-502-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,36.43361664,35.49498367,0.852664888,14.00292683,28.60019112,14.00499535,FALSE,0.1,TRUE,3,32,,Y,N,N,N
G1,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.67695999,,5,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
G2,,O.mykiss,STANDARD,FAM,NFQ-MGB,37.67695999,37.67695999,,5,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
G3,,O.mykiss,STANDARD,FAM,NFQ-MGB,Undetermined,37.67695999,,5,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G4,SCr-490,O.mykiss,UNKNOWN,FAM,NFQ-MGB,30.89239883,30.98778343,0.08260604,538.1682129,505.9086914,27.93756676,FALSE,0.1,TRUE,3,28,,N,N,N,N
G5,SCr-490,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.03550148,30.98778343,0.08260604,489.7709351,505.9086914,27.93756676,FALSE,0.1,TRUE,3,27,,N,N,N,N
G6,SCr-490,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.03545189,30.98778343,0.08260604,489.7869263,505.9086914,27.93756676,FALSE,0.1,TRUE,3,27,,N,N,N,N
G7,SCr-490-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.39779663,33.1619072,0.214886248,103.3747711,121.5411606,16.743433,FALSE,0.1,TRUE,3,30,,N,N,N,N
G8,SCr-490-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.11061478,33.1619072,0.214886248,124.8946838,121.5411606,16.743433,FALSE,0.1,TRUE,3,29,,N,N,N,N
G9,SCr-490-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.97730637,33.1619072,0.214886248,136.3540344,121.5411606,16.743433,FALSE,0.1,TRUE,3,29,,N,N,N,N
G10,SCr-504,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.3048439,32.50051498,0.170515925,212.3153839,187.4491425,21.64573288,FALSE,0.1,TRUE,3,28,,N,N,N,N
G11,SCr-504,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.57935715,32.50051498,0.170515925,177.2046356,187.4491425,21.64573288,FALSE,0.1,TRUE,3,28,,N,N,N,N
G12,SCr-504,O.mykiss,UNKNOWN,FAM,NFQ-MGB,32.61734009,32.50051498,0.170515925,172.8273926,187.4491425,21.64573288,FALSE,0.1,TRUE,3,28,,N,N,N,N
H1,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H2,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H3,,O.mykiss,NTC,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,N
H4,SCr-493,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.24031258,31.56394768,0.292542189,427.9768982,350.2261047,69.48838806,FALSE,0.1,TRUE,3,27,,N,N,N,N
H5,SCr-493,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.80958748,31.56394768,0.292542189,294.1824951,350.2261047,69.48838806,FALSE,0.1,TRUE,3,28,,N,N,N,N
H6,SCr-493,O.mykiss,UNKNOWN,FAM,NFQ-MGB,31.64194298,31.56394768,0.292542189,328.5189819,350.2261047,69.48838806,FALSE,0.1,TRUE,3,28,,N,N,N,N
H7,SCr-493-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.12033844,33.48117447,0.65241766,124.0975266,103.4614334,38.01431656,FALSE,0.1,TRUE,3,29,,Y,N,N,N
H8,SCr-493-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.23430252,33.48117447,0.65241766,59.59191132,103.4614334,38.01431656,FALSE,0.1,TRUE,3,30,,Y,N,Y,N
H9,SCr-493-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,33.08888245,33.48117447,0.65241766,126.6948776,103.4614334,38.01431656,FALSE,0.1,TRUE,3,29,,Y,N,N,N
H10,SCr-504-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.57614136,35.21047592,0.408511758,24.62878418,32.11267471,8.856006622,FALSE,0.1,TRUE,3,32,,N,N,N,N
H11,SCr-504-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,34.76957703,35.21047592,0.408511758,41.8897171,32.11267471,8.856006622,FALSE,0.1,TRUE,3,32,,N,N,N,N
H12,SCr-504-1:5,O.mykiss,UNKNOWN,FAM,NFQ-MGB,35.2857132,35.21047592,0.408511758,29.81952667,32.11267471,8.856006622,FALSE,0.1,TRUE,3,32,,N,N,N,N
